epoch,train_loss,train_acc,val_loss,val_acc
1,4.832554,0.054143,4.622744,0.069031
2,4.563682,0.067817,4.356547,0.083905
3,4.342051,0.086354,4.686723,0.043478
4,4.133681,0.103974,6.388314,0.071892
5,3.932347,0.127283,6.035187,0.037567
6,3.737558,0.149674,5.630937,0.081426
7,3.511415,0.176287,4.061007,0.136156
8,3.331199,0.199504,3.237732,0.222540
9,3.150015,0.224741,2.915559,0.256102
10,3.010026,0.247040,3.037190,0.247902
11,2.871724,0.270808,4.971087,0.092487
12,2.743151,0.299716,2.707958,0.308924
13,2.627768,0.317519,2.286249,0.402937
14,2.511423,0.342388,12.495054,0.043669
15,2.407570,0.362669,2.291642,0.391114
16,2.319577,0.387354,2.044503,0.446606
17,2.217724,0.402955,5.495204,0.132532
18,2.152042,0.415986,2.140977,0.417811
19,2.076540,0.432321,2.552278,0.340008
20,2.006541,0.452326,2.005556,0.467773
21,1.944604,0.468569,1.611789,0.553585
22,1.864877,0.483252,1.826461,0.489512
23,1.826013,0.492154,1.386582,0.622235
24,1.780892,0.506653,1.645855,0.536232
25,1.747515,0.509223,1.714903,0.511251
26,1.674100,0.526567,1.254530,0.651030
27,1.633625,0.547031,1.571540,0.563120
28,1.592812,0.553914,1.571393,0.551678
29,1.550233,0.562173,1.695188,0.536423
30,1.521461,0.568505,1.002577,0.731312
31,1.479542,0.579884,1.335101,0.614989
32,1.441581,0.596494,1.477406,0.576850
33,1.398985,0.605304,1.227539,0.667239
34,1.358514,0.611728,2.053173,0.499047
35,1.326900,0.625126,1.747405,0.551487
36,1.322867,0.619437,1.070130,0.693936
37,1.272126,0.631183,0.915560,0.745423
38,1.249489,0.638524,1.241643,0.665332
39,1.238420,0.647885,1.040008,0.712624
40,1.184796,0.656878,1.379643,0.630625
41,1.161920,0.661008,0.910534,0.747140
42,1.140912,0.669817,2.415819,0.434783
43,1.119389,0.675966,0.847707,0.767925
44,1.103421,0.682757,4.599028,0.322273
45,1.060858,0.689823,0.655234,0.823036
46,1.045131,0.696430,1.624487,0.578185
47,1.025321,0.708911,0.743853,0.790427
48,1.002418,0.705974,0.861598,0.754958
49,0.982033,0.713132,0.780729,0.763921
50,0.961818,0.720932,0.897849,0.737796
51,0.941465,0.725888,0.648654,0.814645
52,0.928615,0.728733,1.365766,0.626240
53,0.910890,0.733138,0.612872,0.825133
54,0.890903,0.735615,0.631942,0.813310
55,0.873284,0.743049,0.706438,0.796529
56,0.873660,0.744700,0.865489,0.747712
57,0.844024,0.753877,0.592079,0.829519
58,0.844397,0.752684,0.659504,0.809115
59,0.813327,0.755254,0.735255,0.778413
60,0.785026,0.771405,0.603008,0.823989
61,0.787910,0.766817,0.578903,0.827994
62,0.788922,0.766174,0.543970,0.841342
63,0.770327,0.775351,0.492585,0.863844
64,0.752435,0.780215,0.758362,0.774600
65,0.748335,0.781041,0.809914,0.755721
66,0.734467,0.784895,1.020892,0.707285
67,0.721634,0.786730,0.541585,0.830854
68,0.699825,0.790126,0.604245,0.823417
69,0.692149,0.791686,0.723328,0.787185
70,0.686945,0.799486,0.761755,0.775934
71,0.692295,0.792236,0.737807,0.777651
72,0.665481,0.805451,0.445287,0.870328
73,0.654020,0.809764,0.389211,0.886537
74,0.646835,0.809122,0.364779,0.897788
75,0.649047,0.808296,0.605631,0.831998
76,0.640091,0.813068,0.693734,0.790999
77,0.629127,0.812884,0.335934,0.906178
78,0.623981,0.814628,0.398146,0.888253
79,0.627475,0.813068,0.637437,0.809497
80,0.610727,0.814077,0.382948,0.887300
81,0.593635,0.822153,0.343759,0.905416
82,0.578732,0.832247,0.926614,0.741037
83,0.586652,0.827659,0.498609,0.845156
84,0.563168,0.833716,0.502735,0.849352
85,0.574457,0.826007,0.389900,0.880435
86,0.566604,0.831146,0.397291,0.878337
87,0.551796,0.833624,0.391462,0.888063
88,0.548532,0.837203,0.324635,0.911899
89,0.544594,0.840231,0.445793,0.873760
90,0.539962,0.840965,0.443452,0.870519
91,0.534786,0.839405,0.470141,0.862510
92,0.514794,0.846380,0.297469,0.913043
93,0.511557,0.854822,0.335269,0.902365
94,0.507650,0.847114,0.410664,0.880816
95,0.496527,0.851794,0.335063,0.905034
96,0.509496,0.846380,0.338581,0.900076
97,0.488303,0.856291,0.894497,0.774218
98,0.488621,0.857667,0.300132,0.915713
99,0.489356,0.855557,0.365858,0.889779
100,0.479873,0.857025,0.400969,0.875667
101,0.484170,0.857117,0.337037,0.898741
102,0.466711,0.859503,0.421173,0.878909
103,0.476764,0.860787,0.322501,0.907704
104,0.455898,0.864366,0.311247,0.908848
105,0.472637,0.859503,0.297803,0.912471
106,0.456411,0.865651,0.330273,0.905988
107,0.450658,0.865651,0.308740,0.906178
108,0.452206,0.867762,0.264108,0.924104
109,0.430691,0.873543,0.307278,0.909230
110,0.427401,0.872901,0.299394,0.916857
111,0.449581,0.866844,0.396527,0.878528
112,0.425677,0.876204,0.253004,0.925629
113,0.416560,0.876663,0.273246,0.921053
114,0.410625,0.877030,0.287980,0.918192
115,0.414397,0.882628,0.259144,0.924294
116,0.402567,0.885014,0.410709,0.879672
117,0.407828,0.878315,0.392040,0.884249
118,0.407873,0.881619,0.409392,0.879481
119,0.406481,0.880426,0.266476,0.925629
120,0.392813,0.886483,0.263941,0.923341
121,0.410037,0.880059,0.263927,0.922769
122,0.394612,0.885106,0.354666,0.894165
123,0.386763,0.886574,0.246405,0.925820
124,0.391454,0.880701,0.273742,0.918764
125,0.385668,0.889327,0.278406,0.918192
126,0.381974,0.890429,0.279529,0.918955
127,0.369940,0.891989,0.221654,0.936117
128,0.366052,0.895476,0.234446,0.930397
129,0.370971,0.889970,0.249450,0.929443
130,0.371364,0.888318,0.227420,0.932685
131,0.364862,0.893090,0.254514,0.930397
132,0.359745,0.895659,0.274777,0.916285
133,0.362451,0.892631,0.235961,0.933448
134,0.363259,0.895476,0.277046,0.918955
135,0.368486,0.894650,0.284195,0.916667
136,0.351204,0.897586,0.265240,0.919146
137,0.337654,0.901533,0.250328,0.921625
138,0.345970,0.902358,0.299959,0.909230
139,0.351385,0.900156,0.234864,0.931922
140,0.335904,0.902450,0.233114,0.927918
141,0.342085,0.902726,0.230342,0.935545
142,0.333149,0.904102,0.237542,0.930206
143,0.331996,0.908415,0.218806,0.935164
144,0.336735,0.902542,0.218373,0.939169
145,0.340505,0.901624,0.218187,0.933829
146,0.338104,0.899605,0.257420,0.925629
147,0.332737,0.903643,0.210635,0.934973
148,0.334032,0.902542,0.213084,0.935545
149,0.342858,0.900431,0.207151,0.939169
150,0.325336,0.906855,0.220231,0.934401
151,0.318864,0.906855,0.220731,0.934592
152,0.309788,0.910801,0.215106,0.939169
153,0.320964,0.907497,0.227425,0.931732
154,0.321595,0.904653,0.209718,0.938215
155,0.324531,0.907773,0.214394,0.937262
156,0.313494,0.908966,0.205661,0.940122
157,0.305451,0.910618,0.205203,0.937452
158,0.306717,0.915390,0.206184,0.937452
159,0.310251,0.909241,0.210577,0.937452
160,0.316659,0.908507,0.205724,0.940885
161,0.303157,0.912912,0.204031,0.941838
162,0.308033,0.913004,0.204468,0.939931
163,0.304063,0.913554,0.206836,0.938787
164,0.310756,0.911352,0.203800,0.939550
165,0.300803,0.912912,0.200703,0.939931
166,0.289834,0.918510,0.206022,0.935927
167,0.301116,0.914472,0.205741,0.939169
168,0.302594,0.909241,0.203087,0.939741
169,0.302069,0.909149,0.199252,0.940313
170,0.295601,0.915573,0.201421,0.940122
171,0.306528,0.914655,0.199524,0.940694
172,0.298894,0.913187,0.209515,0.937834
173,0.300993,0.914747,0.199252,0.941076
174,0.285897,0.918693,0.197786,0.941266
175,0.292005,0.916858,0.199083,0.940885
176,0.283548,0.923190,0.199746,0.941076
177,0.287196,0.923924,0.199529,0.940313
178,0.287095,0.920437,0.199453,0.941457
179,0.294228,0.916491,0.197020,0.941266
180,0.282090,0.921171,0.198371,0.942792
181,0.288964,0.919152,0.199283,0.941457
182,0.299498,0.916858,0.197818,0.941457
183,0.280831,0.919611,0.200215,0.940313
184,0.289854,0.917225,0.196333,0.942029
185,0.289501,0.918326,0.195562,0.942601
186,0.283816,0.920529,0.195800,0.942601
187,0.285024,0.919703,0.196942,0.942601
188,0.285610,0.920620,0.195022,0.942029
189,0.280210,0.922089,0.200034,0.942410
190,0.279558,0.923282,0.198546,0.942220
191,0.290515,0.914747,0.195720,0.942029
192,0.277614,0.919978,0.195171,0.942982
193,0.277467,0.924108,0.195461,0.942982
194,0.280844,0.920162,0.196764,0.940885
195,0.285616,0.919794,0.195506,0.941838
196,0.281646,0.923190,0.196573,0.941457
197,0.285838,0.918418,0.198810,0.942601
198,0.279167,0.924750,0.196539,0.943364
199,0.278191,0.922180,0.197059,0.942220
200,0.286034,0.916950,0.195499,0.942029
