epoch,train_loss,train_acc,val_loss,val_acc
1,4.857839,0.051666,4.600100,0.058543
2,4.602915,0.068918,4.458878,0.084477
3,4.424995,0.081215,4.251538,0.088482
4,4.238453,0.094889,4.100125,0.094966
5,4.090308,0.106176,6.031026,0.036423
6,3.951586,0.120308,3.827340,0.137681
7,3.793573,0.139947,5.446143,0.074180
8,3.657095,0.158209,3.325775,0.217010
9,3.475004,0.184546,3.462999,0.159992
10,3.328561,0.194457,4.336249,0.110793
11,3.190651,0.223731,4.535396,0.114226
12,3.056200,0.242085,6.851830,0.031465
13,2.942056,0.260989,2.537656,0.362319
14,2.828622,0.280536,3.435770,0.207857
15,2.740416,0.294668,2.398157,0.370900
16,2.626333,0.318895,2.962110,0.263921
17,2.540383,0.335413,2.988832,0.262777
18,2.458917,0.345875,3.162123,0.240084
19,2.367390,0.363678,2.394258,0.363654
20,2.314235,0.387813,1.881185,0.499047
21,2.236877,0.402129,2.212806,0.405416
22,2.164174,0.421033,2.057437,0.445080
23,2.104445,0.433422,1.915630,0.462433
24,2.054558,0.447371,2.372617,0.372426
25,1.994846,0.455997,1.669641,0.542143
26,1.934087,0.471873,2.113232,0.431350
27,1.895764,0.472515,2.409513,0.364607
28,1.869136,0.482243,1.682572,0.527079
29,1.802331,0.503074,1.526190,0.573799
30,1.766500,0.506103,1.949013,0.458810
31,1.725166,0.517665,2.176131,0.439169
32,1.688015,0.528861,1.548032,0.558352
33,1.643696,0.541525,1.504737,0.594584
34,1.619259,0.539231,6.014980,0.123760
35,1.575222,0.553088,2.331152,0.412853
36,1.569423,0.559695,1.317904,0.641304
37,1.519204,0.568780,1.230645,0.668955
38,1.476384,0.583372,1.417751,0.593249
39,1.471333,0.582179,1.376847,0.610412
40,1.431782,0.590713,1.911400,0.487033
41,1.391788,0.603744,0.989813,0.728452
42,1.378115,0.614114,1.237030,0.641876
43,1.355140,0.611544,1.037236,0.717391
44,1.343305,0.620538,6.863472,0.208810
45,1.306036,0.628889,1.026243,0.715866
46,1.279663,0.629348,0.933237,0.742754
47,1.258126,0.638524,1.775602,0.511251
48,1.234547,0.645774,1.660038,0.553776
49,1.213644,0.653666,1.293528,0.631960
50,1.197102,0.658805,1.191143,0.651602
51,1.180005,0.661375,1.454675,0.593440
52,1.165847,0.663577,0.997955,0.716056
53,1.127269,0.676149,1.978186,0.515256
54,1.124144,0.672754,0.994211,0.708429
55,1.089957,0.683216,3.374525,0.385584
56,1.066775,0.693494,1.126140,0.663997
57,1.058157,0.693310,1.217274,0.642449
58,1.031458,0.699917,0.960441,0.728070
59,1.026785,0.700193,0.806621,0.767735
60,0.998554,0.713316,1.029480,0.700229
61,0.991826,0.707901,0.874932,0.745614
62,0.984656,0.714509,0.660260,0.818078
63,0.962736,0.720932,1.061449,0.691648
64,0.943652,0.726347,0.676487,0.798246
65,0.928877,0.729192,1.170472,0.687452
66,0.925793,0.725704,0.639905,0.825706
67,0.918865,0.732403,0.595469,0.827613
68,0.891138,0.736992,0.948219,0.717963
69,0.879915,0.747086,0.781883,0.766590
70,0.868271,0.746077,0.666106,0.813120
71,0.856334,0.748922,0.820889,0.753623
72,0.842979,0.750023,0.599932,0.827803
73,0.817456,0.760943,0.646215,0.814264
74,0.822449,0.758190,0.806399,0.763349
75,0.820650,0.754428,0.780952,0.764111
76,0.808080,0.765532,0.781752,0.763349
77,0.802791,0.766358,0.514778,0.850877
78,0.782050,0.767367,0.620130,0.818841
79,0.781691,0.773791,0.551672,0.839436
80,0.765582,0.774984,0.877463,0.745995
81,0.759950,0.779389,1.081523,0.684592
82,0.747369,0.779756,0.521039,0.846110
83,0.725597,0.786639,0.467979,0.876430
84,0.729041,0.782876,0.671688,0.806064
85,0.724623,0.788107,0.529886,0.841724
86,0.705453,0.799670,0.660157,0.809878
87,0.712918,0.793246,0.567565,0.832952
88,0.690098,0.795540,0.521999,0.850877
89,0.699850,0.794164,0.631110,0.819031
90,0.680999,0.799670,0.456741,0.868802
91,0.681072,0.798477,1.108439,0.701754
92,0.674832,0.801138,0.619396,0.808543
93,0.652726,0.809030,0.441549,0.877384
94,0.658334,0.806093,0.862443,0.777460
95,0.646133,0.810590,0.789068,0.778223
96,0.641928,0.811508,0.843232,0.778795
97,0.633529,0.812058,0.728500,0.795004
98,0.639836,0.809948,0.439994,0.881579
99,0.617233,0.817932,0.420497,0.879100
100,0.611848,0.819125,0.381327,0.889588
101,0.598094,0.825732,0.504356,0.849542
102,0.608124,0.820409,0.375380,0.895118
103,0.590329,0.823713,0.475736,0.860793
104,0.588996,0.826282,0.579132,0.836384
105,0.594457,0.823071,0.409745,0.877002
106,0.570500,0.830687,0.358202,0.894928
107,0.570094,0.836836,0.501216,0.856217
108,0.573579,0.830687,0.357400,0.896834
109,0.562984,0.832982,0.484161,0.853356
110,0.567827,0.833899,0.534498,0.844012
111,0.552718,0.834358,0.378453,0.890732
