epoch,train_loss,train_acc,val_loss,val_acc
1,4.855848,0.053226,4.599581,0.063501
2,4.599847,0.064054,4.510933,0.071701
3,4.430094,0.076994,4.530780,0.072273
4,4.227383,0.095806,4.844010,0.065789
5,4.064992,0.112967,7.104812,0.020023
6,3.917215,0.127191,3.660831,0.155416
7,3.765837,0.144719,5.981875,0.072082
8,3.636436,0.158759,3.373979,0.205759
9,3.485531,0.184271,3.225361,0.229405
10,3.342635,0.202625,4.236666,0.120900
11,3.197108,0.223181,3.916113,0.128337
12,3.073396,0.243920,3.782861,0.126812
13,2.955948,0.259246,2.815646,0.292334
14,2.850986,0.275580,6.330547,0.094966
15,2.747006,0.300174,2.612675,0.309306
16,2.658271,0.321556,2.999240,0.241228
17,2.550827,0.337065,2.685525,0.307018
18,2.488177,0.348536,2.534257,0.341915
19,2.398769,0.369551,2.282118,0.386156
20,2.329983,0.383867,2.660285,0.363654
21,2.239094,0.401120,2.847538,0.318650
22,2.176118,0.414793,1.882758,0.481503
23,2.133794,0.425897,1.650044,0.556827
24,2.065026,0.440396,2.339444,0.384630
25,2.013512,0.452418,2.376844,0.375286
26,1.945836,0.470496,3.009365,0.304729
27,1.913396,0.477746,2.117238,0.460717
28,1.874359,0.482059,3.731335,0.229024
29,1.840225,0.492704,1.759372,0.526125
30,1.804644,0.501422,2.948622,0.339817
31,1.756940,0.509131,1.937271,0.486461
32,1.715608,0.518400,1.576751,0.552632
33,1.686567,0.529320,1.627769,0.569794
34,1.667241,0.527576,2.506181,0.413806
35,1.620463,0.548591,3.624182,0.271930
36,1.604252,0.549142,1.324185,0.630244
37,1.551230,0.564008,4.047189,0.281655
38,1.527111,0.565844,2.337973,0.419908
39,1.500849,0.578324,1.043735,0.719680
40,1.480613,0.583647,1.047056,0.706712
41,1.461641,0.580068,1.184892,0.655606
42,1.412706,0.599615,0.983843,0.726354
43,1.404336,0.604295,1.349049,0.611747
44,1.387216,0.603469,1.683595,0.531083
45,1.352159,0.614022,1.078872,0.691457
46,1.321965,0.623750,1.211929,0.663806
47,1.305855,0.627512,1.100623,0.673341
48,1.279166,0.634028,1.235517,0.649123
49,1.264192,0.631917,1.169461,0.659039
50,1.236897,0.648527,1.440328,0.619565
51,1.245276,0.644673,1.723791,0.543669
52,1.221448,0.649537,1.847871,0.519260
53,1.183558,0.661283,1.078177,0.687643
54,1.159286,0.666238,0.720864,0.799771
55,1.145526,0.667890,1.133370,0.673913
56,1.139129,0.677159,0.739410,0.784706
57,1.099151,0.683216,0.970351,0.719298
58,1.094092,0.681380,1.345140,0.626621
59,1.083192,0.687620,1.063795,0.704424
60,1.075366,0.692301,7.127385,0.256674
61,1.055371,0.694136,0.912562,0.741037
62,1.031221,0.703313,0.751183,0.779939
63,1.018054,0.708911,0.657563,0.812357
64,1.013357,0.710104,0.804865,0.774027
65,0.992614,0.709002,2.300179,0.515065
66,0.972605,0.718730,0.857568,0.755149
67,0.972180,0.718088,0.731742,0.783562
68,0.959735,0.721024,0.621032,0.827803
69,0.940310,0.727540,0.573352,0.842487
70,0.929221,0.729008,0.897818,0.745995
71,0.909027,0.736258,0.654127,0.800343
72,0.899695,0.738919,0.635415,0.818650
73,0.901880,0.734881,0.980064,0.714150
74,0.900124,0.738919,0.530117,0.848207
75,0.875269,0.744884,1.153010,0.705187
76,0.854314,0.753051,2.353174,0.489512
77,0.872421,0.745802,0.631563,0.814073
78,0.851386,0.748279,0.682257,0.799771
79,0.813708,0.764706,0.655520,0.806636
80,0.836369,0.755896,0.607136,0.827231
81,0.814184,0.761402,0.600730,0.827803
