epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s
1,4.840735,0.053317,4.621788,0.059497,8.039
2,4.552653,0.072405,4.410188,0.080282,7.315
3,4.281436,0.091952,4.134454,0.105454,7.500
4,4.066902,0.107277,3.963672,0.121854,7.482
5,3.890950,0.127375,3.945975,0.106407,7.580
6,3.728175,0.149124,4.512453,0.094394,8.148
7,3.539209,0.174452,3.541007,0.172387,7.792
8,3.340422,0.204276,3.576870,0.157323,8.158
9,3.120071,0.243003,4.387826,0.091915,7.389
10,2.945344,0.275213,3.414793,0.214340,8.185
11,2.729642,0.312288,9.775218,0.056064,7.737
12,2.544083,0.357346,3.754445,0.138253,7.442
13,2.375802,0.391117,24.701552,0.033181,7.576
14,2.228615,0.418647,2.478673,0.375477,7.881
15,2.105824,0.443058,2.187264,0.422769,8.649
16,1.979703,0.472057,2.086423,0.490656,7.712
17,1.863686,0.510416,16.255411,0.045767,7.584
18,1.772818,0.523539,3.055756,0.332189,7.580
19,1.676534,0.548683,3.186462,0.254195,7.617
20,1.595926,0.573919,2.512697,0.367468,7.955
21,1.529955,0.579884,1.743412,0.518116,8.251
22,1.453421,0.602826,1.513394,0.609840,7.586
23,1.411566,0.614756,1.461060,0.588863,7.498
24,1.328162,0.633385,1.239009,0.663234,8.055
25,1.282817,0.648435,2.445231,0.409420,7.949
26,1.230980,0.654584,4.729939,0.257246,8.502
27,1.175085,0.670460,1.432138,0.610603,7.350
28,1.138054,0.682023,1.331841,0.647216,8.533
29,1.091910,0.694320,0.984433,0.757628,8.511
30,1.054510,0.708635,1.080858,0.732456,7.986
31,0.988045,0.723318,2.331461,0.394355,7.687
32,0.971484,0.730843,0.937421,0.744279,7.555
33,0.943483,0.733505,1.642375,0.560641,7.543
34,0.920523,0.741305,7.043467,0.159611,7.967
35,0.873480,0.751032,1.263633,0.661709,7.905
36,0.832605,0.765348,10.660402,0.111175,7.740
37,0.813688,0.770946,1.182356,0.675629,7.820
38,0.782854,0.782601,1.409855,0.618421,7.616
39,0.754325,0.788015,2.001617,0.501907,7.712
40,0.757100,0.785078,2.951029,0.395118,7.516
41,0.719047,0.795815,1.973340,0.511632,8.578
42,0.694946,0.807286,0.888743,0.748474,8.027
43,0.664518,0.810498,3.377355,0.287757,7.731
44,0.650642,0.819767,1.511852,0.594203,7.635
45,0.639725,0.822336,1.399894,0.610793,7.554
46,0.618705,0.828210,0.698974,0.803394,7.627
47,0.597680,0.831789,1.404362,0.643593,7.691
48,0.579937,0.838855,0.667833,0.813883,7.440
49,0.568380,0.838671,1.702110,0.624523,7.575
50,0.548869,0.846196,0.580432,0.833524,8.262
51,0.539012,0.846196,3.220625,0.395118,7.738
52,0.517670,0.857025,0.674872,0.804539,7.921
53,0.500792,0.860329,1.333820,0.652174,7.947
54,0.481702,0.867028,3.823841,0.389969,7.416
55,0.471256,0.867578,2.280941,0.580473,7.642
56,0.470078,0.868037,0.497604,0.852212,7.639
57,0.447214,0.877581,0.988293,0.725591,7.501
58,0.438347,0.875746,2.983294,0.517162,8.043
59,0.434724,0.879233,2.776377,0.504386,7.413
60,0.420339,0.884647,0.512073,0.854691,8.640
61,0.411803,0.880885,0.535385,0.838863,7.937
62,0.399741,0.888043,1.135066,0.691076,7.619
63,0.403071,0.884922,1.641053,0.644546,7.992
64,0.370930,0.899238,1.889812,0.512395,7.822
65,0.377098,0.894742,3.191346,0.462243,7.598
66,0.375894,0.894466,0.468495,0.866323,7.552
67,0.364623,0.899972,1.177171,0.673913,7.404
68,0.350691,0.903001,0.411733,0.882151,7.797
69,0.336929,0.908415,0.714725,0.804920,7.532
70,0.346905,0.902542,0.518975,0.849733,7.678
71,0.322764,0.914472,1.513080,0.640923,7.731
72,0.319205,0.910067,1.811098,0.589626,7.746
73,0.317700,0.912086,1.393016,0.691076,7.649
74,0.310536,0.914197,7.748694,0.302441,7.670
75,0.296741,0.919703,0.633274,0.813692,7.675
76,0.295215,0.919060,0.545241,0.827422,8.005
77,0.294789,0.917041,0.753230,0.785850,7.497
78,0.287287,0.921905,0.468534,0.865370,7.835
79,0.290625,0.920804,1.312536,0.665523,7.628
80,0.282240,0.923098,0.775461,0.783181,8.202
81,0.262537,0.930623,0.884285,0.744661,7.460
82,0.260483,0.931724,3.736124,0.383867,7.643
83,0.257553,0.929889,0.390858,0.880244,8.673
84,0.248953,0.933009,0.999810,0.738177,7.648
85,0.247061,0.933651,0.872083,0.758581,7.584
86,0.242736,0.937689,0.496454,0.856979,7.598
87,0.236510,0.936772,0.449768,0.859268,8.445
88,0.231859,0.938607,0.647409,0.823417,8.058
89,0.225148,0.939433,10.000713,0.262014,7.920
90,0.222201,0.941819,0.357464,0.894355,7.400
91,0.217868,0.945490,1.539767,0.655988,7.653
92,0.221761,0.942002,0.376881,0.886156,7.786
93,0.212592,0.946958,0.431457,0.871663,7.925
94,0.216424,0.944113,1.846719,0.637300,7.836
95,0.207655,0.948610,0.314839,0.904462,7.444
96,0.199840,0.948334,0.410645,0.872044,7.628
97,0.203808,0.948151,0.471935,0.850496,7.528
98,0.196928,0.951638,0.446141,0.861365,8.068
99,0.199879,0.949711,3.351086,0.516590,7.352
100,0.193650,0.950904,0.369405,0.892067,7.510
101,0.179033,0.956869,0.450830,0.859268,8.320
102,0.184107,0.954483,0.816049,0.771930,7.760
103,0.175584,0.956869,0.405116,0.887872,7.677
104,0.182541,0.953841,0.344823,0.897216,7.787
105,0.169767,0.959163,0.369892,0.891686,7.944
106,0.176487,0.957419,0.351336,0.889588,7.840
107,0.163027,0.961733,0.649169,0.819603,7.675
108,0.159197,0.962191,0.391598,0.879672,7.864
109,0.160185,0.959438,0.288986,0.914188,7.545
110,0.163671,0.957052,0.290334,0.914378,7.574
111,0.158177,0.961366,0.482594,0.851640,7.861
112,0.162212,0.959714,0.321084,0.902174,7.360
113,0.153678,0.963293,0.388944,0.888825,7.544
114,0.155288,0.962742,0.318477,0.904081,8.790
115,0.147505,0.964394,0.376467,0.894546,7.820
116,0.145364,0.965036,0.309434,0.902555,7.594
117,0.138619,0.968432,0.382978,0.892639,7.499
118,0.145844,0.966413,0.290257,0.909230,8.359
119,0.137016,0.967973,0.291243,0.910946,7.805
120,0.134662,0.967881,0.326755,0.901602,7.812
121,0.134537,0.969074,0.316364,0.899504,8.622
122,0.138688,0.967881,0.310571,0.910374,7.517
123,0.131524,0.968432,0.968688,0.751716,7.874
124,0.128146,0.970542,0.331079,0.899314,7.500
125,0.129388,0.971185,0.375559,0.891876,7.876
126,0.132866,0.968891,0.398025,0.883867,8.339
127,0.123099,0.972102,1.625919,0.657704,7.983
128,0.125477,0.971001,0.316212,0.899695,8.000
129,0.121883,0.972102,0.271832,0.924294,8.129
130,0.120488,0.972745,0.280374,0.917048,7.903
131,0.114216,0.976324,0.299490,0.909230,7.581
132,0.120315,0.973204,0.984834,0.779176,8.205
133,0.117971,0.973387,0.281984,0.918002,7.344
134,0.117015,0.973387,0.375370,0.884058,7.619
135,0.116970,0.974947,0.258810,0.925629,7.525
136,0.107968,0.977609,0.280274,0.917620,7.662
137,0.111071,0.975773,0.272781,0.917429,7.702
138,0.108780,0.977517,0.262140,0.923532,7.834
139,0.106749,0.977609,0.267430,0.918192,7.598
140,0.108713,0.975865,0.256805,0.925057,7.601
141,0.100195,0.979719,0.403080,0.878719,7.942
142,0.099533,0.979811,0.276577,0.919718,7.535
143,0.110086,0.975039,0.261678,0.926011,7.939
144,0.104183,0.978067,0.297686,0.912662,8.757
145,0.103761,0.978526,0.284077,0.918574,7.518
146,0.099046,0.979903,0.255432,0.925439,7.526
147,0.106324,0.977058,0.256232,0.924485,8.191
148,0.095715,0.982013,0.266436,0.921243,8.027
149,0.094390,0.979903,0.453731,0.871281,7.838
150,0.092518,0.979719,0.252008,0.926583,7.982
151,0.095449,0.979719,0.256988,0.923341,7.953
152,0.092518,0.981738,0.253936,0.926583,8.287
153,0.091190,0.980362,0.272139,0.922006,8.419
154,0.090331,0.983115,0.262141,0.924294,8.135
155,0.092113,0.981187,0.249449,0.926583,7.777
156,0.090464,0.981279,0.246852,0.926964,7.845
157,0.092764,0.982197,0.251356,0.922197,7.944
158,0.089257,0.980637,0.246579,0.924867,7.625
159,0.090184,0.982013,0.273523,0.921625,7.639
160,0.086825,0.984308,0.241931,0.928871,7.663
161,0.085142,0.984766,0.247145,0.926201,8.241
162,0.087407,0.981830,0.246425,0.929443,7.651
163,0.090583,0.980178,0.249664,0.926964,7.788
164,0.087276,0.982472,0.247182,0.928108,7.850
165,0.085133,0.983849,0.252407,0.926392,7.638
166,0.080651,0.983941,0.249786,0.926011,7.976
167,0.084604,0.983298,0.245693,0.929252,8.712
168,0.085605,0.983390,0.247052,0.927536,7.831
169,0.083098,0.983665,0.245473,0.929443,7.720
170,0.082038,0.983390,0.246609,0.926773,7.543
171,0.085268,0.981830,0.241204,0.929443,7.927
172,0.081498,0.984308,0.242762,0.930015,7.692
173,0.082445,0.983757,0.245347,0.928871,7.684
