epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
1,4.853634,0.052583,4.591258,0.070938,0.355819,461.261,11.249
2,4.595929,0.062035,4.431901,0.073799,0.441660,142.082,11.249
3,4.417796,0.074516,4.457201,0.069794,0.518020,143.011,11.249
4,4.216511,0.092411,5.414808,0.059878,0.609582,142.953,11.249
5,4.019328,0.107277,3.900982,0.125858,0.700126,142.979,11.249
6,3.836735,0.126640,3.885195,0.131960,0.800302,143.048,11.249
7,3.561463,0.166651,3.268114,0.216629,0.911499,143.067,11.249
8,3.272931,0.211159,3.378125,0.216629,1.021403,143.014,11.249
9,3.005138,0.252088,3.907329,0.142830,1.139318,142.934,11.249
10,2.749703,0.303294,3.267663,0.182876,1.259331,142.991,11.249
11,2.539411,0.336606,2.610882,0.321892,1.370817,142.986,11.249
12,2.323355,0.388914,3.122682,0.232075,1.474505,143.122,11.249
13,2.145354,0.428375,2.764630,0.318078,1.575797,142.997,11.249
14,1.969520,0.465357,2.187308,0.397025,1.671475,143.033,11.249
15,1.834321,0.499679,2.237287,0.397597,1.762163,143.010,11.249
16,1.696077,0.535744,1.406160,0.622807,1.849974,142.972,11.249
17,1.581195,0.561255,1.344625,0.616514,1.929236,143.036,11.249
18,1.470983,0.589245,1.426691,0.617086,2.002810,143.020,11.249
19,1.373264,0.619161,1.328266,0.649886,2.072305,143.081,11.249
20,1.284848,0.638891,1.244179,0.645690,2.140631,142.977,11.249
21,1.198732,0.667890,1.088201,0.705759,2.204153,143.005,11.249
22,1.125017,0.682665,1.213649,0.670481,2.264955,143.076,11.249
23,1.084643,0.690649,0.977298,0.717773,2.330829,142.948,11.249
24,1.024844,0.704781,0.978974,0.719108,2.390870,142.943,11.249
25,0.978340,0.724603,0.783421,0.781083,2.447820,142.879,11.249
26,0.939648,0.732954,1.626527,0.559687,2.503685,142.966,11.249
27,0.872971,0.745159,0.967606,0.713768,2.554870,142.969,11.249
28,0.843865,0.752317,1.117211,0.665904,2.603433,143.039,11.249
29,0.804004,0.770028,1.056502,0.688406,2.653468,142.935,11.249
30,0.779890,0.771864,0.657751,0.805683,2.699462,142.988,11.249
31,0.752279,0.779848,1.856635,0.523265,2.752284,142.990,11.249
32,0.704426,0.793980,0.505425,0.849161,2.794452,142.957,11.249
33,0.703450,0.795540,0.722306,0.787948,2.843440,142.989,11.249
34,0.670172,0.803065,0.729880,0.786041,2.886978,143.035,11.249
35,0.644422,0.811600,0.629280,0.818459,2.931698,142.868,11.249
36,0.628329,0.816188,0.517222,0.852784,2.981845,142.889,11.249
37,0.611902,0.819216,0.527952,0.846110,3.026036,142.887,11.249
38,0.580708,0.825824,0.656867,0.806064,3.064834,142.919,11.249
39,0.574778,0.827017,0.502917,0.847826,3.109598,142.910,11.249
40,0.557573,0.830137,0.512928,0.841152,3.152030,142.952,11.249
41,0.537854,0.839497,0.824185,0.766972,3.190760,142.898,11.249
42,0.520609,0.846839,0.762917,0.774218,3.230905,143.022,11.249
43,0.508073,0.843810,0.601120,0.815980,3.274695,142.907,11.249
44,0.499397,0.852804,0.382338,0.884821,3.312702,143.036,11.249
45,0.481311,0.854731,0.728905,0.785850,3.345515,142.892,11.249
46,0.464587,0.863724,0.636999,0.803776,3.385793,142.867,11.249
47,0.452950,0.860879,0.568533,0.821892,3.424276,142.907,11.249
48,0.447663,0.864825,0.515216,0.846873,3.459661,142.954,11.249
49,0.428429,0.871249,0.538545,0.836766,3.498553,142.992,11.249
50,0.435217,0.867578,0.552782,0.837719,3.531463,142.821,11.249
51,0.414617,0.874094,1.206336,0.653127,3.568637,142.868,11.249
52,0.398602,0.879233,0.365553,0.893402,3.602282,142.808,11.249
53,0.396790,0.881527,0.417230,0.871281,3.638447,142.826,11.249
54,0.366445,0.886941,0.633406,0.817887,3.670973,142.782,11.249
55,0.367133,0.890520,0.502432,0.840770,3.706001,142.962,11.249
56,0.360264,0.890153,1.347104,0.664569,3.740022,142.933,11.249
57,0.359350,0.887308,1.284660,0.672578,3.775869,142.939,11.249
58,0.343567,0.893365,0.445689,0.863654,3.809691,142.732,11.249
59,0.350824,0.896302,0.664555,0.792525,3.838300,142.748,11.249
60,0.342859,0.895384,0.379280,0.886918,3.871745,142.892,11.249
61,0.325569,0.899238,0.428496,0.867277,3.896883,142.768,11.249
62,0.323629,0.900431,0.339509,0.898932,3.932720,142.958,11.249
63,0.309977,0.904928,0.424997,0.870519,3.964085,142.928,11.249
64,0.308711,0.904928,0.458433,0.864416,3.989396,142.996,11.249
65,0.299805,0.908323,0.440091,0.862128,4.021583,142.774,11.249
66,0.289798,0.912086,0.356924,0.894165,4.045160,142.744,11.249
67,0.294340,0.910709,0.806564,0.771739,4.076286,142.754,11.249
68,0.285724,0.914105,0.406736,0.874523,4.098616,142.806,11.249
69,0.285330,0.916307,0.449908,0.862891,4.129098,142.901,11.249
70,0.281222,0.913554,0.363024,0.897979,4.159602,142.774,11.249
71,0.269944,0.920620,0.305804,0.903699,4.185022,142.933,11.249
72,0.269253,0.915573,0.687755,0.800915,4.210010,142.646,11.249
73,0.266687,0.920804,0.377426,0.882532,4.238601,142.694,11.249
74,0.250768,0.923282,0.455494,0.868230,4.263157,142.668,11.249
75,0.240442,0.928696,0.306671,0.902555,4.294222,142.811,11.249
76,0.246264,0.924658,0.337991,0.897788,4.317123,142.845,11.249
77,0.232881,0.929522,0.309211,0.909230,4.339582,142.774,11.249
78,0.244864,0.927595,0.468596,0.855645,4.368147,142.893,11.249
79,0.245766,0.926035,0.265777,0.920671,4.396510,142.910,11.249
80,0.237339,0.926585,0.316471,0.904272,4.425936,142.784,11.249
81,0.222840,0.933468,0.355885,0.893021,4.443344,142.909,11.249
82,0.210677,0.934661,0.267506,0.918383,4.462651,142.841,11.249
83,0.213577,0.935946,0.310378,0.907704,4.482287,142.806,11.249
84,0.205004,0.939708,0.233134,0.932113,4.502930,142.661,11.249
85,0.198675,0.939708,0.252353,0.924294,4.520037,142.784,11.249
86,0.206430,0.937506,0.290861,0.906178,4.535910,142.717,11.249
87,0.190940,0.943746,0.267046,0.915332,4.555302,142.859,11.249
88,0.193339,0.940534,0.338138,0.898551,4.580123,142.813,11.249
89,0.191626,0.942002,0.252455,0.921434,4.597880,142.887,11.249
90,0.183848,0.946499,0.245162,0.924676,4.619542,142.846,11.249
91,0.175362,0.947876,0.366335,0.891304,4.638386,142.704,11.249
92,0.183016,0.943930,0.214781,0.934401,4.656882,142.665,11.249
93,0.186273,0.941268,0.318992,0.903699,4.671375,142.908,11.249
94,0.172917,0.951913,0.525436,0.850686,4.693720,142.675,11.249
95,0.174871,0.946224,0.247427,0.925629,4.707069,142.884,11.249
96,0.169087,0.951455,0.224631,0.930015,4.724877,142.696,11.249
97,0.170549,0.947600,0.252455,0.922769,4.744201,142.768,11.249
98,0.165002,0.954208,0.282158,0.911709,4.765069,142.622,11.249
99,0.157913,0.954483,0.223483,0.928108,4.778488,142.852,11.249
100,0.158078,0.954942,0.223678,0.927536,4.793926,142.819,11.249
101,0.160559,0.951822,0.231456,0.929634,4.803849,142.840,11.249
102,0.155607,0.954391,0.258492,0.920099,4.818770,142.621,11.249
103,0.154166,0.954575,0.205503,0.938024,4.834855,142.810,11.249
104,0.146986,0.957878,0.207938,0.939550,4.850012,142.674,11.249
105,0.142415,0.960173,0.238310,0.931541,4.864348,142.706,11.249
106,0.143662,0.957419,0.212557,0.933829,4.872839,142.823,11.249
107,0.144052,0.958429,0.258226,0.920099,4.881085,142.742,11.249
108,0.143395,0.957603,0.188686,0.944508,4.894653,142.893,11.249
109,0.136589,0.962283,0.244935,0.925439,4.909325,142.778,11.249
110,0.132753,0.963568,0.252388,0.925629,4.918404,142.687,11.249
111,0.139940,0.958062,0.253276,0.923913,4.927231,142.684,11.249
112,0.124671,0.967239,0.200029,0.941266,4.936039,142.879,11.249
113,0.127254,0.965587,0.218112,0.934783,4.946826,142.620,11.249
114,0.129984,0.962559,0.217093,0.933638,4.959233,142.704,11.249
115,0.125483,0.963751,0.203280,0.937452,4.968575,142.704,11.249
116,0.127637,0.963935,0.202229,0.938978,4.981263,142.634,11.249
117,0.117686,0.967514,0.182198,0.943173,4.989353,142.677,11.249
118,0.119351,0.965954,0.191224,0.939550,5.000474,142.639,11.249
119,0.120433,0.964853,0.227372,0.933257,5.009997,142.697,11.249
120,0.122960,0.962926,0.180343,0.944317,5.017804,142.682,11.249
121,0.115635,0.965495,0.186408,0.943745,5.026803,142.873,11.249
122,0.112994,0.968523,0.242843,0.923150,5.034028,142.677,11.249
123,0.117769,0.965954,0.174965,0.946224,5.040770,142.781,11.249
124,0.106683,0.970084,0.193486,0.945080,5.047504,142.704,11.249
125,0.110161,0.968982,0.193490,0.941266,5.055308,142.856,11.249
126,0.111143,0.967330,0.207835,0.938787,5.060787,142.753,11.249
127,0.106577,0.970818,0.183921,0.947368,5.067841,142.796,11.249
128,0.105967,0.969992,0.176661,0.945080,5.075902,142.823,11.249
129,0.102894,0.972194,0.187163,0.944699,5.082545,142.831,11.249
130,0.104106,0.971001,0.184635,0.948131,5.088321,142.982,11.249
131,0.105472,0.970726,0.202231,0.937452,5.094346,142.714,11.249
132,0.096179,0.974672,0.176285,0.946606,5.097077,143.006,11.249
133,0.100717,0.972194,0.174883,0.947178,5.103532,142.835,11.249
134,0.094124,0.975498,0.182767,0.946415,5.105503,142.701,11.249
135,0.093156,0.975498,0.176933,0.951182,5.110498,142.663,11.249
136,0.091495,0.975498,0.194711,0.944508,5.115527,142.845,11.249
137,0.093303,0.974764,0.190463,0.942220,5.120440,142.874,11.249
138,0.088490,0.977517,0.176939,0.947941,5.123904,142.925,11.249
139,0.085058,0.977609,0.169819,0.948894,5.127463,142.788,11.249
140,0.093925,0.975681,0.179451,0.947559,5.132518,142.750,11.249
141,0.092127,0.975314,0.171904,0.951564,5.134919,142.644,11.249
142,0.083886,0.978618,0.170310,0.951754,5.138707,142.852,11.249
143,0.085186,0.977517,0.161957,0.951945,5.140361,142.651,11.249
144,0.090228,0.974672,0.161787,0.952136,5.145945,142.780,11.249
145,0.084545,0.977333,0.165772,0.951564,5.148390,142.868,11.249
146,0.076969,0.981187,0.165991,0.950801,5.153237,142.711,11.249
147,0.076685,0.979169,0.176279,0.947941,5.155113,142.791,11.249
148,0.082561,0.977609,0.170572,0.951182,5.158352,142.811,11.249
149,0.077718,0.979811,0.162583,0.951754,5.161399,142.773,11.249
150,0.077848,0.979719,0.176306,0.951182,5.163841,142.752,11.249
151,0.078093,0.979260,0.164378,0.951373,5.167767,142.732,11.249
152,0.077520,0.980270,0.170677,0.948322,5.169658,142.715,11.249
153,0.074661,0.981738,0.161138,0.953089,5.172130,142.920,11.249
