epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,epoch_time_s,peak_gpu_gib
1,9.724860,0.052033,4.612680,0.068268,0.061594,0.064455,0.173228,185.663,12.454
2,9.268459,0.062127,4.516021,0.069413,0.071892,0.067696,0.316989,158.347,12.454
3,9.098960,0.065981,4.510633,0.072654,0.072082,0.067506,0.275343,163.001,12.454
4,8.977735,0.071579,4.503034,0.072654,0.075515,0.067506,0.395606,160.161,12.454
5,8.746542,0.078554,4.228959,0.089436,0.070938,0.086003,0.147027,165.578,12.454
6,8.425047,0.096816,4.224192,0.063692,0.070557,0.056445,0.120507,165.934,12.454
7,8.051878,0.117005,3.684515,0.156751,0.078375,0.151793,0.170515,163.111,12.454
8,7.705143,0.141140,4.324822,0.106217,0.066934,0.148932,0.592166,163.635,12.454
9,7.330069,0.175828,3.395015,0.205759,0.094203,0.209573,0.539985,164.778,12.454
10,6.956901,0.221437,3.455528,0.180969,0.099352,0.157513,0.316974,165.993,12.454
11,6.588779,0.257227,3.139794,0.213577,0.082952,0.248474,0.341164,159.827,12.454
12,6.248404,0.294118,3.385371,0.200610,0.067887,0.224256,0.474642,163.607,12.454
13,5.992438,0.326237,3.748389,0.159992,0.067696,0.294432,0.643925,165.114,12.454
14,5.748995,0.355511,3.310369,0.247521,0.089245,0.193936,0.214960,161.703,12.454
15,5.554291,0.381389,2.032194,0.502098,0.121663,0.447750,0.253192,164.532,12.454
16,5.346559,0.413508,2.509268,0.365179,0.128909,0.296148,0.203283,160.556,12.454
17,5.164217,0.440121,1.986993,0.471777,0.099161,0.447368,0.335945,159.304,12.454
18,4.981298,0.463797,1.901706,0.521358,0.127384,0.436308,0.231935,166.436,12.454
19,4.818896,0.486097,1.970260,0.453280,0.150648,0.384439,0.182206,162.543,12.454
20,4.650826,0.512802,1.940798,0.464912,0.091342,0.424294,0.361571,165.967,12.454
21,4.509569,0.526383,1.964048,0.467391,0.056255,0.406560,0.183362,168.077,12.454
22,4.386062,0.546664,1.576025,0.567887,0.096682,0.522311,0.327529,164.183,12.454
23,4.265126,0.558778,1.565503,0.560069,0.084096,0.506484,0.252591,163.921,12.454
24,4.122206,0.585666,1.436462,0.616514,0.139779,0.524218,0.232364,159.727,12.454
25,3.990860,0.602918,9.468265,0.072464,0.025934,0.576278,0.897257,160.295,12.454
26,3.900661,0.608516,1.264879,0.662662,0.191266,0.572464,0.358011,169.712,12.454
27,3.814276,0.617234,1.449468,0.621854,0.194317,0.528795,0.411319,161.779,12.454
28,3.679147,0.643755,1.686134,0.548627,0.116133,0.512586,0.314289,167.617,12.454
29,3.579423,0.649995,1.420853,0.594966,0.138825,0.477689,0.362327,162.230,12.454
30,3.499701,0.659631,2.264553,0.489893,0.061785,0.598970,0.492888,163.625,12.454
31,3.411487,0.667798,0.912572,0.766590,0.288520,0.623951,0.324083,162.624,12.454
32,3.313204,0.682940,1.041897,0.706903,0.285278,0.585622,0.356661,167.106,12.454
33,3.220397,0.698357,0.819552,0.772883,0.283944,0.649123,0.376272,159.392,12.454
34,3.124592,0.706984,0.841653,0.771548,0.242944,0.659039,0.345295,168.238,12.454
35,3.028401,0.719831,0.987954,0.734554,0.235126,0.652174,0.414280,161.700,12.454
36,3.004167,0.717904,0.754051,0.797483,0.350686,0.669908,0.350192,163.926,12.454
37,2.937973,0.723502,1.534594,0.606217,0.115942,0.661327,0.438406,160.105,12.454
38,2.854469,0.739286,1.028051,0.713959,0.282609,0.557780,0.396338,164.490,12.454
