epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,wa_anoisy_mean,wa_anoisy_std,wa_clean_mean,wa_clean_std,wa_vnoisy_mean,wa_vnoisy_std,epoch_time_s,peak_gpu_gib
1,9.733382,0.053868,4.629524,0.069603,0.054729,0.068459,0.259475,0.158513,0.121621,0.217557,0.150731,0.221500,0.154723,183.226,12.454
2,9.293445,0.059466,5.147604,0.061022,0.070938,0.053204,0.226230,0.141482,0.134402,0.169813,0.151619,0.169079,0.151326,167.501,12.454
3,9.116043,0.064972,4.491038,0.072654,0.067124,0.071892,0.319216,0.232059,0.074827,0.300549,0.080763,0.301604,0.082629,172.137,12.454
4,9.008757,0.071212,4.698277,0.066362,0.061022,0.063692,0.448258,0.305214,0.226248,0.388326,0.259981,0.383342,0.258670,169.401,12.454
5,8.857792,0.075801,4.494967,0.063501,0.076468,0.059115,0.105683,0.160961,0.117505,0.107803,0.051156,0.092855,0.039455,166.008,12.454
6,8.598522,0.089382,4.158977,0.105835,0.094012,0.093631,0.426960,0.433361,0.194139,0.443660,0.167771,0.459727,0.160168,165.250,12.454
7,8.230745,0.112049,4.752602,0.075515,0.094584,0.072082,0.030128,0.029769,0.066236,0.016357,0.030590,0.021213,0.035751,167.836,12.454
8,7.875000,0.131229,3.931036,0.115751,0.039283,0.125286,0.324637,0.344551,0.216459,0.287060,0.205955,0.402254,0.208654,159.870,12.454
9,7.505268,0.158943,3.951203,0.127002,0.067506,0.160374,0.389347,0.258759,0.202997,0.401552,0.238323,0.396374,0.229475,162.307,12.454
10,7.112357,0.202074,3.220999,0.232075,0.098398,0.208810,0.278833,0.234613,0.229770,0.336352,0.270330,0.342535,0.270508,166.155,12.454
11,6.763305,0.232908,3.220637,0.204043,0.031465,0.183257,0.153073,0.103922,0.137536,0.188525,0.243034,0.184084,0.231127,164.152,12.454
12,6.437648,0.270900,3.012842,0.229786,0.091533,0.211670,0.324895,0.223155,0.228356,0.341168,0.259412,0.278746,0.238160,163.692,12.454
13,6.214559,0.293292,2.907680,0.269451,0.098970,0.212433,0.248288,0.373414,0.280843,0.271588,0.224203,0.258684,0.209054,165.618,12.454
14,5.960302,0.331651,3.039251,0.248665,0.049771,0.341724,0.361874,0.280480,0.183173,0.397305,0.257033,0.405614,0.260798,164.291,12.454
15,5.740657,0.359548,2.399219,0.364226,0.118612,0.288711,0.242605,0.218409,0.149141,0.306318,0.204715,0.269875,0.194490,165.750,12.454
16,5.527584,0.387263,2.510017,0.357170,0.087338,0.295004,0.246576,0.240204,0.207829,0.274287,0.224931,0.262134,0.211700,166.148,12.454
17,5.334113,0.416720,2.309073,0.396072,0.135202,0.320175,0.209630,0.205028,0.128422,0.253594,0.173444,0.229924,0.172239,163.912,12.454
18,5.123012,0.445627,2.029932,0.465866,0.113463,0.409802,0.215426,0.292723,0.200034,0.246106,0.169722,0.245380,0.161641,159.581,12.454
