epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,epoch_time_s,peak_gpu_gib
1,9.724860,0.052033,4.612680,0.068268,0.061594,0.064455,0.173228,173.012,12.454
2,9.268905,0.061944,4.496057,0.071129,0.071320,0.065789,0.218887,163.088,12.454
3,9.103101,0.066073,4.475615,0.071129,0.072273,0.061404,0.302281,165.559,12.454
4,8.987345,0.070295,4.436829,0.074752,0.074943,0.067315,0.389802,158.723,12.454
5,8.778359,0.077085,4.225794,0.083715,0.050343,0.092296,0.354842,164.954,12.454
6,8.498670,0.091677,4.349612,0.075324,0.079519,0.058924,0.281097,160.674,12.454
7,8.145717,0.112875,4.050042,0.101449,0.062929,0.124905,0.417115,161.607,12.454
8,7.781007,0.140956,4.282722,0.093631,0.069794,0.119756,0.558031,157.003,12.454
9,7.392362,0.174911,3.506149,0.156178,0.092296,0.139397,0.427884,163.812,12.454
10,7.020258,0.213270,3.131343,0.215675,0.088673,0.240465,0.393903,165.897,12.454
11,6.656153,0.251078,3.005812,0.246949,0.084668,0.256674,0.270455,162.827,12.454
12,6.317426,0.286134,2.730331,0.326087,0.107551,0.281655,0.253842,162.080,12.454
13,6.062588,0.316417,2.759539,0.311022,0.108124,0.286232,0.390733,157.977,12.454
14,5.819489,0.350555,2.372453,0.385584,0.114416,0.315217,0.262309,165.228,12.454
15,5.629374,0.372855,2.123547,0.471777,0.109458,0.422769,0.248625,164.562,12.454
16,5.421149,0.402496,2.413232,0.371854,0.109458,0.324371,0.249315,162.054,12.454
17,5.249745,0.425346,2.018163,0.468154,0.118040,0.396072,0.293567,164.802,12.454
18,5.061837,0.453519,2.289159,0.402174,0.128146,0.311594,0.242703,162.233,12.454
19,4.897603,0.476461,2.002224,0.466056,0.146834,0.393974,0.230264,166.495,12.454
20,4.749573,0.496283,2.252166,0.389207,0.053204,0.507818,0.396497,158.042,12.454
21,4.620115,0.514362,1.843165,0.509344,0.013349,0.471014,0.163813,165.650,12.454
22,4.508413,0.524548,1.586278,0.573989,0.097063,0.537376,0.328610,161.462,12.454
23,4.387425,0.541066,1.478469,0.597254,0.151220,0.518116,0.220356,168.533,12.454
24,4.262555,0.569239,1.498695,0.614798,0.178871,0.519069,0.269979,172.514,12.454
25,4.147739,0.586216,1.525405,0.578375,0.120328,0.499047,0.199115,163.277,12.454
26,4.046619,0.590621,1.353759,0.661709,0.129100,0.567315,0.252773,162.484,12.454
27,3.967498,0.603102,1.118752,0.702517,0.213959,0.618993,0.257719,164.424,12.454
28,3.865249,0.619069,1.392663,0.643974,0.137681,0.549771,0.242550,168.710,12.454
29,3.752950,0.629348,1.343124,0.626621,0.194317,0.520023,0.280048,164.202,12.454
30,3.699851,0.634028,1.006011,0.751716,0.286613,0.639207,0.321343,165.867,12.454
31,3.617755,0.653941,0.948541,0.758963,0.243707,0.658658,0.312822,167.208,12.454
32,3.529783,0.661008,0.977595,0.745805,0.255149,0.640923,0.253910,164.932,12.454
33,3.467760,0.670001,1.032248,0.718345,0.258581,0.603928,0.278599,174.381,12.454
34,3.370479,0.683124,0.965047,0.756674,0.281465,0.632151,0.326693,154.568,12.454
35,3.310096,0.693861,0.987450,0.734744,0.245233,0.622235,0.344725,169.832,12.454
36,3.281835,0.693861,0.871076,0.777841,0.197559,0.689931,0.274766,163.388,12.454
37,3.219759,0.695604,0.935485,0.766781,0.241419,0.659611,0.269889,170.032,12.454
38,3.189436,0.704873,0.918142,0.759344,0.228833,0.654081,0.442622,160.787,12.454
39,3.136067,0.713499,0.782848,0.805873,0.334477,0.684211,0.381614,165.520,12.454
40,3.092838,0.722034,0.811993,0.805683,0.316552,0.691457,0.380017,156.677,12.454
41,3.039224,0.723410,0.770081,0.792143,0.367086,0.676964,0.276328,162.049,12.454
42,2.989934,0.733413,0.724034,0.827422,0.378909,0.720252,0.321479,167.655,12.454
43,2.921983,0.742131,0.697776,0.834287,0.384249,0.709764,0.357795,163.267,12.454
44,2.914719,0.746260,0.703259,0.831045,0.389779,0.712433,0.342705,165.680,12.454
45,2.913657,0.738093,0.694146,0.832189,0.369184,0.723684,0.317086,160.365,12.454
46,2.847865,0.752960,0.680519,0.829138,0.388063,0.720824,0.340815,159.215,12.454
47,2.835824,0.760117,0.679423,0.834096,0.406560,0.721205,0.319658,164.913,12.454
48,2.801448,0.754703,0.651504,0.841915,0.419908,0.730549,0.342569,171.018,12.454
49,2.771757,0.761861,0.654167,0.851068,0.407513,0.736461,0.327268,166.479,12.454
50,2.778240,0.757823,0.635954,0.845347,0.437452,0.738368,0.312918,162.487,12.454
51,2.752852,0.760852,0.631332,0.848780,0.430969,0.739512,0.326921,162.200,12.454
52,2.721821,0.769111,0.635701,0.846301,0.434783,0.747140,0.321157,165.416,12.454
53,2.721246,0.770120,0.609026,0.851068,0.440122,0.742563,0.321604,158.078,12.454
54,2.704454,0.770671,0.629440,0.846301,0.445652,0.735698,0.315024,157.956,12.454
55,2.711778,0.769203,0.613353,0.853928,0.447559,0.747330,0.325565,162.432,12.454
56,2.716174,0.766817,0.621201,0.848780,0.446796,0.746758,0.317600,164.990,12.454
57,2.691386,0.769478,0.611410,0.852403,0.448703,0.748093,0.318031,164.497,12.454
58,2.685767,0.771680,0.606671,0.850877,0.446415,0.747712,0.318770,165.125,12.454
59,2.676590,0.776269,0.617033,0.851449,0.444317,0.746377,0.319179,162.709,12.454
60,2.674242,0.776452,0.615145,0.850305,0.444699,0.750763,0.320666,158.812,12.454
