epoch,train_loss,train_acc,val_loss,val_acc,val_acc_audio_head,val_acc_video_head,w_a_mean,epoch_time_s,peak_gpu_gib
1,9.788096,0.051299,4.685714,0.059687,0.057018,0.059687,0.463944,188.059,12.450
2,9.370578,0.060842,4.623241,0.057399,0.068841,0.057018,0.292506,164.441,12.450
3,9.175368,0.064605,4.547617,0.054157,0.051106,0.060450,0.644860,160.086,12.450
4,9.067528,0.067542,4.473797,0.061022,0.057971,0.062357,0.640741,155.888,12.450
5,9.012289,0.069652,4.395383,0.073799,0.072273,0.069985,0.541521,157.822,12.450
6,8.911482,0.074975,4.279878,0.096491,0.100496,0.070938,0.791363,156.599,12.450
7,8.775601,0.080940,5.856804,0.017925,0.014874,0.068268,0.847488,159.637,12.450
8,8.650310,0.084886,5.209767,0.036995,0.034897,0.068650,0.876036,161.574,12.450
9,8.533236,0.088189,4.200509,0.098589,0.090389,0.072845,0.806950,162.803,12.450
10,8.453883,0.090851,5.428189,0.069222,0.069222,0.072082,0.989981,158.802,12.450
11,8.387059,0.095256,4.544405,0.080092,0.074943,0.074180,0.857551,164.302,12.450
12,8.290897,0.098100,3.839995,0.115751,0.116705,0.067124,0.890877,160.857,12.450
13,8.221303,0.100211,3.781260,0.123188,0.123951,0.048818,0.882040,159.617,12.450
14,8.130768,0.107369,5.388080,0.072273,0.071892,0.055683,0.971707,164.754,12.450
15,7.998383,0.113334,3.911899,0.131388,0.124333,0.075706,0.792896,163.473,12.450
16,7.885142,0.121960,3.769264,0.125667,0.145309,0.075896,0.496403,164.720,12.450
17,7.725381,0.137194,3.584445,0.150458,0.135774,0.096301,0.605663,161.731,12.450
18,7.560149,0.152519,3.453737,0.200420,0.169908,0.111556,0.768852,165.900,12.450
19,7.428758,0.164174,3.507167,0.170671,0.131388,0.120900,0.662263,162.016,12.450
20,7.266417,0.180967,3.138455,0.229977,0.183638,0.110603,0.637953,158.154,12.450
21,7.130153,0.193448,3.858689,0.152746,0.126621,0.129863,0.760759,162.722,12.450
22,6.993027,0.209874,3.302979,0.218535,0.140160,0.135774,0.482445,165.495,12.450
23,6.857387,0.221621,2.949347,0.288330,0.215484,0.139397,0.628920,165.708,12.450
24,6.709093,0.239883,2.786255,0.301869,0.223875,0.122426,0.645668,169.234,12.450
25,6.596384,0.250711,2.994249,0.280130,0.182113,0.156178,0.565575,167.296,12.450
26,6.480091,0.264385,2.717348,0.323417,0.239130,0.192601,0.771073,159.071,12.450
27,6.350738,0.283931,3.184904,0.231312,0.124714,0.180397,0.547324,158.540,12.450
28,6.235302,0.299807,2.822374,0.302250,0.202708,0.176773,0.694907,159.898,12.450
29,6.146411,0.309627,2.407114,0.418192,0.288711,0.197178,0.658419,165.257,12.450
30,6.012999,0.327154,2.600036,0.373188,0.210717,0.198131,0.605444,162.414,12.450
31,5.909113,0.343214,2.230770,0.457094,0.316171,0.213959,0.643406,165.167,12.450
32,5.856607,0.342113,2.299539,0.454996,0.308924,0.221777,0.552624,166.361,12.450
33,5.729922,0.358080,2.418981,0.390732,0.275934,0.235889,0.742625,169.605,12.450
34,5.646358,0.376159,2.113850,0.494470,0.333524,0.250381,0.623301,160.802,12.450
35,5.554906,0.385794,2.004374,0.549199,0.376049,0.266400,0.562634,163.608,12.450
36,5.476527,0.394879,1.947809,0.524027,0.352784,0.258963,0.625491,164.125,12.450
37,5.419257,0.406167,2.038717,0.531083,0.342296,0.279176,0.611884,168.098,12.450
38,5.347925,0.412407,1.891686,0.579329,0.393783,0.282227,0.610472,158.375,12.450
39,5.304361,0.418556,1.850010,0.555111,0.377956,0.288902,0.657960,164.562,12.450
40,5.244868,0.426356,1.838552,0.573989,0.389397,0.267925,0.604080,162.001,12.450
41,5.179430,0.437001,1.798603,0.585050,0.387872,0.302632,0.620254,168.459,12.450
42,5.125088,0.442140,1.741399,0.616323,0.424294,0.301869,0.581100,156.259,12.450
43,5.095001,0.446820,1.682135,0.626812,0.435164,0.311785,0.617436,162.672,12.450
44,5.059517,0.446361,1.747924,0.602593,0.408085,0.312738,0.595020,162.824,12.450
45,4.989278,0.462513,1.680572,0.626430,0.431159,0.315408,0.579966,159.345,12.450
46,4.986386,0.459301,1.635890,0.642639,0.454615,0.318078,0.597502,160.596,12.450
47,4.930008,0.472699,1.649368,0.640542,0.443364,0.325324,0.624795,161.264,12.450
48,4.932376,0.469212,1.625364,0.657323,0.461289,0.320748,0.588597,169.053,12.450
49,4.885905,0.480224,1.620832,0.628719,0.431732,0.320175,0.640371,156.555,12.450
50,4.853914,0.478113,1.577878,0.656369,0.464531,0.327994,0.612673,160.238,12.450
51,4.848988,0.480407,1.639218,0.643402,0.442410,0.333143,0.583991,165.726,12.450
52,4.818490,0.483986,1.587950,0.666095,0.469108,0.332380,0.602180,160.003,12.450
53,4.827968,0.485455,1.570397,0.665332,0.473303,0.332952,0.602939,162.241,12.450
54,4.826195,0.484353,1.570400,0.670481,0.473303,0.334859,0.603342,165.547,12.450
55,4.786675,0.491420,1.558505,0.664760,0.472159,0.335050,0.615758,161.557,12.450
56,4.801670,0.484721,1.565740,0.663997,0.470824,0.332761,0.602467,157.655,12.450
57,4.799300,0.487198,1.562008,0.666476,0.473494,0.331617,0.596908,164.086,12.450
58,4.785642,0.494448,1.536297,0.672960,0.475782,0.336766,0.614522,161.651,12.450
59,4.788750,0.490686,1.535467,0.669527,0.476545,0.336194,0.615354,163.213,12.450
60,4.793514,0.488208,1.529847,0.670099,0.475782,0.338291,0.614760,165.126,12.450
