epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
1,4.841095,0.052216,4.624034,0.069031,0.345799,142.123,11.249
2,4.598099,0.064880,4.442839,0.075324,0.417594,142.931,11.249
3,4.427273,0.078554,4.311120,0.099161,0.496023,142.638,11.249
4,4.219738,0.092227,4.957373,0.067506,0.602373,142.663,11.249
5,4.001999,0.115169,3.794133,0.138063,0.714846,142.765,11.249
6,3.758103,0.138295,4.137956,0.109840,0.839130,142.740,11.249
7,3.482697,0.173167,3.500461,0.185355,0.957436,142.828,11.249
8,3.238978,0.209874,4.115333,0.127956,1.063194,142.793,11.249
9,3.006774,0.249335,4.548209,0.102212,1.164538,142.846,11.249
10,2.769533,0.289805,2.411998,0.370519,1.277686,142.866,11.249
11,2.576869,0.325961,5.056794,0.093059,1.383590,142.912,11.249
12,2.373771,0.368358,2.359417,0.363272,1.478685,142.815,11.249
13,2.199320,0.408736,1.877338,0.514493,1.574932,142.951,11.249
14,2.022958,0.453244,1.727955,0.543860,1.669526,142.841,11.249
15,1.883223,0.484445,2.240122,0.403699,1.754749,142.883,11.249
16,1.736913,0.522896,1.766987,0.498474,1.837898,142.826,11.249
17,1.622122,0.556575,1.287760,0.649504,1.915899,142.745,11.249
18,1.503889,0.583922,1.213792,0.683638,1.985251,142.812,11.249
19,1.391069,0.615399,1.097226,0.698894,2.054173,142.853,11.249
20,1.299041,0.636505,1.241850,0.660183,2.119493,142.967,11.249
21,1.229604,0.655043,1.037748,0.701373,2.183345,142.769,11.249
22,1.175410,0.663394,1.776952,0.491037,2.247294,142.774,11.249
23,1.118241,0.680279,0.935672,0.741037,2.314938,142.794,11.249
24,1.064568,0.692117,0.932689,0.722540,2.379776,142.783,11.249
25,1.009804,0.711847,3.317620,0.344203,2.436339,142.799,11.249
26,0.964101,0.718822,1.133545,0.671815,2.496329,142.827,11.249
27,0.920898,0.734147,1.656685,0.543288,2.548656,142.874,11.249
28,0.880784,0.745343,0.828477,0.766781,2.603890,142.697,11.249
29,0.842322,0.749931,1.082780,0.676011,2.654075,142.703,11.249
30,0.820408,0.761586,0.978701,0.718154,2.710876,142.775,11.249
31,0.783474,0.769386,1.157681,0.671434,2.766622,142.682,11.249
32,0.742589,0.780490,0.697551,0.788902,2.814608,142.727,11.249
33,0.733387,0.781316,0.601760,0.827231,2.864169,142.707,11.249
34,0.711661,0.791319,0.590192,0.836766,2.915617,142.699,11.249
