epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
1,4.859610,0.051299,5.188281,0.058352,0.345093,143.007,11.249
2,4.622912,0.061485,4.521100,0.070175,0.445833,142.629,11.249
3,4.530970,0.062770,4.469855,0.073227,0.515176,142.654,11.249
4,4.457537,0.071671,4.290406,0.081045,0.589263,142.661,11.249
5,4.314187,0.082867,4.172642,0.101640,0.676495,142.812,11.249
6,4.161797,0.093512,5.581344,0.039092,0.759580,142.829,11.249
7,4.043440,0.098100,4.614631,0.074371,0.839383,142.698,11.249
8,3.944553,0.107461,4.012778,0.104310,0.913440,142.706,11.249
9,3.810298,0.119849,3.632821,0.149314,1.001189,142.905,11.249
10,3.657463,0.143342,3.684207,0.132532,1.088037,142.806,11.249
11,3.471421,0.164908,3.429588,0.188978,1.184994,142.753,11.249
12,3.260769,0.202166,4.043623,0.117277,1.278875,142.745,11.249
13,3.073597,0.236304,3.250685,0.187071,1.374159,142.850,11.249
14,2.884062,0.267138,2.984943,0.237986,1.465403,142.724,11.249
15,2.698166,0.302469,2.361872,0.376812,1.553838,142.722,11.249
16,2.526560,0.338809,2.237133,0.415523,1.645637,142.685,11.249
17,2.349876,0.377627,3.497379,0.215866,1.738528,142.763,11.249
18,2.191741,0.409929,2.436661,0.358696,1.825132,142.683,11.249
19,2.037326,0.448747,2.517203,0.325706,1.907320,142.718,11.249
20,1.933271,0.474075,2.469263,0.374714,1.994330,142.741,11.249
21,1.779647,0.515922,2.221826,0.385584,2.067788,142.648,11.249
22,1.669203,0.544095,1.472815,0.588291,2.139694,142.716,11.249
23,1.568920,0.563917,1.369169,0.620709,2.208647,142.591,11.249
24,1.481684,0.589612,1.566607,0.563883,2.280670,142.587,11.249
25,1.413466,0.605212,2.345405,0.406560,2.351669,142.700,11.249
26,1.330847,0.625860,1.168024,0.663043,2.422658,142.596,11.249
27,1.255393,0.648252,1.152700,0.679825,2.484335,142.646,11.249
28,1.196037,0.662935,0.917582,0.750381,2.545326,142.771,11.249
29,1.150403,0.671653,1.113276,0.674867,2.608471,142.626,11.249
30,1.087411,0.694136,1.055758,0.693555,2.672570,142.607,11.249
