variant,sweep,sigma_a_per_rms,sigma_v_per_pixstd,AV_acc,A_only_acc,AV_gain_pp
AV_fused,sigma_a,0.0000,0.0000,0.956712,0.008391,+94.8322
D3_2_late,sigma_a,0.0000,0.0000,0.953661,0.404653,+54.9008
D3_10_add,sigma_a,0.0000,0.0000,0.957666,0.008200,+94.9466
D3_1_early,sigma_a,0.0000,0.0000,0.939359,0.828757,+11.0603
AV_fused,sigma_a,0.0050,0.0000,0.948894,0.006293,+94.2601
D3_2_late,sigma_a,0.0050,0.0000,0.944699,0.400076,+54.4622
D3_10_add,sigma_a,0.0050,0.0000,0.952899,0.007628,+94.5271
D3_1_early,sigma_a,0.0050,0.0000,0.915523,0.771930,+14.3593
AV_fused,sigma_a,0.0100,0.0000,0.927536,0.005339,+92.2197
D3_2_late,sigma_a,0.0100,0.0000,0.888444,0.338101,+55.0343
D3_10_add,sigma_a,0.0100,0.0000,0.934211,0.008009,+92.6201
D3_1_early,sigma_a,0.0100,0.0000,0.803394,0.656560,+14.6834
AV_fused,sigma_a,0.0200,0.0000,0.851831,0.004767,+84.7063
D3_2_late,sigma_a,0.0200,0.0000,0.677346,0.230359,+44.6987
D3_10_add,sigma_a,0.0200,0.0000,0.846491,0.006102,+84.0389
D3_1_early,sigma_a,0.0200,0.0000,0.507437,0.449657,+5.7780
AV_fused,sigma_a,0.0500,0.0000,0.609268,0.004577,+60.4691
D3_2_late,sigma_a,0.0500,0.0000,0.280320,0.096301,+18.4020
D3_10_add,sigma_a,0.0500,0.0000,0.559878,0.005721,+55.4157
D3_1_early,sigma_a,0.0500,0.0000,0.226163,0.199657,+2.6506
AV_fused,sigma_a,0.1000,0.0000,0.376049,0.004386,+37.1663
D3_2_late,sigma_a,0.1000,0.0000,0.139397,0.054539,+8.4859
D3_10_add,sigma_a,0.1000,0.0000,0.340198,0.005530,+33.4668
D3_1_early,sigma_a,0.1000,0.0000,0.132914,0.093249,+3.9664
AV_fused,sigma_a,0.2000,0.0000,0.217201,0.004386,+21.2815
D3_2_late,sigma_a,0.2000,0.0000,0.096873,0.037185,+5.9687
D3_10_add,sigma_a,0.2000,0.0000,0.217963,0.005530,+21.2433
D3_1_early,sigma_a,0.2000,0.0000,0.075133,0.052059,+2.3074
AV_fused,sigma_a,0.5000,0.0000,0.120519,0.004767,+11.5751
D3_2_late,sigma_a,0.5000,0.0000,0.078185,0.026506,+5.1678
D3_10_add,sigma_a,0.5000,0.0000,0.149695,0.004767,+14.4928
D3_1_early,sigma_a,0.5000,0.0000,0.035469,0.028986,+0.6484
AV_fused,sigma_v,0.0000,0.0000,0.956712,0.008391,+94.8322
D3_2_late,sigma_v,0.0000,0.0000,0.953661,0.404653,+54.9008
D3_10_add,sigma_v,0.0000,0.0000,0.957666,0.008200,+94.9466
D3_1_early,sigma_v,0.0000,0.0000,0.939359,0.828757,+11.0603
AV_fused,sigma_v,0.0000,0.0500,0.956140,0.008391,+94.7750
D3_2_late,sigma_v,0.0000,0.0500,0.952708,0.404653,+54.8055
D3_10_add,sigma_v,0.0000,0.0500,0.958047,0.008200,+94.9847
D3_1_early,sigma_v,0.0000,0.0500,0.939741,0.828757,+11.0984
AV_fused,sigma_v,0.0000,0.1000,0.955950,0.008391,+94.7559
D3_2_late,sigma_v,0.0000,0.1000,0.951945,0.404653,+54.7292
D3_10_add,sigma_v,0.0000,0.1000,0.957285,0.008200,+94.9085
D3_1_early,sigma_v,0.0000,0.1000,0.939359,0.828757,+11.0603
AV_fused,sigma_v,0.0000,0.2000,0.946987,0.008391,+93.8596
D3_2_late,sigma_v,0.0000,0.2000,0.938787,0.404653,+53.4134
D3_10_add,sigma_v,0.0000,0.2000,0.950992,0.008200,+94.2792
D3_1_early,sigma_v,0.0000,0.2000,0.939741,0.828757,+11.0984
AV_fused,sigma_v,0.0000,0.4000,0.771167,0.008391,+76.2777
D3_2_late,sigma_v,0.0000,0.4000,0.775744,0.404653,+37.1091
D3_10_add,sigma_v,0.0000,0.4000,0.853356,0.008200,+84.5156
D3_1_early,sigma_v,0.0000,0.4000,0.939359,0.828757,+11.0603
AV_fused,sigma_v,0.0000,0.8000,0.325324,0.008391,+31.6934
D3_2_late,sigma_v,0.0000,0.8000,0.354882,0.404653,-4.9771
D3_10_add,sigma_v,0.0000,0.8000,0.333143,0.008200,+32.4943
D3_1_early,sigma_v,0.0000,0.8000,0.939169,0.828757,+11.0412
AV_fused,sigma_v,0.0000,1.6000,0.129481,0.008391,+12.1091
D3_2_late,sigma_v,0.0000,1.6000,0.163234,0.404653,-24.1419
D3_10_add,sigma_v,0.0000,1.6000,0.092487,0.008200,+8.4287
D3_1_early,sigma_v,0.0000,1.6000,0.935927,0.828757,+10.7170
AV_fused,sigma_v,0.0000,3.2000,0.029367,0.008391,+2.0976
D3_2_late,sigma_v,0.0000,3.2000,0.103547,0.404653,-30.1106
D3_10_add,sigma_v,0.0000,3.2000,0.036232,0.008200,+2.8032
D3_1_early,sigma_v,0.0000,3.2000,0.895309,0.828757,+6.6552
