regime,sigma_a_per_rms,sigma_v_per_pixstd,AV_acc
sigma_a_only,0.0000,0.0000,0.956712
sigma_a_only,0.0050,0.0000,0.948894
sigma_a_only,0.0100,0.0000,0.927536
sigma_a_only,0.0500,0.0000,0.609268
sigma_a_only,0.1000,0.0000,0.376049
sigma_a_only,0.2000,0.0000,0.217201
sigma_v_only,0.0000,0.0000,0.956712
sigma_v_only,0.0000,0.0500,0.956140
sigma_v_only,0.0000,0.1000,0.955950
sigma_v_only,0.0000,0.2000,0.946987
sigma_v_only,0.0000,0.4000,0.771167
sigma_v_only,0.0000,0.8000,0.325324
both_symmetric,0.0000,0.0000,0.956712
both_symmetric,0.0050,0.0500,0.949275
both_symmetric,0.0100,0.1000,0.924867
both_symmetric,0.0500,0.2000,0.601259
both_symmetric,0.1000,0.4000,0.327040
both_symmetric,0.2000,0.8000,0.140351
