model,sigma_a_per_rms,sigma_v_per_pixstd,AV_acc
AV_clean,0.0000,0.0000,0.956712
AV_clean,0.0000,0.0500,0.956140
AV_clean,0.0000,0.1000,0.955950
AV_clean,0.0000,0.2000,0.946987
AV_clean,0.0000,0.4000,0.771167
AV_clean,0.0000,0.6000,0.497140
AV_clean,0.0000,0.8000,0.325324
AV_clean,0.0010,0.0000,0.956712
AV_clean,0.0010,0.0500,0.955950
AV_clean,0.0010,0.1000,0.955950
AV_clean,0.0010,0.2000,0.946415
AV_clean,0.0010,0.4000,0.770404
AV_clean,0.0010,0.6000,0.495805
AV_clean,0.0010,0.8000,0.322845
AV_clean,0.0050,0.0000,0.948894
AV_clean,0.0050,0.0500,0.949275
AV_clean,0.0050,0.1000,0.948703
AV_clean,0.0050,0.2000,0.939741
AV_clean,0.0050,0.4000,0.756102
AV_clean,0.0050,0.6000,0.479024
AV_clean,0.0050,0.8000,0.307590
AV_clean,0.0100,0.0000,0.927536
AV_clean,0.0100,0.0500,0.925248
AV_clean,0.0100,0.1000,0.924867
AV_clean,0.0100,0.2000,0.912662
AV_clean,0.0100,0.4000,0.734554
AV_clean,0.0100,0.6000,0.457285
AV_clean,0.0100,0.8000,0.295004
AV_clean,0.0500,0.0000,0.609268
AV_clean,0.0500,0.0500,0.609649
AV_clean,0.0500,0.1000,0.608124
AV_clean,0.0500,0.2000,0.601259
AV_clean,0.0500,0.4000,0.487605
AV_clean,0.0500,0.6000,0.355835
AV_clean,0.0500,0.8000,0.241800
AV_clean,0.1000,0.0000,0.376049
AV_clean,0.1000,0.0500,0.377384
AV_clean,0.1000,0.1000,0.378146
AV_clean,0.1000,0.2000,0.373570
AV_clean,0.1000,0.4000,0.327040
AV_clean,0.1000,0.6000,0.271358
AV_clean,0.1000,0.8000,0.195652
AV_clean,0.5000,0.0000,0.120519
AV_clean,0.5000,0.0500,0.119756
AV_clean,0.5000,0.1000,0.119375
AV_clean,0.5000,0.2000,0.121854
AV_clean,0.5000,0.4000,0.110412
AV_clean,0.5000,0.6000,0.084096
AV_clean,0.5000,0.8000,0.070557
AV_rawnoise,0.0000,0.0000,0.958429
AV_rawnoise,0.0000,0.0500,0.957857
AV_rawnoise,0.0000,0.1000,0.955187
AV_rawnoise,0.0000,0.2000,0.930778
AV_rawnoise,0.0000,0.4000,0.697368
AV_rawnoise,0.0000,0.6000,0.500763
AV_rawnoise,0.0000,0.8000,0.408467
AV_rawnoise,0.0010,0.0000,0.958047
AV_rawnoise,0.0010,0.0500,0.957666
AV_rawnoise,0.0010,0.1000,0.955378
AV_rawnoise,0.0010,0.2000,0.930969
AV_rawnoise,0.0010,0.4000,0.697750
AV_rawnoise,0.0010,0.6000,0.500763
AV_rawnoise,0.0010,0.8000,0.409611
AV_rawnoise,0.0050,0.0000,0.959001
AV_rawnoise,0.0050,0.0500,0.959191
AV_rawnoise,0.0050,0.1000,0.957285
AV_rawnoise,0.0050,0.2000,0.932494
AV_rawnoise,0.0050,0.4000,0.699657
AV_rawnoise,0.0050,0.6000,0.501144
AV_rawnoise,0.0050,0.8000,0.409992
AV_rawnoise,0.0100,0.0000,0.959573
AV_rawnoise,0.0100,0.0500,0.958238
AV_rawnoise,0.0100,0.1000,0.956522
AV_rawnoise,0.0100,0.2000,0.934401
AV_rawnoise,0.0100,0.4000,0.696987
AV_rawnoise,0.0100,0.6000,0.502479
AV_rawnoise,0.0100,0.8000,0.410946
AV_rawnoise,0.0500,0.0000,0.952136
AV_rawnoise,0.0500,0.0500,0.952326
AV_rawnoise,0.0500,0.1000,0.951564
AV_rawnoise,0.0500,0.2000,0.924485
AV_rawnoise,0.0500,0.4000,0.674485
AV_rawnoise,0.0500,0.6000,0.472159
AV_rawnoise,0.0500,0.8000,0.379481
AV_rawnoise,0.1000,0.0000,0.938215
AV_rawnoise,0.1000,0.0500,0.937643
AV_rawnoise,0.1000,0.1000,0.936880
AV_rawnoise,0.1000,0.2000,0.907132
AV_rawnoise,0.1000,0.4000,0.643021
AV_rawnoise,0.1000,0.6000,0.447368
AV_rawnoise,0.1000,0.8000,0.344203
AV_rawnoise,0.5000,0.0000,0.421243
AV_rawnoise,0.5000,0.0500,0.422960
AV_rawnoise,0.5000,0.1000,0.432113
AV_rawnoise,0.5000,0.2000,0.434020
AV_rawnoise,0.5000,0.4000,0.329710
AV_rawnoise,0.5000,0.6000,0.236461
AV_rawnoise,0.5000,0.8000,0.177346
