sigma_a,dprimeA_standalone,dprimeA_fused_videozero,dprimeV_standalone,dprimeV_fused_audiozero,dprimeAV,AV_over_pred_crossobs,AV_over_pred_withinmodel,gain_over_best_crossobs,gain_over_best_withinmodel
0.0000,4.6144,0.3886,1.8581,0.9760,4.4558,0.9043,5.3681,0.9829,5.8800
0.0050,4.4239,0.4191,1.8581,0.9760,4.2555,0.8906,5.3614,0.9779,6.4209
0.0100,4.0104,0.3422,1.8581,0.9760,3.9972,0.9072,5.3370,1.0153,6.6886
0.0150,3.6262,0.2782,1.8581,0.9760,3.8116,0.9452,3.8117,1.0872,4.3752
0.0200,3.1637,0.2601,1.8581,0.9760,3.6697,1.0159,3.7294,1.1774,4.2455
0.0250,2.7706,0.2191,1.8581,0.9760,3.5532,1.0857,3.6699,1.2676,4.1118
0.0300,2.4433,0.1683,1.8581,0.9760,3.4555,1.1506,3.6426,1.3828,4.1233
0.0350,2.1996,0.1838,1.8581,0.9760,3.3725,1.1956,3.5727,1.4086,4.0028
0.0400,2.0398,0.1980,1.8581,0.9760,3.2957,1.2259,3.4993,1.4306,3.8882
0.0500,1.9917,0.2115,1.8581,0.9760,3.1732,1.1461,3.3544,1.3846,3.6875
0.0600,1.7399,0.2163,1.8581,0.9760,3.0397,1.1529,3.2111,1.3949,3.5006
0.0800,1.4493,0.2164,1.8581,0.9760,2.7424,1.0970,2.9546,1.3127,3.1791
0.1000,1.2241,0.2216,1.8581,0.9760,2.5036,1.0416,2.7697,1.2246,2.9542
0.1300,1.1543,0.2179,1.8581,0.9760,2.2501,0.9421,2.6216,1.1190,2.7841
0.1700,1.0231,0.2533,1.8581,0.9760,1.9430,0.8395,2.4488,0.9903,2.5849
0.2200,0.9398,0.2785,1.8581,0.9760,1.6680,0.7406,2.2035,0.8776,2.3184
