sigma_a,dprime_A,dprime_V,dprime_AV_mult,dprime_AV_add,gain_over_best_mult,gain_over_best_add
0.0000,2.7491,3.8872,3.9193,4.1663,1.0300,1.0914
0.0020,2.7611,3.8872,3.9125,4.1658,1.0294,1.0916
0.0040,2.7283,3.8872,3.8709,4.1348,1.0268,1.0919
0.0050,2.6896,3.8872,3.8378,4.1039,1.0173,1.0827
0.0060,2.6393,3.8872,3.8042,4.0662,1.0076,1.0719
0.0070,2.5783,3.8872,3.7728,4.0233,0.9980,1.0596
0.0080,2.5050,3.8872,3.7441,3.9793,0.9891,1.0471
0.0090,2.4333,3.8872,3.7164,3.9373,0.9809,1.0356
0.0100,2.3624,3.8872,3.6908,3.8995,0.9731,1.0252
0.0120,2.2570,3.8872,3.6451,3.8288,0.9589,1.0052
0.0150,2.0945,3.8872,3.5876,3.7356,0.9417,0.9806
0.0200,1.8263,3.8872,3.5319,3.6073,0.9283,0.9532
0.0300,1.4201,3.8872,3.4045,3.4408,0.8914,0.9164
0.0500,1.3221,3.8872,3.0336,3.1447,0.8362,0.8750
0.0800,0.9612,3.8872,2.6458,2.7342,0.7497,0.7876
