sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7494,3.8878,3.9185,3.7298,1.0295,0.9861,2.7362,3.4929,0.3507,2.6737
0.0020,2.7614,3.8878,3.9117,3.7645,1.0289,0.9927,2.7496,3.4929,0.3363,2.6737
0.0040,2.7284,3.8878,3.8700,3.7327,1.0263,0.9870,2.7231,3.4929,0.3034,2.6737
0.0050,2.6891,3.8878,3.8370,3.6966,1.0169,0.9767,2.6832,3.4929,0.2880,2.6737
0.0060,2.6384,3.8878,3.8031,3.6702,1.0070,0.9689,2.6421,3.4929,0.2717,2.6737
0.0070,2.5760,3.8878,3.7717,3.6517,0.9974,0.9622,2.5975,3.4929,0.2579,2.6737
0.0080,2.5030,3.8878,3.7430,3.6326,0.9885,0.9552,2.5537,3.4929,0.2455,2.6737
0.0090,2.4293,3.8878,3.7153,3.6293,0.9802,0.9511,2.5137,3.4929,0.2367,2.6737
0.0100,2.3598,3.8878,3.6897,3.6292,0.9725,0.9486,2.4863,3.4929,0.2286,2.6737
0.0120,2.2559,3.8878,3.6438,3.6203,0.9581,0.9429,2.4532,3.4929,0.2126,2.6737
0.0150,2.0880,3.8878,3.5861,3.5858,0.9410,0.9336,2.3981,3.4929,0.2053,2.6737
0.0200,1.8086,3.8878,3.5307,3.5623,0.9281,0.9327,2.3258,3.4929,0.2012,2.6737
0.0300,1.4120,3.8878,3.4024,3.5526,0.8906,0.9305,2.2506,3.4929,0.1926,2.6737
0.0500,1.3098,3.8878,3.0309,3.5444,0.8353,0.9380,2.0693,3.4929,0.2462,2.6737
0.0800,1.0110,3.8878,2.6437,3.5442,0.7837,0.9380,1.9924,3.4929,0.2722,2.6737
