sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7494,3.8878,3.9185,4.1181,1.0295,1.0663,2.5267,4.0005,0.3507,2.6737
0.0020,2.7614,3.8878,3.9117,4.1182,1.0289,1.0670,2.5291,4.0005,0.3363,2.6737
0.0040,2.7284,3.8878,3.8700,4.1185,1.0263,1.0762,2.5300,4.0005,0.3034,2.6737
0.0050,2.6891,3.8878,3.8370,4.1183,1.0169,1.0762,2.5292,4.0005,0.2880,2.6737
0.0060,2.6384,3.8878,3.8031,4.1186,1.0070,1.0764,2.5288,4.0005,0.2717,2.6737
0.0070,2.5760,3.8878,3.7717,4.1190,0.9974,1.0764,2.5291,4.0005,0.2579,2.6737
0.0080,2.5030,3.8878,3.7430,4.1192,0.9885,1.0764,2.5294,4.0005,0.2455,2.6737
0.0090,2.4293,3.8878,3.7153,4.1192,0.9802,1.0766,2.5296,4.0005,0.2367,2.6737
0.0100,2.3598,3.8878,3.6897,4.1192,0.9725,1.0764,2.5304,4.0005,0.2286,2.6737
0.0120,2.2559,3.8878,3.6438,4.1201,0.9581,1.0760,2.5329,4.0005,0.2126,2.6737
0.0150,2.0880,3.8878,3.5861,4.1206,0.9410,1.0767,2.5367,4.0005,0.2053,2.6737
0.0200,1.8086,3.8878,3.5307,4.1209,0.9281,1.0825,2.5431,4.0005,0.2012,2.6737
0.0300,1.4120,3.8878,3.4024,4.1204,0.8906,1.0827,2.5515,4.0005,0.1926,2.6737
0.0500,1.3098,3.8878,3.0309,4.1276,0.8353,1.1169,2.5737,4.0005,0.2462,2.6737
0.0800,1.0110,3.8878,2.6437,4.1278,0.7837,1.1169,2.5901,4.0005,0.2722,2.6737
