sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7490,3.8872,3.9193,3.1102,1.0300,0.8445,2.7407,2.9495,0.3502,2.6736
0.0020,2.7611,3.8872,3.9125,3.1468,1.0294,0.8516,2.7536,2.9495,0.3345,2.6736
0.0040,2.7283,3.8872,3.8709,3.2047,1.0268,0.8629,2.7291,2.9495,0.3020,2.6736
0.0050,2.6896,3.8872,3.8378,3.2250,1.0174,0.8628,2.6941,2.9495,0.2865,2.6736
0.0060,2.6393,3.8872,3.8042,3.2379,1.0076,0.8631,2.6569,2.9495,0.2710,2.6736
0.0070,2.5784,3.8872,3.7727,3.2451,0.9980,0.8630,2.6166,2.9495,0.2570,2.6736
0.0080,2.5049,3.8872,3.7441,3.2427,0.9891,0.8608,2.5738,2.9495,0.2448,2.6736
0.0090,2.4333,3.8872,3.7164,3.2410,0.9809,0.8579,2.5251,2.9495,0.2363,2.6736
0.0100,2.3624,3.8872,3.6907,3.2486,0.9732,0.8572,2.4813,2.9495,0.2277,2.6736
0.0120,2.2570,3.8872,3.6451,3.2577,0.9589,0.8544,2.4244,2.9495,0.2116,2.6736
0.0150,2.0945,3.8872,3.5876,3.2561,0.9418,0.8533,2.3829,2.9495,0.2060,2.6736
0.0200,1.8263,3.8872,3.5319,3.2291,0.9283,0.8527,2.3171,2.9495,0.2021,2.6736
0.0300,1.4201,3.8872,3.4045,3.1573,0.8914,0.8374,2.2246,2.9495,0.1923,2.6736
0.0500,1.3221,3.8872,3.0336,3.0900,0.8362,0.8241,2.0877,2.9495,0.2467,2.6736
0.0800,0.9612,3.8872,2.6459,3.0661,0.7497,0.8036,1.9959,2.9495,0.2752,2.6736
