sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7490,3.8872,3.9193,2.9236,1.0300,0.8055,2.7453,2.9781,0.3502,2.6736
0.0020,2.7611,3.8872,3.9125,2.9520,1.0294,0.8112,2.7574,2.9781,0.3345,2.6736
0.0040,2.7283,3.8872,3.8709,2.9991,1.0268,0.8210,2.7272,2.9781,0.3020,2.6736
0.0050,2.6896,3.8872,3.8378,3.0336,1.0174,0.8230,2.6910,2.9781,0.2865,2.6736
0.0060,2.6393,3.8872,3.8042,3.0551,1.0076,0.8247,2.6505,2.9781,0.2710,2.6736
0.0070,2.5784,3.8872,3.7727,3.0764,0.9980,0.8281,2.6143,2.9781,0.2570,2.6736
0.0080,2.5049,3.8872,3.7441,3.0821,0.9891,0.8278,2.5783,2.9781,0.2448,2.6736
0.0090,2.4333,3.8872,3.7164,3.0739,0.9809,0.8239,2.5361,2.9781,0.2363,2.6736
0.0100,2.3624,3.8872,3.6907,3.0807,0.9732,0.8229,2.4925,2.9781,0.2277,2.6736
0.0120,2.2570,3.8872,3.6451,3.1029,0.9589,0.8258,2.4382,2.9781,0.2116,2.6736
0.0150,2.0945,3.8872,3.5876,3.1066,0.9418,0.8300,2.3818,2.9781,0.2060,2.6736
0.0200,1.8263,3.8872,3.5319,3.1451,0.9283,0.8450,2.3130,2.9781,0.2021,2.6736
0.0300,1.4201,3.8872,3.4045,3.2218,0.8914,0.8626,2.1606,2.9781,0.1923,2.6736
0.0500,1.3221,3.8872,3.0336,3.1852,0.8362,0.8618,1.9811,2.9781,0.2467,2.6736
0.0800,0.9612,3.8872,2.6459,3.1458,0.7497,0.8395,1.9149,2.9781,0.2752,2.6736
