sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7490,3.8872,3.9193,3.0846,1.0300,0.8392,2.7382,2.9937,0.3502,2.6736
0.0020,2.7611,3.8872,3.9125,3.1244,1.0294,0.8472,2.7508,2.9937,0.3345,2.6736
0.0040,2.7283,3.8872,3.8709,3.1845,1.0268,0.8610,2.7225,2.9937,0.3020,2.6736
0.0050,2.6896,3.8872,3.8378,3.2085,1.0174,0.8635,2.6821,2.9937,0.2865,2.6736
0.0060,2.6393,3.8872,3.8042,3.2319,1.0076,0.8677,2.6444,2.9937,0.2710,2.6736
0.0070,2.5784,3.8872,3.7727,3.2484,0.9980,0.8701,2.6021,2.9937,0.2570,2.6736
0.0080,2.5049,3.8872,3.7441,3.2524,0.9891,0.8683,2.5581,2.9937,0.2448,2.6736
0.0090,2.4333,3.8872,3.7164,3.2480,0.9809,0.8639,2.5105,2.9937,0.2363,2.6736
0.0100,2.3624,3.8872,3.6907,3.2516,0.9732,0.8614,2.4778,2.9937,0.2277,2.6736
0.0120,2.2570,3.8872,3.6451,3.2653,0.9589,0.8590,2.4377,2.9937,0.2116,2.6736
0.0150,2.0945,3.8872,3.5876,3.2552,0.9418,0.8560,2.3933,2.9937,0.2060,2.6736
0.0200,1.8263,3.8872,3.5319,3.2188,0.9283,0.8505,2.2978,2.9937,0.2021,2.6736
0.0300,1.4201,3.8872,3.4045,3.1754,0.8914,0.8397,2.2629,2.9937,0.1923,2.6736
0.0500,1.3221,3.8872,3.0336,3.1145,0.8362,0.8152,2.0795,2.9937,0.2467,2.6736
0.0800,0.9612,3.8872,2.6459,3.1077,0.7497,0.8105,2.0089,2.9937,0.2752,2.6736
