sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7494,3.8878,3.9185,4.1109,1.0295,1.0659,2.5640,4.0053,0.3507,2.6737
0.0020,2.7614,3.8878,3.9117,4.1114,1.0289,1.0665,2.5674,4.0053,0.3363,2.6737
0.0040,2.7284,3.8878,3.8700,4.1110,1.0263,1.0750,2.5706,4.0053,0.3034,2.6737
0.0050,2.6891,3.8878,3.8370,4.1110,1.0169,1.0750,2.5721,4.0053,0.2880,2.6737
0.0060,2.6384,3.8878,3.8031,4.1113,1.0070,1.0752,2.5727,4.0053,0.2717,2.6737
0.0070,2.5760,3.8878,3.7717,4.1117,0.9974,1.0751,2.5729,4.0053,0.2579,2.6737
0.0080,2.5030,3.8878,3.7430,4.1120,0.9885,1.0752,2.5733,4.0053,0.2455,2.6737
0.0090,2.4293,3.8878,3.7153,4.1126,0.9802,1.0755,2.5734,4.0053,0.2367,2.6737
0.0100,2.3598,3.8878,3.6897,4.1130,0.9725,1.0755,2.5735,4.0053,0.2286,2.6737
0.0120,2.2559,3.8878,3.6438,4.1141,0.9581,1.0753,2.5736,4.0053,0.2126,2.6737
0.0150,2.0880,3.8878,3.5861,4.1145,0.9410,1.0761,2.5730,4.0053,0.2053,2.6737
0.0200,1.8086,3.8878,3.5307,4.1146,0.9281,1.0820,2.5736,4.0053,0.2012,2.6737
0.0300,1.4120,3.8878,3.4024,4.1125,0.8906,1.0822,2.5741,4.0053,0.1926,2.6737
0.0500,1.3098,3.8878,3.0309,4.1094,0.8353,1.0910,2.5739,4.0053,0.2462,2.6737
0.0800,1.0110,3.8878,2.6437,4.1048,0.7837,1.0898,2.5827,4.0053,0.2722,2.6737
