sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,2.7494,3.8878,3.9185,3.0496,1.0295,0.7962,1.5238,3.1283,0.3507,2.6737
0.0020,2.7614,3.8878,3.9117,3.0533,1.0289,0.7982,1.5346,3.1283,0.3363,2.6737
0.0040,2.7284,3.8878,3.8700,3.0572,1.0263,0.8071,1.5499,3.1283,0.3034,2.6737
0.0050,2.6891,3.8878,3.8370,3.0585,1.0169,0.8079,1.5557,3.1283,0.2880,2.6737
0.0060,2.6384,3.8878,3.8031,3.0594,1.0070,0.8085,1.5599,3.1283,0.2717,2.6737
0.0070,2.5760,3.8878,3.7717,3.0601,0.9974,0.8089,1.5633,3.1283,0.2579,2.6737
0.0080,2.5030,3.8878,3.7430,3.0605,0.9885,0.8092,1.5659,3.1283,0.2455,2.6737
0.0090,2.4293,3.8878,3.7153,3.0609,0.9802,0.8096,1.5682,3.1283,0.2367,2.6737
0.0100,2.3598,3.8878,3.6897,3.0612,0.9725,0.8098,1.5701,3.1283,0.2286,2.6737
0.0120,2.2559,3.8878,3.6438,3.0616,0.9581,0.8099,1.5734,3.1283,0.2126,2.6737
0.0150,2.0880,3.8878,3.5861,3.0620,0.9410,0.8106,1.5775,3.1283,0.2053,2.6737
0.0200,1.8086,3.8878,3.5307,3.0632,0.9281,0.8147,1.5847,3.1283,0.2012,2.6737
0.0300,1.4120,3.8878,3.4024,3.0663,0.8906,0.8164,1.6002,3.1283,0.1926,2.6737
0.0500,1.3098,3.8878,3.0309,3.0687,0.8353,0.8420,1.6220,3.1283,0.2462,2.6737
0.0800,1.0110,3.8878,2.6437,3.0687,0.7837,0.8422,1.6374,3.1283,0.2722,2.6737
