sigma_a,dprime_A,dprime_V,dprime_AV_mult,dprime_AV_add,gain_over_best_mult,gain_over_best_add
0.0000,4.6115,1.8580,4.4575,4.1979,0.9839,0.9252
0.0050,4.4238,1.8580,4.2576,4.0280,0.9783,0.9303
0.0100,4.0120,1.8580,3.9996,3.8300,1.0150,0.9855
0.0150,3.6360,1.8580,3.8140,3.7072,1.0847,1.0785
0.0200,3.1888,1.8580,3.6721,3.6187,1.1716,1.1763
0.0250,2.7986,1.8580,3.5560,3.5190,1.2577,1.2648
0.0300,2.4713,1.8580,3.4580,3.4174,1.3736,1.3732
0.0350,2.2268,1.8580,3.3750,3.3189,1.4003,1.3913
0.0400,2.0617,1.8580,3.2981,3.2212,1.4197,1.4017
0.0500,2.0124,1.8580,3.1752,3.0279,1.3791,1.3078
0.0600,1.7611,1.8580,3.0421,2.8325,1.3869,1.2692
0.0800,1.4600,1.8580,2.7458,2.5332,1.3117,1.1836
0.1000,1.2363,1.8580,2.5060,2.3290,1.2227,1.1163
0.1300,1.1658,1.8580,2.2520,2.0591,1.1176,1.0103
0.1700,1.0317,1.8580,1.9442,1.8364,0.9904,0.9078
0.2200,0.9455,1.8580,1.6705,1.6517,0.8788,0.8264
