sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6144,1.8581,4.4558,3.7137,0.9829,0.8095,4.3303,1.9132,0.3886,0.9760
0.0050,4.4239,1.8581,4.2555,3.7351,0.9779,0.8542,4.3662,1.9132,0.4191,0.9760
0.0100,4.0104,1.8581,3.9972,3.7421,1.0153,0.9593,4.3848,1.9132,0.3422,0.9760
0.0150,3.6262,1.8581,3.8116,3.7464,1.0872,1.0770,4.3863,1.9132,0.2782,0.9760
0.0200,3.1637,1.8581,3.6697,3.7470,1.1774,1.2114,4.3856,1.9132,0.2601,0.9760
0.0250,2.7706,1.8581,3.5532,3.7486,1.2676,1.3556,4.3851,1.9132,0.2191,0.9760
0.0300,2.4433,1.8581,3.4555,3.7538,1.3828,1.5228,4.3877,1.9132,0.1683,0.9760
0.0350,2.1996,1.8581,3.3725,3.7569,1.4086,1.5909,4.3926,1.9132,0.1838,0.9760
0.0400,2.0398,1.8581,3.2957,3.7581,1.4306,1.6548,4.3955,1.9132,0.1980,0.9760
0.0500,1.9917,1.8581,3.1732,3.7570,1.3846,1.6513,4.3950,1.9132,0.2115,0.9760
0.0600,1.7399,1.8581,3.0397,3.7549,1.3949,1.7353,4.3958,1.9132,0.2163,0.9760
0.0800,1.4493,1.8581,2.7424,3.7456,1.3127,1.8242,4.3853,1.9132,0.2164,0.9760
0.1000,1.2241,1.8581,2.5036,3.7324,1.2246,1.8490,4.3618,1.9132,0.2216,0.9760
0.1300,1.1543,1.8581,2.2501,3.6993,1.1190,1.8793,4.3071,1.9132,0.2179,0.9760
0.1700,1.0231,1.8581,1.9430,3.6448,0.9903,1.8766,4.2290,1.9132,0.2533,0.9760
0.2200,0.9398,1.8581,1.6680,3.5669,0.8776,1.8670,4.1378,1.9132,0.2785,0.9760
