sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6115,1.8581,4.4575,4.3778,0.9839,0.9534,4.5046,1.4582,0.3898,0.9758
0.0050,4.4238,1.8581,4.2577,4.1854,0.9783,0.9524,4.3467,1.4582,0.4194,0.9758
0.0100,4.0120,1.8581,3.9997,3.7193,1.0150,0.9432,4.0401,1.4582,0.3401,0.9758
0.0150,3.6360,1.8581,3.8141,3.4107,1.0847,0.9593,3.8060,1.4582,0.2786,0.9758
0.0200,3.1888,1.8581,3.6721,3.1624,1.1716,0.9874,3.5826,1.4582,0.2564,0.9758
0.0250,2.7986,1.8581,3.5560,2.9494,1.2577,1.0209,3.4112,1.4582,0.2134,0.9758
0.0300,2.4713,1.8581,3.4580,2.7582,1.3735,1.0726,3.2463,1.4582,0.1645,0.9758
0.0350,2.2268,1.8581,3.3750,2.6143,1.4003,1.0642,3.1353,1.4582,0.1820,0.9758
0.0400,2.0618,1.8581,3.2981,2.5044,1.4197,1.0593,3.0439,1.4582,0.1963,0.9758
0.0500,2.0124,1.8581,3.1752,2.3776,1.3791,1.0582,2.9038,1.4582,0.2111,0.9758
0.0600,1.7611,1.8581,3.0422,2.2939,1.3869,1.0717,2.8168,1.4582,0.2162,0.9758
0.0800,1.4599,1.8581,2.7458,2.1928,1.3117,1.0857,2.6955,1.4582,0.2175,0.9758
0.1000,1.2363,1.8581,2.5060,2.1408,1.2227,1.0789,2.6168,1.4582,0.2230,0.9758
0.1300,1.1659,1.8581,2.2519,2.0905,1.1175,1.0956,2.5232,1.4582,0.2192,0.9758
0.1700,1.0317,1.8581,1.9442,2.0448,0.9904,1.0892,2.3950,1.4582,0.2533,0.9758
0.2200,0.9455,1.8581,1.6705,1.9986,0.8788,1.0837,2.2193,1.4582,0.2788,0.9758
