sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6144,1.8581,4.4558,4.3116,0.9829,0.9411,4.5315,1.6910,0.3886,0.9760
0.0050,4.4239,1.8581,4.2555,4.0512,0.9779,0.9276,4.3787,1.6910,0.4191,0.9760
0.0100,4.0104,1.8581,3.9972,3.5066,1.0153,0.8990,4.0318,1.6910,0.3422,0.9760
0.0150,3.6262,1.8581,3.8116,3.0810,1.0872,0.8884,3.7761,1.6910,0.2782,0.9760
0.0200,3.1637,1.8581,3.6697,2.8174,1.1774,0.9112,3.5829,1.6910,0.2601,0.9760
0.0250,2.7706,1.8581,3.5532,2.6505,1.2676,0.9521,3.4556,1.6910,0.2191,0.9760
0.0300,2.4433,1.8581,3.4555,2.5333,1.3828,1.0196,3.2971,1.6910,0.1683,0.9760
0.0350,2.1996,1.8581,3.3725,2.4536,1.4086,1.0293,3.1723,1.6910,0.1838,0.9760
0.0400,2.0398,1.8581,3.2957,2.3999,1.4306,1.0441,3.0715,1.6910,0.1980,0.9760
0.0500,1.9917,1.8581,3.1732,2.3269,1.3846,1.0383,2.9130,1.6910,0.2115,0.9760
0.0600,1.7399,1.8581,3.0397,2.2821,1.3949,1.0668,2.7863,1.6910,0.2163,0.9760
0.0800,1.4493,1.8581,2.7424,2.2222,1.3127,1.0940,2.6751,1.6910,0.2164,0.9760
0.1000,1.2241,1.8581,2.5036,2.1847,1.2246,1.1095,2.6125,1.6910,0.2216,0.9760
0.1300,1.1543,1.8581,2.2501,2.1401,1.1190,1.1114,2.5377,1.6910,0.2179,0.9760
0.1700,1.0231,1.8581,1.9430,2.1002,0.9903,1.1042,2.4156,1.6910,0.2533,0.9760
0.2200,0.9398,1.8581,1.6680,2.0673,0.8776,1.1027,2.2593,1.6910,0.2785,0.9760
