sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6115,1.8581,4.4575,4.5125,0.9839,0.9796,4.5759,1.3985,0.3898,0.9758
0.0050,4.4238,1.8581,4.2577,4.2845,0.9783,0.9739,4.4011,1.3985,0.4194,0.9758
0.0100,4.0120,1.8581,3.9997,3.8521,1.0150,0.9728,4.0510,1.3985,0.3401,0.9758
0.0150,3.6360,1.8581,3.8141,3.5381,1.0847,1.0021,3.7877,1.3985,0.2786,0.9758
0.0200,3.1888,1.8581,3.6721,3.2561,1.1716,1.0279,3.5428,1.3985,0.2564,0.9758
0.0250,2.7986,1.8581,3.5560,3.0197,1.2577,1.0610,3.3767,1.3985,0.2134,0.9758
0.0300,2.4713,1.8581,3.4580,2.8381,1.3735,1.1229,3.2515,1.3985,0.1645,0.9758
0.0350,2.2268,1.8581,3.3750,2.7024,1.4003,1.1199,3.1654,1.3985,0.1820,0.9758
0.0400,2.0618,1.8581,3.2981,2.5869,1.4197,1.1154,3.0794,1.3985,0.1963,0.9758
0.0500,2.0124,1.8581,3.1752,2.4381,1.3791,1.0804,2.9527,1.3985,0.2111,0.9758
0.0600,1.7611,1.8581,3.0422,2.3433,1.3869,1.0903,2.8687,1.3985,0.2162,0.9758
0.0800,1.4599,1.8581,2.7458,2.2282,1.3117,1.0979,2.7245,1.3985,0.2175,0.9758
0.1000,1.2363,1.8581,2.5060,2.1661,1.2227,1.0964,2.6227,1.3985,0.2230,0.9758
0.1300,1.1659,1.8581,2.2519,2.0978,1.1175,1.0991,2.5069,1.3985,0.2192,0.9758
0.1700,1.0317,1.8581,1.9442,2.0174,0.9904,1.0741,2.3591,1.3985,0.2533,0.9758
0.2200,0.9455,1.8581,1.6705,1.9548,0.8788,1.0564,2.1955,1.3985,0.2788,0.9758
