sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6115,1.8581,4.4575,4.3793,0.9839,0.9542,4.5034,1.4092,0.3898,0.9758
0.0050,4.4238,1.8581,4.2577,4.1418,0.9783,0.9453,4.3272,1.4092,0.4194,0.9758
0.0100,4.0120,1.8581,3.9997,3.5667,1.0150,0.9128,3.9543,1.4092,0.3401,0.9758
0.0150,3.6360,1.8581,3.8141,3.1148,1.0847,0.8839,3.6661,1.4092,0.2786,0.9758
0.0200,3.1888,1.8581,3.6721,2.7706,1.1716,0.8731,3.4907,1.4092,0.2564,0.9758
0.0250,2.7986,1.8581,3.5560,2.5658,1.2577,0.8979,3.3831,1.4092,0.2134,0.9758
0.0300,2.4713,1.8581,3.4580,2.4006,1.3735,0.9471,3.2140,1.4092,0.1645,0.9758
0.0350,2.2268,1.8581,3.3750,2.2748,1.4003,0.9405,3.1170,1.4092,0.1820,0.9758
0.0400,2.0618,1.8581,3.2981,2.1976,1.4197,0.9416,3.0673,1.4092,0.1963,0.9758
0.0500,2.0124,1.8581,3.1752,2.1087,1.3791,0.9348,2.9814,1.4092,0.2111,0.9758
0.0600,1.7611,1.8581,3.0422,2.0471,1.3869,0.9503,2.9209,1.4092,0.2162,0.9758
0.0800,1.4599,1.8581,2.7458,1.9777,1.3117,0.9702,2.8101,1.4092,0.2175,0.9758
0.1000,1.2363,1.8581,2.5060,1.9451,1.2227,0.9739,2.7230,1.4092,0.2230,0.9758
0.1300,1.1659,1.8581,2.2519,1.9101,1.1175,0.9800,2.5953,1.4092,0.2192,0.9758
0.1700,1.0317,1.8581,1.9442,1.8736,0.9904,0.9761,2.4472,1.4092,0.2533,0.9758
0.2200,0.9455,1.8581,1.6705,1.8452,0.8788,0.9770,2.2575,1.4092,0.2788,0.9758
