sigma_a,dprime_A_std,dprime_V_std,dprime_AV_mult,dprime_AV_late,gain_over_best_mult,gain_over_best_late,dA_fus_late,dV_fus_late,dA_fus_mult,dV_fus_mult
0.0000,4.6144,1.8581,4.4558,2.7283,0.9829,0.5965,2.9888,1.5072,0.3886,0.9760
0.0050,4.4239,1.8581,4.2555,2.7341,0.9779,0.6296,3.0126,1.5072,0.4191,0.9760
0.0100,4.0104,1.8581,3.9972,2.7399,1.0153,0.7069,3.0277,1.5072,0.3422,0.9760
0.0150,3.6262,1.8581,3.8116,2.7400,1.0872,0.7950,3.0343,1.5072,0.2782,0.9760
0.0200,3.1637,1.8581,3.6697,2.7380,1.1774,0.8922,3.0398,1.5072,0.2601,0.9760
0.0250,2.7706,1.8581,3.5532,2.7345,1.2676,0.9905,3.0472,1.5072,0.2191,0.9760
0.0300,2.4433,1.8581,3.4555,2.7288,1.3828,1.1075,3.0545,1.5072,0.1683,0.9760
0.0350,2.1996,1.8581,3.3725,2.7215,1.4086,1.1508,3.0606,1.5072,0.1838,0.9760
0.0400,2.0398,1.8581,3.2957,2.7138,1.4306,1.1884,3.0661,1.5072,0.1980,0.9760
0.0500,1.9917,1.8581,3.1732,2.6976,1.3846,1.1936,3.0734,1.5072,0.2115,0.9760
0.0600,1.7399,1.8581,3.0397,2.6809,1.3949,1.2390,3.0751,1.5072,0.2163,0.9760
0.0800,1.4493,1.8581,2.7424,2.6479,1.3127,1.2911,3.0697,1.5072,0.2164,0.9760
0.1000,1.2241,1.8581,2.5036,2.6170,1.2246,1.3088,3.0524,1.5072,0.2216,0.9760
0.1300,1.1543,1.8581,2.2501,2.5790,1.1190,1.3232,3.0228,1.5072,0.2179,0.9760
0.1700,1.0231,1.8581,1.9430,2.5351,0.9903,1.3259,2.9792,1.5072,0.2533,0.9760
0.2200,0.9398,1.8581,1.6680,2.4847,0.8776,1.3278,2.9148,1.5072,0.2785,0.9760
