channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
0,0.956712,0.956331,+0.0381
1,0.956712,0.956331,+0.0381
2,0.956712,0.956903,-0.0191
3,0.956712,0.956331,+0.0381
4,0.956712,0.952517,+0.4195
5,0.956712,0.956331,+0.0381
6,0.956712,0.955950,+0.0763
7,0.956712,0.956712,+0.0000
8,0.956712,0.955759,+0.0953
9,0.956712,0.955950,+0.0763
10,0.956712,0.895690,+6.1022
11,0.956712,0.956331,+0.0381
12,0.956712,0.952326,+0.4386
13,0.956712,0.954043,+0.2670
14,0.956712,0.953852,+0.2860
15,0.956712,0.951564,+0.5149
16,0.956712,0.955568,+0.1144
17,0.956712,0.912662,+4.4050
18,0.956712,0.954996,+0.1716
19,0.956712,0.944317,+1.2395
20,0.956712,0.956712,+0.0000
21,0.956712,0.949657,+0.7056
22,0.956712,0.956140,+0.0572
23,0.956712,0.921815,+3.4897
24,0.956712,0.954805,+0.1907
25,0.956712,0.951373,+0.5339
26,0.956712,0.955378,+0.1335
27,0.956712,0.956522,+0.0191
28,0.956712,0.956903,-0.0191
29,0.956712,0.952708,+0.4005
30,0.956712,0.950038,+0.6674
31,0.956712,0.954805,+0.1907
32,0.956712,0.956712,+0.0000
33,0.956712,0.954615,+0.2098
34,0.956712,0.957285,-0.0572
35,0.956712,0.956140,+0.0572
36,0.956712,0.956712,+0.0000
37,0.956712,0.956331,+0.0381
38,0.956712,0.944889,+1.1823
39,0.956712,0.954424,+0.2288
40,0.956712,0.956712,+0.0000
41,0.956712,0.954424,+0.2288
42,0.956712,0.956140,+0.0572
43,0.956712,0.956712,+0.0000
44,0.956712,0.954996,+0.1716
45,0.956712,0.956712,+0.0000
46,0.956712,0.944317,+1.2395
47,0.956712,0.956712,+0.0000
48,0.956712,0.956712,+0.0000
49,0.956712,0.957285,-0.0572
50,0.956712,0.935355,+2.1358
51,0.956712,0.952517,+0.4195
52,0.956712,0.954805,+0.1907
53,0.956712,0.953471,+0.3242
54,0.956712,0.952708,+0.4005
55,0.956712,0.945461,+1.1251
56,0.956712,0.955187,+0.1526
57,0.956712,0.953661,+0.3051
58,0.956712,0.954233,+0.2479
59,0.956712,0.955378,+0.1335
60,0.956712,0.956331,+0.0381
61,0.956712,0.955950,+0.0763
62,0.956712,0.909230,+4.7483
63,0.956712,0.956522,+0.0191
