channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
0,0.958429,0.957666,+0.0763
1,0.958429,0.957475,+0.0953
2,0.958429,0.957475,+0.0953
3,0.958429,0.958047,+0.0381
4,0.958429,0.958429,+0.0000
5,0.958429,0.958429,+0.0000
6,0.958429,0.918192,+4.0236
7,0.958429,0.958238,+0.0191
8,0.958429,0.955568,+0.2860
9,0.958429,0.942601,+1.5828
10,0.958429,0.911327,+4.7101
11,0.958429,0.954996,+0.3432
12,0.958429,0.954615,+0.3814
13,0.958429,0.958047,+0.0381
14,0.958429,0.958429,+0.0000
15,0.958429,0.958238,+0.0191
16,0.958429,0.958238,+0.0191
17,0.958429,0.958238,+0.0191
18,0.958429,0.955568,+0.2860
19,0.958429,0.958238,+0.0191
20,0.958429,0.957857,+0.0572
21,0.958429,0.957475,+0.0953
22,0.958429,0.958429,+0.0000
23,0.958429,0.954424,+0.4005
24,0.958429,0.945461,+1.2967
25,0.958429,0.956712,+0.1716
26,0.958429,0.958047,+0.0381
27,0.958429,0.955759,+0.2670
28,0.958429,0.952517,+0.5912
29,0.958429,0.952136,+0.6293
30,0.958429,0.938596,+1.9832
31,0.958429,0.958429,+0.0000
32,0.958429,0.956522,+0.1907
33,0.958429,0.940313,+1.8116
34,0.958429,0.957857,+0.0572
35,0.958429,0.958238,+0.0191
36,0.958429,0.957666,+0.0763
37,0.958429,0.957094,+0.1335
38,0.958429,0.956522,+0.1907
39,0.958429,0.957285,+0.1144
40,0.958429,0.936308,+2.2121
41,0.958429,0.957857,+0.0572
42,0.958429,0.958429,+0.0000
43,0.958429,0.958238,+0.0191
44,0.958429,0.957094,+0.1335
45,0.958429,0.957666,+0.0763
46,0.958429,0.958047,+0.0381
47,0.958429,0.958429,+0.0000
48,0.958429,0.958238,+0.0191
49,0.958429,0.958238,+0.0191
50,0.958429,0.959573,-0.1144
51,0.958429,0.958238,+0.0191
52,0.958429,0.956140,+0.2288
53,0.958429,0.958429,+0.0000
54,0.958429,0.957666,+0.0763
55,0.958429,0.958429,+0.0000
56,0.958429,0.957094,+0.1335
57,0.958429,0.950038,+0.8391
58,0.958429,0.957475,+0.0953
59,0.958429,0.956903,+0.1526
60,0.958429,0.905606,+5.2822
61,0.958429,0.958619,-0.0191
62,0.958429,0.958047,+0.0381
63,0.958429,0.959191,-0.0763
