channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
0,0.956712,0.957475,-0.0763
1,0.956712,0.951945,+0.4767
2,0.956712,0.955759,+0.0953
3,0.956712,0.956331,+0.0381
4,0.956712,0.953661,+0.3051
5,0.956712,0.935736,+2.0976
6,0.956712,0.954996,+0.1716
7,0.956712,0.948703,+0.8009
8,0.956712,0.956522,+0.0191
9,0.956712,0.954233,+0.2479
10,0.956712,0.955568,+0.1144
11,0.956712,0.955759,+0.0953
12,0.956712,0.579710,+37.7002
13,0.956712,0.901411,+5.5301
14,0.956712,0.955378,+0.1335
15,0.956712,0.953661,+0.3051
16,0.956712,0.956903,-0.0191
17,0.956712,0.933448,+2.3265
18,0.956712,0.946606,+1.0107
19,0.956712,0.953089,+0.3623
20,0.956712,0.955568,+0.1144
21,0.956712,0.939741,+1.6972
22,0.956712,0.535088,+42.1625
23,0.956712,0.951945,+0.4767
24,0.956712,0.952708,+0.4005
25,0.956712,0.956712,+0.0000
26,0.956712,0.955950,+0.0763
27,0.956712,0.953471,+0.3242
28,0.956712,0.956522,+0.0191
29,0.956712,0.952136,+0.4577
30,0.956712,0.950610,+0.6102
31,0.956712,0.956903,-0.0191
32,0.956712,0.956331,+0.0381
33,0.956712,0.952708,+0.4005
34,0.956712,0.956712,+0.0000
35,0.956712,0.954424,+0.2288
36,0.956712,0.957094,-0.0381
37,0.956712,0.956140,+0.0572
38,0.956712,0.953280,+0.3432
39,0.956712,0.957666,-0.0953
40,0.956712,0.878719,+7.7994
41,0.956712,0.936499,+2.0214
42,0.956712,0.956903,-0.0191
43,0.956712,0.956331,+0.0381
44,0.956712,0.922006,+3.4706
45,0.956712,0.956712,+0.0000
46,0.956712,0.954615,+0.2098
47,0.956712,0.956903,-0.0191
48,0.956712,0.956712,+0.0000
49,0.956712,0.945652,+1.1060
50,0.956712,0.953852,+0.2860
51,0.956712,0.952326,+0.4386
52,0.956712,0.945843,+1.0870
53,0.956712,0.864226,+9.2487
54,0.956712,0.945080,+1.1632
55,0.956712,0.934401,+2.2311
56,0.956712,0.955187,+0.1526
57,0.956712,0.952517,+0.4195
58,0.956712,0.889969,+6.6743
59,0.956712,0.952899,+0.3814
60,0.956712,0.921243,+3.5469
61,0.956712,0.949085,+0.7628
62,0.956712,0.949466,+0.7246
63,0.956712,0.956712,+0.0000
