channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
0,0.958429,0.957666,+0.0763
1,0.958429,0.934211,+2.4218
2,0.958429,0.958238,+0.0191
3,0.958429,0.958047,+0.0381
4,0.958429,0.958238,+0.0191
5,0.958429,0.958429,+0.0000
6,0.958429,0.943936,+1.4493
7,0.958429,0.957857,+0.0572
8,0.958429,0.957857,+0.0572
9,0.958429,0.950992,+0.7437
10,0.958429,0.916095,+4.2334
11,0.958429,0.933829,+2.4600
12,0.958429,0.342105,+61.6323
13,0.958429,0.877002,+8.1426
14,0.958429,0.957285,+0.1144
15,0.958429,0.943936,+1.4493
16,0.958429,0.958429,+0.0000
17,0.958429,0.958238,+0.0191
18,0.958429,0.955759,+0.2670
19,0.958429,0.957857,+0.0572
20,0.958429,0.957666,+0.0763
21,0.958429,0.948703,+0.9725
22,0.958429,0.122998,+83.5431
23,0.958429,0.952708,+0.5721
24,0.958429,0.952899,+0.5530
25,0.958429,0.958238,+0.0191
26,0.958429,0.958238,+0.0191
27,0.958429,0.958047,+0.0381
28,0.958429,0.926773,+3.1655
29,0.958429,0.944889,+1.3539
30,0.958429,0.953661,+0.4767
31,0.958429,0.958619,-0.0191
32,0.958429,0.951754,+0.6674
33,0.958429,0.932876,+2.5553
34,0.958429,0.956903,+0.1526
35,0.958429,0.957857,+0.0572
36,0.958429,0.954233,+0.4195
37,0.958429,0.950229,+0.8200
38,0.958429,0.955950,+0.2479
39,0.958429,0.941457,+1.6972
40,0.958429,0.901602,+5.6827
41,0.958429,0.948322,+1.0107
42,0.958429,0.957857,+0.0572
43,0.958429,0.958047,+0.0381
44,0.958429,0.928680,+2.9748
45,0.958429,0.954615,+0.3814
46,0.958429,0.834096,+12.4333
47,0.958429,0.957094,+0.1335
48,0.958429,0.957666,+0.0763
49,0.958429,0.958238,+0.0191
50,0.958429,0.957285,+0.1144
51,0.958429,0.956903,+0.1526
52,0.958429,0.956331,+0.2098
53,0.958429,0.956331,+0.2098
54,0.958429,0.936117,+2.2311
55,0.958429,0.957857,+0.0572
56,0.958429,0.957475,+0.0953
57,0.958429,0.954805,+0.3623
58,0.958429,0.953471,+0.4958
59,0.958429,0.954043,+0.4386
60,0.958429,0.886918,+7.1510
61,0.958429,0.955759,+0.2670
62,0.958429,0.958810,-0.0381
63,0.958429,0.946034,+1.2395
