variant,flavour,channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
AV_fused,mid_mult,0,0.956712,0.957475,-0.0763
AV_fused,mid_mult,1,0.956712,0.951945,+0.4767
AV_fused,mid_mult,2,0.956712,0.955759,+0.0953
AV_fused,mid_mult,3,0.956712,0.956331,+0.0381
AV_fused,mid_mult,4,0.956712,0.953661,+0.3051
AV_fused,mid_mult,5,0.956712,0.935736,+2.0976
AV_fused,mid_mult,6,0.956712,0.954996,+0.1716
AV_fused,mid_mult,7,0.956712,0.948703,+0.8009
AV_fused,mid_mult,8,0.956712,0.956522,+0.0191
AV_fused,mid_mult,9,0.956712,0.954233,+0.2479
AV_fused,mid_mult,10,0.956712,0.955568,+0.1144
AV_fused,mid_mult,11,0.956712,0.955759,+0.0953
AV_fused,mid_mult,12,0.956712,0.579710,+37.7002
AV_fused,mid_mult,13,0.956712,0.901411,+5.5301
AV_fused,mid_mult,14,0.956712,0.955378,+0.1335
AV_fused,mid_mult,15,0.956712,0.953661,+0.3051
AV_fused,mid_mult,16,0.956712,0.956903,-0.0191
AV_fused,mid_mult,17,0.956712,0.933448,+2.3265
AV_fused,mid_mult,18,0.956712,0.946606,+1.0107
AV_fused,mid_mult,19,0.956712,0.953089,+0.3623
AV_fused,mid_mult,20,0.956712,0.955568,+0.1144
AV_fused,mid_mult,21,0.956712,0.939741,+1.6972
AV_fused,mid_mult,22,0.956712,0.535088,+42.1625
AV_fused,mid_mult,23,0.956712,0.951945,+0.4767
AV_fused,mid_mult,24,0.956712,0.952708,+0.4005
AV_fused,mid_mult,25,0.956712,0.956712,+0.0000
AV_fused,mid_mult,26,0.956712,0.955950,+0.0763
AV_fused,mid_mult,27,0.956712,0.953471,+0.3242
AV_fused,mid_mult,28,0.956712,0.956522,+0.0191
AV_fused,mid_mult,29,0.956712,0.952136,+0.4577
AV_fused,mid_mult,30,0.956712,0.950610,+0.6102
AV_fused,mid_mult,31,0.956712,0.956903,-0.0191
AV_fused,mid_mult,32,0.956712,0.956331,+0.0381
AV_fused,mid_mult,33,0.956712,0.952708,+0.4005
AV_fused,mid_mult,34,0.956712,0.956712,+0.0000
AV_fused,mid_mult,35,0.956712,0.954424,+0.2288
AV_fused,mid_mult,36,0.956712,0.957094,-0.0381
AV_fused,mid_mult,37,0.956712,0.956140,+0.0572
AV_fused,mid_mult,38,0.956712,0.953280,+0.3432
AV_fused,mid_mult,39,0.956712,0.957666,-0.0953
AV_fused,mid_mult,40,0.956712,0.878719,+7.7994
AV_fused,mid_mult,41,0.956712,0.936499,+2.0214
AV_fused,mid_mult,42,0.956712,0.956903,-0.0191
AV_fused,mid_mult,43,0.956712,0.956331,+0.0381
