epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib,alpha
1,4.864893,0.050564,4.633537,0.058352,243.996,12.493,0.346889
2,4.614097,0.064513,4.935620,0.056255,242.718,12.493,0.423117
3,4.459200,0.073139,4.515756,0.071129,256.504,12.493,0.505084
4,4.275356,0.085712,6.411154,0.042334,345.713,12.493,0.591035
5,4.076230,0.105167,3.809205,0.135774,361.191,12.493,0.689042
6,3.890132,0.124805,4.947659,0.057399,335.387,12.493,0.809851
7,3.667181,0.147288,3.938769,0.105072,343.035,12.493,0.939961
8,3.406147,0.188125,3.152827,0.233600,372.652,12.493,1.061322
9,3.157427,0.222355,3.227045,0.213768,289.372,12.493,1.174911
10,2.942921,0.255942,6.501443,0.049199,242.783,12.493,1.293322
11,2.720330,0.297972,2.643591,0.327613,243.027,12.493,1.400782
12,2.523801,0.338258,3.323021,0.232075,242.966,12.493,1.498232
13,2.335802,0.379921,2.108669,0.442792,242.910,12.493,1.600181
14,2.165723,0.422685,1.826968,0.513349,242.709,12.493,1.700101
15,2.002639,0.459943,2.611423,0.349352,242.860,12.493,1.790170
16,1.836594,0.501239,1.721930,0.536995,243.092,12.493,1.876461
17,1.697632,0.534000,2.025033,0.455187,243.093,12.493,1.960754
18,1.541894,0.583188,1.331581,0.628337,243.242,12.493,2.034176
19,1.446667,0.599431,1.381563,0.623188,244.233,12.493,2.109621
20,1.352871,0.623658,1.033555,0.730549,243.484,12.493,2.180636
21,1.268663,0.639717,1.273069,0.651602,243.027,12.493,2.248736
22,1.184047,0.660549,0.962143,0.739321,242.991,12.493,2.312416
23,1.133381,0.677526,1.519508,0.556827,243.126,12.493,2.372401
24,1.070926,0.694228,1.149491,0.667239,242.914,12.493,2.431217
25,1.014110,0.707809,0.881666,0.757056,342.102,12.493,2.496988
26,0.971911,0.717262,0.966005,0.715294,249.107,12.493,2.550720
27,0.928506,0.728549,0.997102,0.715484,243.304,12.493,2.609022
28,0.875735,0.748004,0.948051,0.716056,243.170,12.493,2.661530
29,0.868611,0.747453,0.784871,0.767544,243.098,12.493,2.716210
30,0.815145,0.765256,0.796234,0.773646,242.826,12.493,2.772354
31,0.793064,0.764614,0.880609,0.734554,242.905,12.493,2.823180
32,0.771436,0.769203,0.610626,0.834477,243.341,12.493,2.875652
33,0.718373,0.789300,0.612550,0.822845,243.456,12.493,2.922959
34,0.693758,0.797284,1.462407,0.609840,242.816,12.493,2.968451
35,0.687511,0.795357,0.805928,0.750763,242.881,12.493,3.015797
36,0.667240,0.799303,0.572937,0.836384,242.872,12.493,3.060687
37,0.632859,0.812976,0.627865,0.809497,243.000,12.493,3.103090
38,0.612017,0.820134,0.607317,0.819031,242.954,12.493,3.144513
39,0.601852,0.818757,0.800917,0.762777,242.833,12.493,3.194318
40,0.572906,0.832614,0.494653,0.854500,242.935,12.493,3.233868
41,0.557682,0.833991,0.504751,0.851449,242.782,12.493,3.279358
42,0.550298,0.835918,0.532352,0.836384,243.069,12.493,3.322308
43,0.535678,0.839130,0.896312,0.733219,242.899,12.493,3.362931
44,0.520284,0.844453,0.403148,0.876812,242.535,12.493,3.404825
45,0.503418,0.848307,0.445704,0.864798,242.809,12.493,3.440827
46,0.483793,0.856291,0.850025,0.755721,242.831,12.493,3.481591
47,0.474668,0.861522,0.790299,0.764874,242.817,12.493,3.523682
48,0.471384,0.858218,0.531596,0.836957,242.851,12.493,3.566175
49,0.462041,0.859319,0.492126,0.846491,242.838,12.493,3.611046
50,0.449318,0.862256,0.437506,0.870519,242.672,12.493,3.640894
51,0.431523,0.869781,0.390276,0.881198,242.993,12.493,3.677011
52,0.432593,0.872809,1.058507,0.713005,243.027,12.493,3.714678
53,0.418306,0.872809,0.491918,0.855072,242.950,12.493,3.744240
54,0.402932,0.878499,0.688537,0.793860,243.019,12.493,3.780333
55,0.389666,0.883729,0.393480,0.877193,242.892,12.493,3.815728
56,0.378686,0.882445,0.650445,0.813692,242.832,12.493,3.850483
57,0.365525,0.889236,0.378955,0.887300,242.823,12.493,3.876953
