epoch,train_loss,train_acc,val_loss,val_acc,alpha,epoch_time_s,peak_gpu_gib
1,4.852880,0.052216,4.589844,0.071320,0.360419,308.075,11.249
2,4.592388,0.061668,4.449482,0.072082,0.434197,207.927,11.249
3,4.408120,0.074975,4.835610,0.031465,0.485218,195.905,11.249
4,4.166374,0.097458,5.295128,0.064836,0.547130,194.104,11.249
5,3.890121,0.128567,3.654091,0.145500,0.596779,204.212,11.249
6,3.565503,0.171423,3.242037,0.233410,0.639063,142.963,11.249
7,3.195170,0.224007,3.117743,0.219870,0.674306,193.197,11.249
8,2.868573,0.280536,2.852221,0.281274,0.711391,151.967,11.249
9,2.590759,0.335138,2.924261,0.261251,0.742483,164.803,11.249
10,2.338302,0.388272,3.314282,0.197368,0.775458,151.908,11.249
11,2.111182,0.435900,2.364032,0.400267,0.802219,162.452,11.249
12,1.908440,0.490686,1.536734,0.616133,0.829262,164.824,11.249
13,1.747479,0.529595,1.902197,0.485698,0.852055,147.930,11.249
14,1.584428,0.578600,1.561918,0.564264,0.879061,210.611,11.249
15,1.469821,0.592915,1.825086,0.487796,0.896197,142.903,11.249
16,1.364171,0.626227,1.549051,0.559115,0.911461,210.667,11.249
17,1.265774,0.648711,1.237380,0.655034,0.929212,143.089,11.249
18,1.178671,0.673029,1.335244,0.616514,0.946078,142.858,11.249
19,1.094463,0.697256,0.870664,0.767925,0.958494,143.079,11.249
20,1.034300,0.707167,1.596857,0.561785,0.965068,143.085,11.249
21,0.972471,0.725429,1.499608,0.584668,0.980294,142.850,11.249
22,0.920368,0.739103,0.908571,0.729024,0.994082,142.956,11.249
23,0.897524,0.739378,0.756285,0.784325,1.003294,142.939,11.249
24,0.837551,0.760026,1.169152,0.655988,1.016051,143.063,11.249
25,0.800850,0.774342,1.747265,0.540046,1.022223,142.897,11.249
26,0.773477,0.776911,0.623163,0.834287,1.033430,143.019,11.249
27,0.717393,0.793888,0.927706,0.744088,1.040336,142.930,11.249
28,0.696185,0.802514,0.614362,0.822654,1.049067,143.015,11.249
29,0.669600,0.805726,1.271385,0.621472,1.050214,142.903,11.249
30,0.662049,0.804533,1.027629,0.697941,1.061087,142.953,11.249
31,0.621176,0.820042,0.954909,0.719680,1.066132,142.987,11.249
32,0.599702,0.825824,1.059555,0.688596,1.075493,142.876,11.249
33,0.592382,0.828301,0.763067,0.773455,1.082194,142.880,11.249
34,0.578331,0.826466,0.905518,0.733410,1.087819,143.001,11.249
35,0.534986,0.842342,0.775760,0.774027,1.093997,143.088,11.249
36,0.531487,0.845646,0.441732,0.872426,1.100948,142.766,11.249
37,0.510748,0.847206,0.458465,0.857361,1.109614,142.869,11.249
38,0.485795,0.850234,0.581632,0.826087,1.116406,142.984,11.249
39,0.477000,0.854455,0.525466,0.847826,1.122063,142.740,11.249
40,0.461293,0.860879,0.528204,0.833905,1.127453,142.885,11.249
41,0.450875,0.864733,1.051667,0.704233,1.130022,142.833,11.249
42,0.434494,0.868129,0.754153,0.778604,1.132942,142.848,11.249
43,0.425165,0.874828,0.600404,0.822654,1.145759,143.062,11.249
44,0.422632,0.872901,0.623186,0.808924,1.147119,142.962,11.249
45,0.399203,0.882445,0.540082,0.838673,1.149136,142.822,11.249
46,0.399195,0.879233,0.411532,0.876049,1.153071,142.771,11.249
47,0.376094,0.886483,0.446455,0.869756,1.154106,142.961,11.249
48,0.374135,0.888868,0.343473,0.901793,1.162162,142.794,11.249
49,0.360343,0.894650,0.380734,0.883677,1.159738,142.901,11.249
50,0.351585,0.890704,0.701785,0.791762,1.165248,142.825,11.249
51,0.347211,0.894099,0.808038,0.778032,1.175211,142.918,11.249
52,0.319633,0.905479,0.327580,0.898741,1.172650,142.967,11.249
53,0.324366,0.903093,0.457994,0.863654,1.177724,142.897,11.249
54,0.315827,0.905295,0.398967,0.879100,1.178613,142.899,11.249
55,0.308255,0.910526,0.305545,0.905606,1.185673,142.821,11.249
56,0.308943,0.905937,0.820962,0.764683,1.186825,142.987,11.249
57,0.304029,0.907773,0.420860,0.873188,1.192518,142.901,11.249
58,0.288957,0.911260,0.344290,0.898169,1.192580,142.972,11.249
59,0.286065,0.916674,0.469798,0.857361,1.192264,142.997,11.249
