epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
1,4.809266,0.055428,5.075445,0.030892,30.496,0.284
2,4.558887,0.064788,4.460695,0.074371,15.334,0.288
3,4.370698,0.081490,4.209904,0.092868,14.789,0.288
4,4.169181,0.099844,3.995751,0.126430,15.107,0.288
5,3.988123,0.119115,4.788576,0.079710,14.965,0.288
6,3.816903,0.134900,4.262792,0.094012,14.591,0.288
7,3.655251,0.153712,3.783517,0.140351,14.806,0.288
8,3.470186,0.185464,3.261019,0.208047,14.835,0.288
9,3.304565,0.204460,3.070091,0.236079,15.162,0.288
10,3.136846,0.232174,8.172746,0.018497,14.552,0.288
11,2.981623,0.257227,3.863106,0.148169,15.130,0.288
12,2.850310,0.280903,3.308671,0.204043,16.645,0.288
13,2.696440,0.309351,2.632983,0.317887,16.910,0.288
14,2.583131,0.331192,2.499741,0.326087,15.248,0.288
15,2.475049,0.348169,4.206870,0.162853,15.554,0.288
16,2.359046,0.378636,2.242830,0.410946,15.168,0.288
17,2.250384,0.402955,7.432869,0.081426,14.590,0.288
18,2.167521,0.419932,3.288996,0.260870,14.874,0.288
19,2.082362,0.432137,2.146426,0.428108,15.128,0.288
20,2.016780,0.449940,2.955652,0.302632,14.916,0.288
21,1.962004,0.462971,1.729703,0.505912,14.754,0.288
22,1.877169,0.481325,1.830916,0.512204,14.850,0.288
23,1.813955,0.495090,1.460527,0.611365,14.395,0.288
24,1.760238,0.513811,1.469752,0.579710,14.893,0.288
25,1.714879,0.522896,2.502392,0.362891,14.996,0.288
26,1.647542,0.536570,1.502796,0.576850,15.548,0.288
27,1.599777,0.549876,2.140215,0.427536,14.447,0.288
28,1.578409,0.555658,1.342392,0.624142,14.833,0.288
29,1.510088,0.566761,1.499951,0.575896,15.362,0.288
30,1.468807,0.582454,1.071376,0.706331,14.708,0.288
31,1.427018,0.594934,2.262749,0.419718,14.758,0.288
32,1.387768,0.610076,1.097379,0.686499,14.739,0.288
33,1.358214,0.615582,1.291156,0.626240,14.780,0.288
34,1.335294,0.616775,1.269538,0.647407,15.058,0.288
35,1.301119,0.624943,1.056911,0.700801,15.090,0.288
36,1.252010,0.642103,0.899777,0.748284,14.907,0.288
37,1.244307,0.646049,3.387310,0.340389,14.567,0.288
38,1.199015,0.656052,1.337854,0.623188,14.363,0.288
39,1.179921,0.658897,0.993635,0.717010,14.739,0.288
40,1.144900,0.671469,1.265546,0.650648,15.315,0.288
41,1.117770,0.679453,1.097160,0.678299,14.730,0.288
42,1.069279,0.690282,0.825960,0.772121,15.072,0.288
43,1.068332,0.689456,1.036911,0.694508,15.242,0.288
44,1.040949,0.698633,1.472668,0.585431,15.210,0.288
45,1.036146,0.699642,1.182857,0.665904,14.932,0.288
46,1.001230,0.711021,1.728101,0.594584,14.373,0.288
47,0.986554,0.707534,0.710557,0.796148,14.586,0.288
48,0.944215,0.721391,0.715944,0.790046,15.237,0.288
49,0.934674,0.730752,1.450273,0.593822,14.719,0.288
50,0.915590,0.735707,0.923777,0.721587,14.907,0.288
51,0.890745,0.737818,2.230841,0.470442,14.408,0.288
52,0.870838,0.743783,2.900356,0.364798,14.238,0.288
53,0.864217,0.746811,0.626022,0.822464,14.269,0.288
54,0.830697,0.754795,0.652192,0.808162,14.280,0.288
55,0.809055,0.767551,0.731161,0.792143,14.973,0.288
56,0.800481,0.766449,0.663454,0.807399,14.818,0.288
57,0.792125,0.769661,0.666001,0.796339,15.178,0.288
58,0.776316,0.775443,1.293549,0.671053,15.081,0.288
59,0.753949,0.779481,1.381352,0.641304,14.573,0.288
60,0.752611,0.774892,0.671133,0.808924,15.136,0.288
61,0.723457,0.784803,0.549939,0.845919,14.977,0.288
62,0.709129,0.793338,0.488080,0.859077,14.673,0.288
63,0.671465,0.807745,0.533260,0.850114,14.413,0.288
64,0.693185,0.797467,0.807784,0.766400,15.037,0.288
65,0.680151,0.800404,0.468343,0.866323,15.100,0.288
66,0.678654,0.797100,1.316578,0.691266,15.088,0.288
67,0.645887,0.811508,0.534320,0.836957,15.135,0.288
68,0.626633,0.819125,0.595465,0.831617,14.709,0.288
69,0.633319,0.812976,0.526122,0.844584,14.673,0.288
70,0.621289,0.819767,0.434898,0.870900,14.648,0.288
71,0.614134,0.816647,0.487834,0.852403,14.764,0.288
72,0.590881,0.822887,0.593137,0.821701,14.935,0.288
73,0.577823,0.826650,0.443282,0.871854,14.912,0.288
74,0.584326,0.828485,0.578211,0.831045,14.046,0.288
75,0.561424,0.832798,0.482362,0.860984,15.647,0.288
76,0.561073,0.832982,0.837260,0.748665,14.660,0.288
77,0.563917,0.832523,0.556132,0.835812,14.659,0.288
78,0.547366,0.839956,1.465744,0.655606,15.168,0.288
79,0.546498,0.836744,0.420291,0.878146,14.951,0.288
80,0.540462,0.838396,0.365693,0.897979,14.478,0.288
81,0.511193,0.849500,0.435573,0.868612,15.083,0.288
82,0.508809,0.849592,0.751592,0.773265,14.974,0.288
83,0.504524,0.850050,0.425444,0.871091,15.111,0.288
84,0.481576,0.860420,0.695622,0.806827,14.856,0.288
85,0.494138,0.851427,0.766531,0.777460,14.716,0.288
86,0.476654,0.860420,0.349671,0.899504,14.906,0.288
87,0.469023,0.859319,0.399472,0.881198,14.559,0.288
88,0.474980,0.858401,0.416546,0.877384,14.842,0.288
89,0.454758,0.866661,0.426859,0.873570,15.050,0.288
90,0.455956,0.867119,0.343624,0.899886,14.374,0.288
91,0.444594,0.870331,0.461908,0.859649,14.371,0.288
92,0.447845,0.866752,0.346757,0.899314,14.790,0.288
93,0.442155,0.869964,0.551956,0.828375,15.269,0.288
94,0.434073,0.869505,0.303559,0.914188,14.697,0.288
95,0.426914,0.878315,0.335099,0.903318,14.358,0.288
96,0.420739,0.877673,0.293336,0.916476,14.721,0.288
97,0.407899,0.884831,0.347849,0.893402,14.667,0.288
