epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
1,4.811426,0.056896,4.593767,0.069031,191.568,11.249
2,4.552251,0.067817,4.387085,0.076278,171.485,11.249
3,4.352847,0.084702,4.242244,0.093249,171.271,11.249
4,4.137641,0.104065,3.912189,0.127956,170.787,11.249
5,3.956050,0.119207,4.049300,0.106407,164.646,11.249
6,3.805937,0.134900,4.357008,0.104882,164.496,11.249
7,3.634574,0.161237,3.438223,0.177727,164.830,11.249
8,3.458750,0.186840,7.208810,0.067506,164.666,11.249
9,3.240288,0.220978,3.094479,0.234554,164.692,11.249
10,2.994004,0.255391,3.073299,0.248284,164.856,11.249
11,2.801170,0.292282,2.592200,0.335050,164.686,11.249
12,2.608208,0.327613,2.529322,0.332761,164.671,11.249
13,2.450759,0.359090,2.309246,0.419336,164.695,11.249
14,2.273050,0.398458,2.027913,0.448513,164.609,11.249
15,2.127862,0.433422,2.451816,0.371663,164.720,11.249
16,1.996447,0.470680,2.385026,0.375095,164.703,11.249
17,1.859443,0.496192,2.229140,0.392830,164.604,11.249
18,1.767587,0.520694,1.538316,0.565408,164.580,11.249
19,1.679075,0.543269,1.525573,0.568078,164.620,11.249
20,1.594818,0.566211,1.352184,0.634821,164.459,11.249
21,1.498096,0.583830,2.608356,0.366895,164.455,11.249
22,1.438910,0.606130,1.443310,0.581808,164.537,11.249
23,1.359865,0.620905,1.590736,0.567506,164.605,11.249
24,1.297755,0.635221,1.260013,0.657323,164.417,11.249
25,1.241189,0.654492,1.135754,0.676773,164.518,11.249
26,1.203998,0.661558,1.245408,0.656560,164.637,11.249
27,1.145682,0.679453,4.999943,0.255721,164.635,11.249
28,1.116152,0.683858,3.869536,0.288520,164.477,11.249
29,1.070103,0.694595,0.874049,0.752288,164.397,11.249
30,1.030642,0.707993,1.439087,0.590389,164.534,11.249
31,0.995335,0.715885,1.099614,0.673913,164.501,11.249
32,0.952419,0.725521,0.900252,0.743326,164.459,11.249
33,0.932991,0.730935,1.329728,0.622426,164.519,11.249
34,0.906280,0.737175,0.989966,0.708810,164.513,11.249
35,0.885462,0.743416,1.346125,0.626812,164.578,11.249
36,0.849450,0.750115,2.492257,0.443555,164.402,11.249
37,0.824063,0.757731,0.783319,0.763158,164.611,11.249
38,0.813838,0.762045,0.640215,0.815599,164.451,11.249
39,0.775771,0.775626,0.589665,0.840961,164.637,11.249
40,0.761948,0.781408,1.038675,0.707857,164.498,11.249
41,0.741203,0.784436,1.006250,0.696415,164.459,11.249
42,0.722469,0.789942,1.477436,0.615561,164.479,11.249
43,0.705427,0.790952,0.581219,0.836575,164.464,11.249
44,0.696977,0.797192,0.595330,0.825896,164.462,11.249
45,0.680410,0.797284,0.770254,0.786613,164.520,11.249
