epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib,w_hh_drift,w_hh_rel_drift,alpha
1,4.843255,0.051390,4.567899,0.057780,123.291,12.494,3.291925,0.414473,0.367936
2,4.566792,0.063137,4.813576,0.059497,112.887,12.494,3.611313,0.454686,0.443028
3,4.434403,0.071763,5.108048,0.061594,112.825,12.494,3.972939,0.500216,0.508347
4,4.271723,0.086079,4.199343,0.090580,112.798,12.494,4.369331,0.550124,0.564235
5,4.081828,0.100119,3.909965,0.118802,171.830,12.494,4.603079,0.579555,0.619940
6,3.900143,0.119482,5.054229,0.057018,125.168,12.494,4.916276,0.618988,0.685281
7,3.692638,0.145361,3.754067,0.134630,112.903,12.494,5.254313,0.661549,0.762113
8,3.435504,0.178673,3.286602,0.189550,112.912,12.494,5.581763,0.702777,0.844112
9,3.181423,0.212994,3.046895,0.234363,112.847,12.494,6.000735,0.755528,0.918136
10,2.945842,0.251996,3.726995,0.158658,127.468,12.494,6.457249,0.813006,0.996688
11,2.700807,0.301826,2.912169,0.263349,112.791,12.494,6.869489,0.864909,1.077516
12,2.464909,0.352758,4.479638,0.118612,112.787,12.494,7.335819,0.923623,1.156446
13,2.239821,0.392585,2.631664,0.309878,112.814,12.494,7.814507,0.983892,1.236689
14,2.000317,0.455905,1.617455,0.571701,112.846,12.494,8.218348,1.034738,1.320289
15,1.798243,0.506286,1.841035,0.482265,112.800,12.494,8.597976,1.082536,1.400912
16,1.623027,0.551528,1.678764,0.512204,112.799,12.494,8.939272,1.125507,1.478467
17,1.432939,0.601542,1.805575,0.486461,112.905,12.494,9.220135,1.160869,1.547728
18,1.273103,0.643388,1.153676,0.660374,221.064,12.494,9.495856,1.195584,1.606832
19,1.178846,0.664678,1.222147,0.659420,245.374,12.494,9.722135,1.224074,1.671033
20,1.089301,0.688905,1.101677,0.680206,258.782,12.494,9.922973,1.249361,1.725955
21,1.015211,0.708452,1.301756,0.637300,329.172,12.494,10.153314,1.278362,1.780153
22,0.940430,0.722309,1.496598,0.577994,364.743,12.494,10.352905,1.303492,1.832071
