comparison,A_layer,B_layer,linear_CKA
A_x_AV,block1_gap,a_mid_gap,0.976481
A_x_AV,block1_gap,gate_out_gap,0.974393
A_x_AV,block1_gap,block2_gap,0.516487
A_x_AV,block1_gap,penult,0.516487
A_x_AV,block2_gap,a_mid_gap,0.584784
A_x_AV,block2_gap,gate_out_gap,0.629526
A_x_AV,block2_gap,block2_gap,0.751425
A_x_AV,block2_gap,penult,0.751425
A_x_AV,penult,a_mid_gap,0.584784
A_x_AV,penult,gate_out_gap,0.629526
A_x_AV,penult,block2_gap,0.751425
A_x_AV,penult,penult,0.751425
V_x_AV,visual_gap,a_mid_gap,0.643481
V_x_AV,visual_gap,gate_out_gap,0.699144
V_x_AV,visual_gap,block2_gap,0.633180
V_x_AV,visual_gap,penult,0.633180
V_x_AV,block2_gap,a_mid_gap,0.502943
V_x_AV,block2_gap,gate_out_gap,0.573561
V_x_AV,block2_gap,block2_gap,0.733063
V_x_AV,block2_gap,penult,0.733063
V_x_AV,penult,a_mid_gap,0.502943
V_x_AV,penult,gate_out_gap,0.573561
V_x_AV,penult,block2_gap,0.733063
V_x_AV,penult,penult,0.733063
A_x_V,block1_gap,visual_gap,0.626099
A_x_V,block1_gap,block2_gap,0.495378
A_x_V,block1_gap,penult,0.495378
A_x_V,block2_gap,visual_gap,0.477607
A_x_V,block2_gap,block2_gap,0.494450
A_x_V,block2_gap,penult,0.494450
A_x_V,penult,visual_gap,0.477607
A_x_V,penult,block2_gap,0.494450
A_x_V,penult,penult,0.494450
