channel,AV_acc_baseline,AV_acc_lesioned,delta_pp
0,0.956712,0.956331,+0.0381
1,0.956712,0.955568,+0.1144
2,0.956712,0.955950,+0.0763
3,0.956712,0.954996,+0.1716
4,0.956712,0.956140,+0.0572
5,0.956712,0.956522,+0.0191
6,0.956712,0.957475,-0.0763
7,0.956712,0.955759,+0.0953
8,0.956712,0.955378,+0.1335
9,0.956712,0.955759,+0.0953
10,0.956712,0.955950,+0.0763
11,0.956712,0.955759,+0.0953
12,0.956712,0.955568,+0.1144
13,0.956712,0.956522,+0.0191
14,0.956712,0.955568,+0.1144
15,0.956712,0.954996,+0.1716
16,0.956712,0.956331,+0.0381
17,0.956712,0.956140,+0.0572
18,0.956712,0.956712,+0.0000
19,0.956712,0.956712,+0.0000
20,0.956712,0.955759,+0.0953
21,0.956712,0.956140,+0.0572
22,0.956712,0.957094,-0.0381
23,0.956712,0.955568,+0.1144
24,0.956712,0.956140,+0.0572
25,0.956712,0.957094,-0.0381
26,0.956712,0.957094,-0.0381
27,0.956712,0.955950,+0.0763
28,0.956712,0.956712,+0.0000
29,0.956712,0.956522,+0.0191
30,0.956712,0.955568,+0.1144
31,0.956712,0.955187,+0.1526
32,0.956712,0.955378,+0.1335
33,0.956712,0.955568,+0.1144
34,0.956712,0.955187,+0.1526
35,0.956712,0.954996,+0.1716
36,0.956712,0.956712,+0.0000
37,0.956712,0.955378,+0.1335
38,0.956712,0.955378,+0.1335
39,0.956712,0.956331,+0.0381
40,0.956712,0.955568,+0.1144
41,0.956712,0.957094,-0.0381
42,0.956712,0.955950,+0.0763
43,0.956712,0.955950,+0.0763
44,0.956712,0.956522,+0.0191
45,0.956712,0.956140,+0.0572
46,0.956712,0.955759,+0.0953
47,0.956712,0.955950,+0.0763
48,0.956712,0.956140,+0.0572
49,0.956712,0.954996,+0.1716
50,0.956712,0.956140,+0.0572
51,0.956712,0.955187,+0.1526
52,0.956712,0.957094,-0.0381
53,0.956712,0.955759,+0.0953
54,0.956712,0.957094,-0.0381
55,0.956712,0.956522,+0.0191
56,0.956712,0.956712,+0.0000
57,0.956712,0.955378,+0.1335
58,0.956712,0.956331,+0.0381
59,0.956712,0.955568,+0.1144
60,0.956712,0.955568,+0.1144
61,0.956712,0.955568,+0.1144
62,0.956712,0.954996,+0.1716
63,0.956712,0.956522,+0.0191
64,0.956712,0.955568,+0.1144
65,0.956712,0.954996,+0.1716
66,0.956712,0.956140,+0.0572
67,0.956712,0.954996,+0.1716
68,0.956712,0.956522,+0.0191
69,0.956712,0.955568,+0.1144
70,0.956712,0.954996,+0.1716
71,0.956712,0.955950,+0.0763
72,0.956712,0.956331,+0.0381
73,0.956712,0.956522,+0.0191
74,0.956712,0.955187,+0.1526
75,0.956712,0.956712,+0.0000
76,0.956712,0.955950,+0.0763
77,0.956712,0.956522,+0.0191
78,0.956712,0.954233,+0.2479
79,0.956712,0.957094,-0.0381
80,0.956712,0.956712,+0.0000
81,0.956712,0.956331,+0.0381
82,0.956712,0.956712,+0.0000
83,0.956712,0.955950,+0.0763
84,0.956712,0.955187,+0.1526
85,0.956712,0.955187,+0.1526
86,0.956712,0.956140,+0.0572
87,0.956712,0.956140,+0.0572
88,0.956712,0.955759,+0.0953
89,0.956712,0.955187,+0.1526
90,0.956712,0.955950,+0.0763
91,0.956712,0.957285,-0.0572
92,0.956712,0.955759,+0.0953
93,0.956712,0.954996,+0.1716
94,0.956712,0.956140,+0.0572
95,0.956712,0.955378,+0.1335
96,0.956712,0.955950,+0.0763
97,0.956712,0.956331,+0.0381
98,0.956712,0.955950,+0.0763
99,0.956712,0.956522,+0.0191
100,0.956712,0.956522,+0.0191
101,0.956712,0.955568,+0.1144
102,0.956712,0.956903,-0.0191
103,0.956712,0.955950,+0.0763
104,0.956712,0.957666,-0.0953
105,0.956712,0.955759,+0.0953
106,0.956712,0.956331,+0.0381
107,0.956712,0.955950,+0.0763
108,0.956712,0.956903,-0.0191
109,0.956712,0.956903,-0.0191
110,0.956712,0.955568,+0.1144
111,0.956712,0.955187,+0.1526
112,0.956712,0.955950,+0.0763
113,0.956712,0.956331,+0.0381
114,0.956712,0.955187,+0.1526
115,0.956712,0.956331,+0.0381
116,0.956712,0.955187,+0.1526
117,0.956712,0.956712,+0.0000
118,0.956712,0.955759,+0.0953
119,0.956712,0.956522,+0.0191
120,0.956712,0.954805,+0.1907
121,0.956712,0.957094,-0.0381
122,0.956712,0.955950,+0.0763
123,0.956712,0.956712,+0.0000
124,0.956712,0.955759,+0.0953
125,0.956712,0.955568,+0.1144
126,0.956712,0.956331,+0.0381
127,0.956712,0.957094,-0.0381
