block2_channel,r2_v_mid
0,0.628140
1,0.577597
2,0.167927
3,0.436152
4,0.740777
5,0.429087
6,0.250440
7,0.849563
8,0.733469
9,0.541483
10,0.408114
11,0.496329
12,0.460678
13,0.744107
14,0.712085
15,0.605523
16,0.541488
17,0.413138
18,0.555332
19,0.647688
20,0.527656
21,0.215393
22,0.310561
23,0.154905
24,0.558269
25,0.962323
26,0.160758
27,0.498337
28,0.601125
29,0.269890
30,0.551721
31,0.278681
32,0.675379
33,0.367714
34,0.697157
35,0.465946
36,0.590294
37,0.609839
38,0.331079
39,0.322790
40,0.499064
41,0.345656
42,0.720592
43,0.607428
44,0.566687
45,0.387284
46,0.530429
47,0.733754
48,0.532718
49,0.266253
50,0.547168
51,0.562472
52,0.483147
53,0.462536
54,0.620594
55,0.271083
56,0.327901
57,0.605054
58,0.448743
59,0.285855
60,0.566217
61,0.163642
62,0.655254
63,0.394400
64,0.201212
65,0.362721
66,0.882937
67,0.129556
68,0.570075
69,0.718196
70,0.471152
71,0.534755
72,0.949863
73,0.480427
74,0.596539
75,0.304666
76,0.292531
77,0.667217
78,0.551684
79,0.668597
80,0.573576
81,0.346466
82,0.476421
83,0.488249
84,0.271496
85,0.332368
86,0.558386
87,0.541549
88,0.316761
89,0.790825
90,0.519031
91,0.901905
92,0.360771
93,0.528787
94,0.287613
95,0.534470
96,0.673085
97,0.278825
98,0.578697
99,0.513952
100,0.403381
101,0.444813
102,0.249643
103,0.452316
104,0.202728
105,0.706334
106,0.471483
107,0.627988
108,0.488882
109,0.484097
110,0.767386
111,0.527573
112,0.501848
113,0.767959
114,0.354986
115,0.190976
116,0.492210
117,0.527985
118,0.730309
119,0.276584
120,0.736342
121,0.633625
122,0.787340
123,0.595305
124,0.442695
125,0.452779
126,0.325404
127,0.446053
