row_idx,col_idx,h0,w0,patch,AV_acc,delta_pp_from_baseline
0,0,0,0,16,0.946224,-1.0488
0,1,0,16,16,0.944127,-1.2586
0,2,0,32,16,0.941648,-1.5065
0,3,0,48,16,0.941266,-1.5446
0,4,0,64,16,0.939550,-1.7162
0,5,0,80,16,0.943555,-1.3158
1,0,16,0,16,0.925820,-3.0892
1,1,16,16,16,0.926201,-3.0511
1,2,16,32,16,0.917811,-3.8902
1,3,16,48,16,0.917048,-3.9664
1,4,16,64,16,0.919908,-3.6804
1,5,16,80,16,0.923341,-3.3371
2,0,32,0,16,0.915904,-4.0809
2,1,32,16,16,0.901602,-5.5111
2,2,32,32,16,0.899314,-5.7399
2,3,32,48,16,0.895118,-6.1594
2,4,32,64,16,0.898360,-5.8352
2,5,32,80,16,0.912853,-4.3860
3,0,48,0,16,0.918574,-3.8139
3,1,48,16,16,0.900267,-5.6445
3,2,48,32,16,0.900458,-5.6255
3,3,48,48,16,0.896262,-6.0450
3,4,48,64,16,0.900839,-5.5873
3,5,48,80,16,0.915332,-4.1381
4,0,64,0,16,0.931350,-2.5362
4,1,64,16,16,0.914378,-4.2334
4,2,64,32,16,0.908658,-4.8055
4,3,64,48,16,0.905225,-5.1487
4,4,64,64,16,0.913234,-4.3478
4,5,64,80,16,0.930397,-2.6316
5,0,80,0,16,0.949275,-0.7437
5,1,80,16,16,0.946034,-1.0679
5,2,80,32,16,0.944127,-1.2586
5,3,80,48,16,0.943745,-1.2967
5,4,80,64,16,0.947750,-0.8963
5,5,80,80,16,0.951754,-0.4958
