channel,mean_AV,mean_A_via_vzero,mean_V_via_azero,mean_ZZ,MEI,super_additivity
0,1.482497,1.177187,0.769681,0.000000,0.259355,-0.464371
1,1.241056,0.780919,0.803715,0.038926,0.544149,-0.304651
2,1.015574,0.573091,0.448911,0.000000,0.772097,-0.006428
3,1.274673,1.044775,0.480151,0.000000,0.220045,-0.250253
4,1.434550,0.032013,1.175028,0.000000,0.220864,0.227509
5,1.417449,6.951998,0.539638,6.742161,-0.796109,0.667974
6,1.119570,1.899987,0.412253,0.580748,-0.410748,-0.611922
7,1.598427,0.708399,1.488139,0.099297,0.074112,-0.498814
8,1.399146,1.089802,1.160535,0.024392,0.205605,-0.826798
9,1.358979,1.332044,0.668327,4.181638,0.020221,3.540245
10,1.433842,7.655289,0.532219,10.690493,-0.812699,3.936826
11,1.469289,7.475644,0.542884,2.040016,-0.803456,-4.509223
12,1.162368,0.444701,0.708838,2.970702,0.639819,2.979530
13,1.675861,0.890678,1.030895,0.458246,0.625636,0.212535
14,1.365162,0.505271,0.662723,0.000000,1.059927,0.197168
15,1.391376,2.654301,1.363996,8.590178,-0.475803,5.963256
16,1.533566,0.197175,0.596459,0.000000,1.571116,0.739932
17,1.336238,0.121598,0.124418,0.000000,9.739861,1.090222
18,1.338584,2.043843,1.141644,0.014516,-0.345065,-1.832386
19,1.341668,0.258886,1.102548,0.000000,0.216880,-0.019765
20,1.253192,0.994071,0.478566,0.167833,0.260666,-0.051612
21,1.137767,0.893121,0.596401,0.917428,0.273922,0.565673
22,1.188130,0.805188,0.864266,1.170278,0.374727,0.688954
23,1.170784,1.131420,0.318992,1.342286,0.034792,1.062658
24,1.286494,0.104012,0.909065,0.073883,0.415183,0.347300
25,1.862147,2.595587,1.114462,2.736276,-0.282572,0.888374
26,1.131891,0.310547,0.101420,0.210037,2.644823,0.929962
27,1.147583,0.990934,0.931127,0.753111,0.158082,-0.021367
28,1.708444,1.268591,1.028103,1.378899,0.346725,0.790649
29,1.189982,0.053088,0.189338,0.000000,5.284948,0.947557
30,1.472712,1.137010,0.989289,0.123700,0.295249,-0.529888
31,1.054950,7.424417,0.373543,0.435791,-0.857908,-6.307219
32,1.298153,0.565166,0.494890,0.000000,1.296938,0.238097
33,1.157572,2.532129,0.764044,0.117375,-0.542846,-2.021225
34,1.569288,4.015083,1.317399,14.062335,-0.609152,10.299141
35,1.266283,0.317695,0.725821,0.000000,0.744621,0.222767
36,1.257562,8.608002,0.605850,11.996145,-0.853908,4.039856
37,1.553837,0.062178,0.705603,0.000000,1.202139,0.786056
38,1.254988,8.577900,0.464376,1.789084,-0.853695,-5.998205
39,1.620504,14.477281,0.653959,13.859378,-0.888066,0.348642
40,1.354888,0.328720,0.834138,0.045318,0.624297,0.237348
41,1.277559,0.306048,0.382315,1.310204,2.341632,1.899400
42,1.447243,1.432775,1.153558,0.008311,0.010098,-1.130779
