section,feature_or_bin,target_or_metric,value,ci_lo,ci_hi,n,note
rf_persample_baseline,viseme_bilabial_bpm,delta_flip,0.042348,,,,
rf_persample_baseline,viseme_glottal_h,delta_flip,0.023574,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_flip,0.033613,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_flip,0.022680,,,,
rf_persample_baseline,viseme_lingual,delta_flip,0.061253,,,,
rf_persample_baseline,viseme_other,delta_flip,0.037133,,,,
rf_persample_baseline,viseme_vowel_initial,delta_flip,0.020960,,,,
rf_persample_baseline,word_len,delta_flip,0.507734,,,,
rf_persample_baseline,n_vowels,delta_flip,0.231139,,,,
rf_persample_baseline,vowel_initial,delta_flip,0.019566,,,,
rf_persample_baseline,viseme_bilabial_bpm,delta_logconf,0.055619,,,,
rf_persample_baseline,viseme_glottal_h,delta_logconf,0.019659,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_logconf,0.032879,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_logconf,0.028296,,,,
rf_persample_baseline,viseme_lingual,delta_logconf,0.122940,,,,
rf_persample_baseline,viseme_other,delta_logconf,0.057532,,,,
rf_persample_baseline,viseme_vowel_initial,delta_logconf,0.026508,,,,
rf_persample_baseline,word_len,delta_logconf,0.415869,,,,
rf_persample_baseline,n_vowels,delta_logconf,0.219113,,,,
rf_persample_baseline,vowel_initial,delta_logconf,0.021585,,,,
rf_persample_baseline,viseme_bilabial_bpm,delta_margin,0.041958,,,,
rf_persample_baseline,viseme_glottal_h,delta_margin,0.032782,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_margin,0.034278,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_margin,0.012970,,,,
rf_persample_baseline,viseme_lingual,delta_margin,0.236698,,,,
rf_persample_baseline,viseme_other,delta_margin,0.053183,,,,
rf_persample_baseline,viseme_vowel_initial,delta_margin,0.035793,,,,
rf_persample_baseline,word_len,delta_margin,0.324457,,,,
rf_persample_baseline,n_vowels,delta_margin,0.202030,,,,
rf_persample_baseline,vowel_initial,delta_margin,0.025851,,,,
rf_persample_with_Abase,viseme_bilabial_bpm,delta_flip,0.004423,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_flip,0.002338,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_flip,0.004394,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_flip,0.001749,,,,
rf_persample_with_Abase,viseme_lingual,delta_flip,0.009981,,,,
rf_persample_with_Abase,viseme_other,delta_flip,0.003812,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_flip,0.002520,,,,
rf_persample_with_Abase,word_len,delta_flip,0.048851,,,,
rf_persample_with_Abase,n_vowels,delta_flip,0.025223,,,,
rf_persample_with_Abase,vowel_initial,delta_flip,0.002959,,,,
rf_persample_with_Abase,A_correct,delta_flip,0.296220,,,,
rf_persample_with_Abase,A_logp,delta_flip,0.597530,,,,
rf_persample_with_Abase,viseme_bilabial_bpm,delta_logconf,0.013499,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_logconf,0.005622,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_logconf,0.004192,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_logconf,0.001099,,,,
rf_persample_with_Abase,viseme_lingual,delta_logconf,0.023145,,,,
rf_persample_with_Abase,viseme_other,delta_logconf,0.007572,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_logconf,0.004916,,,,
rf_persample_with_Abase,word_len,delta_logconf,0.077866,,,,
rf_persample_with_Abase,n_vowels,delta_logconf,0.031644,,,,
rf_persample_with_Abase,vowel_initial,delta_logconf,0.004190,,,,
rf_persample_with_Abase,A_correct,delta_logconf,0.014437,,,,
rf_persample_with_Abase,A_logp,delta_logconf,0.811817,,,,
rf_persample_with_Abase,viseme_bilabial_bpm,delta_margin,0.019496,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_margin,0.008358,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_margin,0.015129,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_margin,0.005869,,,,
rf_persample_with_Abase,viseme_lingual,delta_margin,0.046594,,,,
rf_persample_with_Abase,viseme_other,delta_margin,0.012590,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_margin,0.011366,,,,
rf_persample_with_Abase,word_len,delta_margin,0.103228,,,,
rf_persample_with_Abase,n_vowels,delta_margin,0.060032,,,,
rf_persample_with_Abase,vowel_initial,delta_margin,0.011015,,,,
rf_persample_with_Abase,A_correct,delta_margin,0.003127,,,,
rf_persample_with_Abase,A_logp,delta_margin,0.703198,,,,
perm_persample_with_Abase,viseme_bilabial_bpm,delta_flip,-0.002062,0.000953,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_glottal_h,delta_flip,-0.000758,0.000883,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiodental_fv,delta_flip,-0.001063,0.001005,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiovelar_w,delta_flip,-0.000115,0.000154,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_lingual,delta_flip,-0.004149,0.002860,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_other,delta_flip,-0.001005,0.001256,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_vowel_initial,delta_flip,-0.002196,0.001413,,,permutation_importance test-fold
perm_persample_with_Abase,word_len,delta_flip,-0.005396,0.002469,,,permutation_importance test-fold
perm_persample_with_Abase,n_vowels,delta_flip,-0.004120,0.001822,,,permutation_importance test-fold
perm_persample_with_Abase,vowel_initial,delta_flip,-0.002709,0.001558,,,permutation_importance test-fold
perm_persample_with_Abase,A_correct,delta_flip,0.069323,0.012555,,,permutation_importance test-fold
perm_persample_with_Abase,A_logp,delta_flip,0.018844,0.008531,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_bilabial_bpm,delta_logconf,0.000797,0.009176,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_glottal_h,delta_logconf,0.004165,0.003259,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiodental_fv,delta_logconf,0.000299,0.002148,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiovelar_w,delta_logconf,-0.000458,0.001381,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_lingual,delta_logconf,0.025521,0.024584,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_other,delta_logconf,-0.002016,0.007362,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_vowel_initial,delta_logconf,-0.002492,0.003364,,,permutation_importance test-fold
perm_persample_with_Abase,word_len,delta_logconf,0.034169,0.057857,,,permutation_importance test-fold
perm_persample_with_Abase,n_vowels,delta_logconf,0.007878,0.018565,,,permutation_importance test-fold
perm_persample_with_Abase,vowel_initial,delta_logconf,-0.003082,0.002580,,,permutation_importance test-fold
perm_persample_with_Abase,A_correct,delta_logconf,0.009863,0.025880,,,permutation_importance test-fold
perm_persample_with_Abase,A_logp,delta_logconf,0.580368,0.163322,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_bilabial_bpm,delta_margin,-0.012705,0.008542,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_glottal_h,delta_margin,0.001378,0.005428,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiodental_fv,delta_margin,-0.001595,0.005935,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_labiovelar_w,delta_margin,-0.000185,0.001170,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_lingual,delta_margin,-0.002026,0.019860,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_other,delta_margin,-0.004890,0.005034,,,permutation_importance test-fold
perm_persample_with_Abase,viseme_vowel_initial,delta_margin,-0.015992,0.005503,,,permutation_importance test-fold
perm_persample_with_Abase,word_len,delta_margin,-0.010009,0.018536,,,permutation_importance test-fold
perm_persample_with_Abase,n_vowels,delta_margin,0.008964,0.018629,,,permutation_importance test-fold
perm_persample_with_Abase,vowel_initial,delta_margin,-0.013903,0.006835,,,permutation_importance test-fold
perm_persample_with_Abase,A_correct,delta_margin,0.002002,0.004071,,,permutation_importance test-fold
