axis,condition,measured_acc,anchor_acc,delta_pp,status
clean_val,clean,0.956712,0.956712,+0.0000,OK
rawnoise_sweep,0.0000,0.956712,0.956712,+0.0000,OK
rawnoise_sweep,0.0010,0.956712,0.956712,+0.0000,OK
rawnoise_sweep,0.0050,0.948894,0.948894,-0.0000,OK
rawnoise_sweep,0.0100,0.927536,0.927536,+0.0000,OK
rawnoise_sweep,0.0200,0.851831,0.851831,-0.0000,OK
rawnoise_sweep,0.0500,0.609268,0.609268,-0.0000,OK
rawnoise_sweep,0.1000,0.376049,0.376049,-0.0000,OK
rawnoise_sweep,0.2000,0.217201,0.217201,-0.0000,OK
rawnoise_sweep,0.5000,0.120519,0.120519,-0.0000,OK
E11_temporal,delta_ms=-200,0.152555,0.152555,+0.0000,OK
E11_temporal,delta_ms=-100,0.475400,0.475400,+0.0000,OK
E11_temporal,delta_ms=-60,0.741228,0.741228,+0.0000,OK
E11_temporal,delta_ms=-40,0.849352,0.849352,-0.0000,OK
E11_temporal,delta_ms=-20,0.939550,0.939550,-0.0000,OK
E11_temporal,delta_ms=+0,0.956712,0.956712,+0.0000,OK
E11_temporal,delta_ms=+20,0.946796,0.946796,+0.0000,OK
E11_temporal,delta_ms=+40,0.907323,0.907132,+0.0191,OK
E11_temporal,delta_ms=+60,0.838101,0.838101,-0.0000,OK
E11_temporal,delta_ms=+100,0.597254,0.597063,+0.0191,OK
E11_temporal,delta_ms=+200,0.193555,0.193745,-0.0190,OK
D5_temporal_saliency,"win=[0,10)",0.765637,0.765446,+0.0191,OK
D5_temporal_saliency,"win=[5,15)",0.539855,0.539664,+0.0191,OK
D5_temporal_saliency,"win=[10,20)",0.346491,0.346491,+0.0000,OK
D5_temporal_saliency,"win=[15,25)",0.232265,0.232265,+0.0000,OK
D5_temporal_saliency,"win=[20,30)",0.213768,0.213768,+0.0000,OK
D5_temporal_saliency,"win=[25,35)",0.281655,0.281655,+0.0000,OK
D5_temporal_saliency,"win=[30,40)",0.451754,0.451564,+0.0190,OK
D5_temporal_saliency,"win=[35,45)",0.663425,0.663425,-0.0000,OK
D5_temporal_saliency,"win=[40,50)",0.859649,0.859649,+0.0000,OK
