sigma_a,A_acc,V_acc,AV_acc,AV_minus_A,AV_minus_V,AV_minus_best,abs_A_minus_V
0.0000,0.927918,0.864989,0.956712,0.028795,0.091723,0.028795,0.062929
0.0020,0.921815,0.864989,0.955759,0.033944,0.090770,0.033944,0.056826
0.0040,0.901411,0.864989,0.952517,0.051106,0.087528,0.051106,0.036422
0.0050,0.881579,0.864989,0.948703,0.067124,0.083714,0.067124,0.016590
0.0055,0.871091,0.864989,0.946987,0.075896,0.081998,0.075896,0.006102
0.0060,0.853166,0.864989,0.945461,0.092296,0.080472,0.080472,0.011823
0.0065,0.841533,0.864989,0.944127,0.102593,0.079138,0.079138,0.023456
0.0070,0.824943,0.864989,0.941648,0.116705,0.076659,0.076659,0.040046
0.0075,0.801869,0.864989,0.939550,0.137681,0.074561,0.074561,0.063120
0.0080,0.781465,0.864989,0.936880,0.155416,0.071891,0.071891,0.083524
0.0090,0.731121,0.864989,0.933638,0.202517,0.068649,0.068649,0.133868
0.0100,0.684020,0.864989,0.926964,0.242944,0.061975,0.061975,0.180969
0.0120,0.594012,0.864989,0.914760,0.320748,0.049771,0.049771,0.270977
0.0150,0.482647,0.864989,0.891686,0.409039,0.026697,0.026697,0.382342
0.0200,0.349161,0.864989,0.850877,0.501716,-0.014112,-0.014112,0.515828
0.0300,0.220252,0.864989,0.770976,0.550725,-0.094013,-0.094013,0.644737
