sigma_a,dprime_A,dprime_V,dprime_AV,dprime_pred_opt,AV_over_pred,gain_over_best,gain_opt,abs_dA_minus_dV
0.0000,2.7494,3.8878,3.9185,4.8123,0.8143,1.0295,1.2601,1.2347
0.0020,2.7614,3.8878,3.9117,4.8172,0.8120,1.0289,1.2615,1.2197
0.0040,2.7284,3.8878,3.8700,4.7919,0.8076,1.0263,1.2615,1.2104
0.0050,2.6891,3.8878,3.8370,4.7674,0.8048,1.0169,1.2524,1.2493
0.0060,2.6384,3.8878,3.8031,4.7376,0.8028,1.0070,1.2422,1.2993
0.0070,2.5760,3.8878,3.7717,4.7030,0.8020,0.9974,1.2311,1.3625
0.0080,2.5030,3.8878,3.7430,4.6650,0.8024,0.9885,1.2200,1.4354
0.0090,2.4293,3.8878,3.7153,4.6291,0.8026,0.9802,1.2101,1.5079
0.0100,2.3598,3.8878,3.6897,4.5955,0.8029,0.9725,1.1996,1.5776
0.0120,2.2559,3.8878,3.6438,4.5461,0.8015,0.9581,1.1835,1.6844
0.0150,2.0880,3.8878,3.5861,4.4720,0.8019,0.9410,1.1618,1.8461
0.0200,1.8086,3.8878,3.5307,4.3632,0.8092,0.9281,1.1408,2.0840
0.0300,1.4120,3.8878,3.4024,4.2134,0.8075,0.8906,1.1000,2.4759
0.0500,1.3098,3.8878,3.0309,4.1046,0.7384,0.8353,1.0833,2.5351
0.0800,1.0110,3.8878,2.6437,4.0155,0.6584,0.7837,1.0540,2.8339
