sigma_a,dprime_A,dprime_V,dprime_AV,dprime_pred_opt,AV_over_pred,gain_over_best,gain_opt,abs_dA_minus_dV
0.0000,4.6144,1.8581,4.4558,4.9915,0.8927,0.9829,1.0861,2.7564
0.0050,4.4239,1.8581,4.2555,4.8205,0.8828,0.9779,1.0976,2.5658
0.0100,4.0104,1.8581,3.9972,4.4463,0.8990,1.0153,1.1219,2.1524
0.0150,3.6262,1.8581,3.8116,4.1185,0.9255,1.0872,1.1469,1.8308
0.0200,3.1637,1.8581,3.6697,3.7313,0.9835,1.1774,1.1521,1.5419
0.0250,2.7706,1.8581,3.5532,3.4122,1.0413,1.2676,1.1608,1.2971
0.0300,2.4433,1.8581,3.4555,3.1578,1.0943,1.3828,1.1894,1.0731
0.0350,2.1996,1.8581,3.3725,2.9840,1.1302,1.4086,1.1752,1.0329
0.0400,2.0398,1.8581,3.2957,2.8815,1.1437,1.4306,1.1708,1.0277
0.0500,1.9917,1.8581,3.1732,2.8810,1.1014,1.3846,1.2013,0.9316
0.0600,1.7399,1.8581,3.0397,2.7003,1.1257,1.3949,1.2047,0.8448
0.0800,1.4493,1.8581,2.7424,2.5030,1.0956,1.3127,1.1913,0.8475
0.1000,1.2241,1.8581,2.5036,2.3611,1.0603,1.2246,1.1717,0.9202
0.1300,1.1543,1.8581,2.2501,2.3031,0.9770,1.1190,1.1732,0.9033
0.1700,1.0231,1.8581,1.9430,2.2182,0.8759,0.9903,1.1475,0.9673
0.2200,0.9398,1.8581,1.6680,2.1610,0.7719,0.8776,1.1374,0.9913
