sigma_a,sigma_v,a_acc,v_acc,n_disagree,follow_a,follow_v,neither,w_audio
0.000000,0.000000,0.927918,0.865179,900,536,222,142,0.707124
0.005867,0.000000,0.857933,0.865179,1219,489,529,201,0.480354
0.008487,0.000000,0.758581,0.865179,1648,438,912,298,0.324444
0.013027,0.000000,0.550725,0.865179,2604,353,1748,503,0.168015
0.023780,0.000000,0.287185,0.865179,3819,312,2616,891,0.106557
0.040000,0.000000,0.160374,0.865179,4431,430,2622,1379,0.140891
0.000000,0.114367,0.927918,0.855835,943,571,214,158,0.727389
0.005867,0.114367,0.857933,0.855835,1253,519,514,220,0.502420
0.008487,0.114367,0.758581,0.855835,1682,463,881,338,0.344494
0.013027,0.114367,0.550725,0.855835,2630,378,1708,544,0.181208
0.023780,0.114367,0.287185,0.855835,3838,333,2585,920,0.114119
0.040000,0.114367,0.160374,0.855835,4447,461,2594,1392,0.150900
0.000000,0.212586,0.927918,0.766590,1369,949,186,234,0.836123
0.005867,0.212586,0.857933,0.766590,1658,884,448,326,0.663664
0.008487,0.212586,0.758581,0.766590,2040,783,785,472,0.499362
0.013027,0.212586,0.550725,0.766590,2870,620,1515,735,0.290398
0.023780,0.212586,0.287185,0.766590,3955,492,2300,1163,0.176218
0.040000,0.212586,0.160374,0.766590,4509,572,2323,1614,0.197582
0.000000,0.246782,0.927918,0.683448,1796,1322,173,301,0.884281
0.005867,0.246782,0.857933,0.683448,2052,1210,414,428,0.745074
0.008487,0.246782,0.758581,0.683448,2382,1081,705,596,0.605263
0.013027,0.246782,0.550725,0.683448,3128,860,1356,912,0.388087
0.023780,0.246782,0.287185,0.683448,4095,637,2072,1386,0.235142
0.040000,0.246782,0.160374,0.683448,4600,680,2114,1806,0.243379
0.000000,0.298076,0.927918,0.492372,2766,2145,138,483,0.939553
0.005867,0.298076,0.857933,0.492372,2953,1961,308,684,0.864257
0.008487,0.298076,0.758581,0.492372,3185,1752,512,921,0.773852
0.013027,0.298076,0.550725,0.492372,3730,1365,992,1373,0.579126
0.023780,0.298076,0.287185,0.492372,4453,984,1515,1954,0.393758
0.040000,0.298076,0.160374,0.492372,4807,894,1564,2349,0.363710
0.000000,0.400000,0.927918,0.204424,4207,2928,83,1196,0.972434
0.005867,0.400000,0.857933,0.204424,4278,2681,145,1452,0.948691
0.008487,0.400000,0.758581,0.204424,4385,2413,236,1736,0.910910
0.013027,0.400000,0.550725,0.204424,4611,1874,442,2295,0.809154
0.023780,0.400000,0.287185,0.204424,4920,1270,663,2987,0.657010
0.040000,0.400000,0.160374,0.204424,5062,1051,718,3293,0.594121
