word,baseline_clean,baseline_noisy_03,noise_trained_clean,noise_trained_noisy_03,baseline_drop,recovery
A.M.,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
ADD,0.9167,0.9583,1.0000,0.9583,-0.0417,0.0000
ALARM,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
ALL,0.7500,0.7917,0.8750,0.8333,-0.0417,0.0417
APPOINTMENT,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
APRIL,1.0000,0.9167,1.0000,1.0000,0.0833,0.0833
AS,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
ATTACH,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
ATTACHMENT,1.0000,1.0000,1.0000,0.9583,0.0000,-0.0417
AUGUST,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
BACK,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
BEGIN,1.0000,1.0000,0.9583,1.0000,0.0000,0.0000
BOLD,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
BROTHER,0.9167,0.9167,0.8750,0.8750,0.0000,-0.0417
BROWSER,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
CALCULATOR,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
CALENDAR,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
CALL,1.0000,0.9583,0.9583,0.9167,0.0417,-0.0417
CAMERA,0.9583,0.8750,0.9583,0.9583,0.0833,0.0833
CANCEL,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
CHANGE,0.9167,0.9167,1.0000,1.0000,0.0000,0.0833
CHECK,0.9167,0.9167,0.8750,0.9167,0.0000,0.0000
CLICK,0.9375,0.9792,0.9583,0.9583,-0.0417,-0.0208
CLOSE,0.9583,1.0000,0.9583,0.9583,-0.0417,-0.0417
COMPUTER,0.9167,0.9167,0.8750,0.9583,0.0000,0.0417
CONTROL,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
COPY,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
CUT,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
DAD,0.9167,0.9167,0.8750,0.8750,0.0000,-0.0417
DAUGHTER,0.8750,0.9167,1.0000,1.0000,-0.0417,0.0833
DECEMBER,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
DELETE,0.9167,0.8750,0.9583,0.9583,0.0417,0.0833
DIAL,0.9583,0.9583,0.7917,0.7917,0.0000,-0.1667
DOCUMENT,0.9583,0.8750,0.9583,0.9583,0.0833,0.0833
DOCUMENTS,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
DOUBLE,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
DOWN,0.9452,0.9452,0.9863,0.9863,0.0000,0.0411
DOWNLOADS,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
E-MAIL,0.8333,0.8750,0.7917,0.9167,-0.0417,0.0417
EDIT,0.8750,0.8750,0.8750,0.8333,0.0000,-0.0417
EIGHT,0.9315,0.9315,0.9589,0.9589,0.0000,0.0274
EIGHTEEN,0.8750,0.8750,0.8750,0.9167,0.0000,0.0417
EIGHTY,0.7083,0.7500,0.8333,0.7500,-0.0417,0.0000
ELEVEN,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
END,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
EXPORT,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
FACEBOOK,1.0000,0.9167,1.0000,1.0000,0.0833,0.0833
FAVORITES,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
FEBRUARY,1.0000,1.0000,0.9583,1.0000,0.0000,0.0000
FIFTEEN,0.8750,0.8333,0.8333,0.8333,0.0417,0.0000
FIFTY,0.9167,0.8750,0.9583,0.8750,0.0417,0.0000
FILE,0.8333,0.9167,0.7917,0.8750,-0.0833,-0.0417
FIVE,0.9588,0.9691,0.9897,0.9794,-0.0103,0.0103
FLASH,0.8750,0.8750,0.9583,0.9583,0.0000,0.0833
FONT,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
FORTY,0.8125,0.7917,0.8542,0.8542,0.0208,0.0625
FORWARD,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
FOUR,0.9452,0.9041,0.9589,0.9452,0.0411,0.0411
FOURTEEN,0.9583,0.9583,0.9583,1.0000,0.0000,0.0417
FRIDAY,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
FULL,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
GO,0.8750,0.8750,0.9583,0.9583,0.0000,0.0833
GOOGLE,0.8333,0.9167,0.9167,0.9167,-0.0833,0.0000
HALF,0.8333,0.7917,0.9583,0.9583,0.0417,0.1667
HELP,0.9583,0.9583,0.9583,0.9167,0.0000,-0.0417
HIBERNATE,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
HOME,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
HOMEPAGE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
HUNDRED,0.9167,0.9167,0.9167,0.9583,0.0000,0.0417
HUSBAND,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
IMPORT,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
INBOX,0.9583,0.9167,0.9583,0.9583,0.0417,0.0417
INSERT,0.9583,1.0000,1.0000,0.9583,-0.0417,-0.0417
ITALICS,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
JANUARY,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
JULY,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
JUNE,0.8750,0.8333,0.9583,0.9583,0.0417,0.1250
LAST,0.9167,0.9167,0.9583,0.9167,0.0000,0.0000
LEFT,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
LINE,0.7083,0.6667,0.7083,0.7083,0.0417,0.0417
MARCH,0.9167,0.9167,0.9583,1.0000,0.0000,0.0833
MAY,0.9167,0.9167,0.8750,0.8750,0.0000,-0.0417
MESSAGE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
MILLION,0.9167,0.7917,1.0000,1.0000,0.1250,0.2083
MINIMIZE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
MMS,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
MONDAY,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
MOUSE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
MOVE,0.8750,0.8750,0.9167,0.9167,0.0000,0.0417
MUM,0.9167,0.9583,0.8750,0.9583,-0.0417,0.0000
MUSIC,0.9583,0.9583,0.9167,0.9583,0.0000,0.0000
MUTE,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
MY,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
NEW,0.8750,0.9167,0.9167,0.9167,-0.0417,0.0000
NEXT,1.0000,0.9583,1.0000,0.9583,0.0417,0.0000
NINE,0.8750,0.8750,0.9375,0.9583,0.0000,0.0833
NINETEEN,0.8750,0.8750,0.9167,0.9167,0.0000,0.0417
NINETY,0.8333,0.8333,0.7917,0.7917,0.0000,-0.0417
NOVEMBER,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
OCTOBER,0.9583,1.0000,1.0000,1.0000,-0.0417,0.0000
OFF,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
OK,0.9583,0.9167,0.9167,0.9167,0.0417,0.0000
ON,0.7917,0.7917,0.8333,0.8333,0.0000,0.0417
ONE,0.9381,0.9278,0.9691,0.9588,0.0103,0.0309
OPEN,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
OUTBOX,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
P.M.,0.9583,0.9167,0.9167,0.9167,0.0417,0.0000
PAGE,0.9167,0.9167,0.9583,0.9583,0.0000,0.0417
PANEL,0.8333,0.8333,0.8333,0.8333,0.0000,0.0000
PARAGRAPH,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
PAST,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
PASTE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
PAUSE,0.9583,0.9167,0.9167,0.9583,0.0417,0.0417
PICTURE,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
PICTURES,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
PLAY,0.8333,0.8333,0.8750,0.8750,0.0000,0.0417
PLAYER,1.0000,1.0000,0.9167,0.8750,0.0000,-0.1250
PREVIOUS,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
PRINT,0.9583,0.9167,0.9583,0.9583,0.0417,0.0417
QUARTER,0.9583,0.9167,0.9375,0.9375,0.0417,0.0208
RECORD,0.9167,0.9167,0.9583,0.9583,0.0000,0.0417
REFRESH,1.0000,0.9167,0.9583,0.9583,0.0833,0.0417
REMINDER,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
REPLY,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
RESTART,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
RIGHT,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
RUN,0.8333,0.7500,0.8750,0.8750,0.0833,0.1250
SATURDAY,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
SAVE,0.9167,0.9167,0.9375,0.9375,0.0000,0.0208
SCREEN,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
SCROLL,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
SEARCH,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
SELECT,1.0000,1.0000,1.0000,0.9792,0.0000,-0.0208
SEND,0.9583,0.9167,0.9583,0.9583,0.0417,0.0417
SENTENCE,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
SEPTEMBER,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
SET,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
SEVEN,0.9863,0.9863,0.9726,0.9726,0.0000,-0.0137
SEVENTEEN,0.7083,0.7917,0.7500,0.7917,-0.0833,0.0000
SEVENTY,0.8750,0.8333,0.9167,0.9167,0.0417,0.0833
SHUT,0.8333,0.8750,0.8333,0.8333,-0.0417,-0.0417
SISTER,1.0000,0.9583,0.9583,0.9583,0.0417,0.0000
SIX,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
SIXTEEN,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
SIXTY,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
SLEEP,0.8750,0.9167,1.0000,0.9583,-0.0417,0.0417
SMS,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
SON,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
SOUND,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
START,0.9583,0.9583,1.0000,0.9583,0.0000,0.0000
STOP,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
SUBJECT,0.9167,0.9167,0.9583,0.9583,0.0000,0.0417
SUNDAY,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
TAB,0.9167,0.8750,0.9583,1.0000,0.0417,0.1250
TEN,0.9041,0.8904,0.9726,0.9726,0.0137,0.0822
TEXT,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
THIRTEEN,0.8750,0.8333,0.7917,0.8333,0.0417,0.0000
THIRTY,0.8125,0.8125,0.8125,0.8333,0.0000,0.0208
THOUSAND,0.8750,0.8750,0.9167,0.9167,0.0000,0.0417
THREE,0.9589,0.9452,0.9589,0.9726,0.0137,0.0274
THURSDAY,0.8750,0.8750,0.8333,0.8333,0.0000,-0.0417
TIME,0.9167,0.9167,1.0000,1.0000,0.0000,0.0833
TO,0.7423,0.7423,0.7320,0.7423,0.0000,0.0000
TOMORROW,0.9167,0.9167,1.0000,1.0000,0.0000,0.0833
TUESDAY,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
TURN,0.8750,0.8750,0.8750,0.8750,0.0000,0.0000
TWELVE,0.9167,0.8750,1.0000,1.0000,0.0417,0.1250
TWENTY,0.9795,0.9795,0.9829,0.9829,0.0000,0.0034
TWO,0.8356,0.8356,0.7945,0.8356,0.0000,0.0000
TYPE,0.9583,0.9583,0.9583,1.0000,0.0000,0.0417
UP,0.9583,0.9583,1.0000,1.0000,0.0000,0.0417
VIDEOS,0.9167,0.9167,0.9167,0.9167,0.0000,0.0000
VIEW,1.0000,0.9583,1.0000,1.0000,0.0417,0.0417
VOLUME,0.9167,0.9167,0.8333,0.8333,0.0000,-0.0833
WEDNESDAY,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
WIFE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
WINDOW,0.8750,0.8750,0.9583,1.0000,0.0000,0.1250
WORD,0.9167,0.9167,1.0000,1.0000,0.0000,0.0833
YESTERDAY,1.0000,1.0000,0.9583,0.9583,0.0000,-0.0417
YOUTUBE,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000
ZERO,0.9583,0.9583,0.9583,0.9583,0.0000,0.0000
