word,accuracy
EIGHTY,0.7083
LINE,0.7083
SEVENTEEN,0.7083
TO,0.7423
ALL,0.7500
ON,0.7917
FORTY,0.8125
THIRTY,0.8125
E-MAIL,0.8333
FILE,0.8333
GOOGLE,0.8333
HALF,0.8333
NINETY,0.8333
PANEL,0.8333
PLAY,0.8333
RUN,0.8333
SHUT,0.8333
TWO,0.8356
DAUGHTER,0.8750
EDIT,0.8750
EIGHTEEN,0.8750
FIFTEEN,0.8750
FLASH,0.8750
GO,0.8750
JUNE,0.8750
MOVE,0.8750
NEW,0.8750
NINE,0.8750
NINETEEN,0.8750
SEVENTY,0.8750
SLEEP,0.8750
THIRTEEN,0.8750
THOUSAND,0.8750
THURSDAY,0.8750
TURN,0.8750
WINDOW,0.8750
TEN,0.9041
ADD,0.9167
ATTACH,0.9167
BOLD,0.9167
BROTHER,0.9167
CHANGE,0.9167
CHECK,0.9167
COMPUTER,0.9167
DAD,0.9167
DECEMBER,0.9167
DELETE,0.9167
DOUBLE,0.9167
FIFTY,0.9167
HUNDRED,0.9167
LAST,0.9167
MARCH,0.9167
MAY,0.9167
MILLION,0.9167
MONDAY,0.9167
MUM,0.9167
PAGE,0.9167
RECORD,0.9167
SAVE,0.9167
SOUND,0.9167
SUBJECT,0.9167
TAB,0.9167
TIME,0.9167
TOMORROW,0.9167
TWELVE,0.9167
VIDEOS,0.9167
VOLUME,0.9167
WORD,0.9167
EIGHT,0.9315
CLICK,0.9375
ONE,0.9381
DOWN,0.9452
FOUR,0.9452
ALARM,0.9583
APPOINTMENT,0.9583
CAMERA,0.9583
CANCEL,0.9583
CLOSE,0.9583
DIAL,0.9583
DOCUMENT,0.9583
END,0.9583
FONT,0.9583
FOURTEEN,0.9583
FULL,0.9583
HELP,0.9583
HIBERNATE,0.9583
HOME,0.9583
INBOX,0.9583
INSERT,0.9583
MUSIC,0.9583
MY,0.9583
NOVEMBER,0.9583
OCTOBER,0.9583
OFF,0.9583
OK,0.9583
OUTBOX,0.9583
P.M.,0.9583
PAUSE,0.9583
PRINT,0.9583
QUARTER,0.9583
REPLY,0.9583
RESTART,0.9583
SEARCH,0.9583
SEND,0.9583
SET,0.9583
SIX,0.9583
SIXTEEN,0.9583
START,0.9583
STOP,0.9583
TYPE,0.9583
UP,0.9583
ZERO,0.9583
FIVE,0.9588
THREE,0.9589
TWENTY,0.9795
SEVEN,0.9863
A.M.,1.0000
APRIL,1.0000
AS,1.0000
ATTACHMENT,1.0000
AUGUST,1.0000
BACK,1.0000
BEGIN,1.0000
BROWSER,1.0000
CALCULATOR,1.0000
CALENDAR,1.0000
CALL,1.0000
CONTROL,1.0000
COPY,1.0000
CUT,1.0000
DOCUMENTS,1.0000
DOWNLOADS,1.0000
ELEVEN,1.0000
EXPORT,1.0000
FACEBOOK,1.0000
FAVORITES,1.0000
FEBRUARY,1.0000
FORWARD,1.0000
FRIDAY,1.0000
HOMEPAGE,1.0000
HUSBAND,1.0000
IMPORT,1.0000
ITALICS,1.0000
JANUARY,1.0000
JULY,1.0000
LEFT,1.0000
MESSAGE,1.0000
MINIMIZE,1.0000
MMS,1.0000
MOUSE,1.0000
MUTE,1.0000
NEXT,1.0000
OPEN,1.0000
PARAGRAPH,1.0000
PAST,1.0000
PASTE,1.0000
PICTURE,1.0000
PICTURES,1.0000
PLAYER,1.0000
PREVIOUS,1.0000
REFRESH,1.0000
REMINDER,1.0000
RIGHT,1.0000
SATURDAY,1.0000
SCREEN,1.0000
SCROLL,1.0000
SELECT,1.0000
SENTENCE,1.0000
SEPTEMBER,1.0000
SISTER,1.0000
SIXTY,1.0000
SMS,1.0000
SON,1.0000
SUNDAY,1.0000
TEXT,1.0000
TUESDAY,1.0000
VIEW,1.0000
WEDNESDAY,1.0000
WIFE,1.0000
YESTERDAY,1.0000
YOUTUBE,1.0000
