word_i,onset_i,viseme_i,word_j,onset_j,viseme_j,A_pair_confusions,AV_pair_confusions,rescued
TEN,/t/,lingual,TURN,/t/,lingual,6,1,5
INBOX,vowel,vowel_initial,OUTBOX,vowel,vowel_initial,5,0,5
SEVENTEEN,/s/,lingual,SEVENTY,/s/,lingual,6,2,4
DOWN,/d/,lingual,GO,other,other,4,0,4
TEN,/t/,lingual,TIME,/t/,lingual,4,0,4
FORTY,/f/,labiodental_fv,THIRTY,/t/,lingual,4,0,4
START,/s/,lingual,STOP,/s/,lingual,4,0,4
MONDAY,/m/,bilabial_bpm,NINETY,/n/,lingual,4,0,4
SEND,/s/,lingual,SOUND,/s/,lingual,4,0,4
NINETEEN,/n/,lingual,NINETY,/n/,lingual,6,3,3
DOCUMENT,/d/,lingual,DOCUMENTS,/d/,lingual,3,0,3
DOWN,/d/,lingual,ON,vowel,vowel_initial,3,0,3
NINETEEN,/n/,lingual,TWENTY,/t/,lingual,3,0,3
TAB,/t/,lingual,TURN,/t/,lingual,3,0,3
DAD,/d/,lingual,TAB,/t/,lingual,3,0,3
MUM,/m/,bilabial_bpm,RUN,/r/,lingual,3,0,3
ONE,/w/,labiovelar_w,RUN,/r/,lingual,4,2,2
PAST,/p/,bilabial_bpm,TO,/t/,lingual,3,1,2
MAY,/m/,bilabial_bpm,MUM,/m/,bilabial_bpm,2,0,2
MUM,/m/,bilabial_bpm,ONE,/w/,labiovelar_w,2,0,2
NOVEMBER,/n/,lingual,REMINDER,/r/,lingual,2,0,2
ALL,vowel,vowel_initial,ON,vowel,vowel_initial,2,0,2
SET,/s/,lingual,SHUT,/s/,lingual,2,0,2
FIVE,/f/,labiodental_fv,FOUR,/f/,labiodental_fv,2,0,2
MAY,/m/,bilabial_bpm,PLAY,/p/,bilabial_bpm,2,0,2
FULL,/f/,labiodental_fv,TO,/t/,lingual,2,0,2
FOURTEEN,/f/,labiodental_fv,TWENTY,/t/,lingual,2,0,2
SIXTEEN,/s/,lingual,THIRTEEN,/t/,lingual,2,0,2
FIFTY,/f/,labiodental_fv,THIRTY,/t/,lingual,2,0,2
SCROLL,/s/,lingual,SLEEP,/s/,lingual,2,0,2
