kind,channel_or_set,baseline_acc,lesioned_acc,delta_pp
Wv_single,0,0.956712,0.957475,-0.0763
Wv_single,1,0.956712,0.951945,+0.4767
Wv_single,2,0.956712,0.955759,+0.0953
Wv_single,3,0.956712,0.956331,+0.0381
Wv_single,4,0.956712,0.953661,+0.3051
Wv_single,5,0.956712,0.935736,+2.0976
Wv_single,6,0.956712,0.954996,+0.1716
Wv_single,7,0.956712,0.948703,+0.8009
Wv_single,8,0.956712,0.956522,+0.0191
Wv_single,9,0.956712,0.954233,+0.2479
Wv_single,10,0.956712,0.955568,+0.1144
Wv_single,11,0.956712,0.955759,+0.0953
Wv_single,12,0.956712,0.579710,+37.7002
Wv_single,13,0.956712,0.901411,+5.5301
Wv_single,14,0.956712,0.955378,+0.1335
Wv_single,15,0.956712,0.953661,+0.3051
Wv_single,16,0.956712,0.956903,-0.0191
Wv_single,17,0.956712,0.933448,+2.3265
Wv_single,18,0.956712,0.946606,+1.0107
Wv_single,19,0.956712,0.953089,+0.3623
Wv_single,20,0.956712,0.955568,+0.1144
Wv_single,21,0.956712,0.939741,+1.6972
Wv_single,22,0.956712,0.535088,+42.1625
Wv_single,23,0.956712,0.951945,+0.4767
Wv_single,24,0.956712,0.952708,+0.4005
Wv_single,25,0.956712,0.956712,+0.0000
Wv_single,26,0.956712,0.955950,+0.0763
Wv_single,27,0.956712,0.953471,+0.3242
Wv_single,28,0.956712,0.956522,+0.0191
Wv_single,29,0.956712,0.952136,+0.4577
Wv_single,30,0.956712,0.950801,+0.5912
Wv_single,31,0.956712,0.956903,-0.0191
Wv_single,32,0.956712,0.956331,+0.0381
Wv_single,33,0.956712,0.952708,+0.4005
Wv_single,34,0.956712,0.956712,+0.0000
Wv_single,35,0.956712,0.954424,+0.2288
Wv_single,36,0.956712,0.957094,-0.0381
Wv_single,37,0.956712,0.956140,+0.0572
Wv_single,38,0.956712,0.953280,+0.3432
Wv_single,39,0.956712,0.957666,-0.0953
Wv_single,40,0.956712,0.878528,+7.8185
Wv_single,41,0.956712,0.936499,+2.0214
Wv_single,42,0.956712,0.956903,-0.0191
Wv_single,43,0.956712,0.956331,+0.0381
Wv_single,44,0.956712,0.922006,+3.4706
Wv_single,45,0.956712,0.956712,+0.0000
