grouping,bin,n,A_acc,AV_acc,delta
onset,/r/,161,0.931677,0.981366,+0.049689
onset,other,314,0.920382,0.964968,+0.044586
onset,/b/,115,0.921739,0.965217,+0.043478
onset,/w/,185,0.945946,0.989189,+0.043243
onset,/p/,363,0.931129,0.969697,+0.038567
onset,/f/,485,0.931959,0.962887,+0.030928
onset,/t/,906,0.900662,0.931567,+0.030905
onset,vowel,735,0.931973,0.961905,+0.029932
onset,/s/,714,0.928571,0.957983,+0.029412
onset,/h/,161,0.956522,0.981366,+0.024845
onset,/d/,277,0.935018,0.956679,+0.021661
onset,/n/,161,0.832298,0.850932,+0.018634
onset,/m/,299,0.963211,0.979933,+0.016722
onset,/k/,368,0.956522,0.964674,+0.008152
length,Medium (5-7),2348,0.934412,0.970613,+0.036201
length,Short (<=4),2140,0.915421,0.940187,+0.024766
length,Long (8+),756,0.936508,0.960317,+0.023810
vowel,/ɔː/,412,0.924757,0.963592,+0.038835
vowel,/ʌ/,415,0.930120,0.966265,+0.036145
vowel,other,2530,0.930830,0.963636,+0.032806
vowel,/aɪ/,554,0.902527,0.933213,+0.030686
vowel,/iː/,369,0.905149,0.932249,+0.027100
vowel,/eɪ/,437,0.933638,0.951945,+0.018307
vowel,/æ/,527,0.943074,0.956357,+0.013283
