word_i,word_j,A_count,AV_count,rescue,anchor_A,anchor_AV,FLAG
TEN,TURN,6,1,5,6,1,OK
INBOX,OUTBOX,5,0,5,5,0,OK
SEVENTEEN,SEVENTY,6,2,4,6,2,OK
DOWN,GO,4,0,4,4,0,OK
TEN,TIME,4,0,4,4,0,OK
FORTY,THIRTY,4,0,4,4,0,OK
START,STOP,4,0,4,4,0,OK
MONDAY,NINETY,4,0,4,4,0,OK
SEND,SOUND,4,0,4,4,0,OK
NINETEEN,NINETY,6,3,3,6,3,OK
DOCUMENT,DOCUMENTS,3,0,3,3,0,OK
DOWN,ON,3,0,3,3,0,OK
NINETEEN,TWENTY,3,0,3,3,0,OK
TAB,TURN,3,0,3,3,0,OK
DAD,TAB,3,0,3,3,0,OK
MUM,RUN,3,0,3,3,0,OK
ONE,RUN,4,2,2,4,2,OK
PAST,TO,3,1,2,3,1,OK
MAY,MUM,2,0,2,2,0,OK
MUM,ONE,2,0,2,2,0,OK
NOVEMBER,REMINDER,2,0,2,2,0,OK
ALL,ON,2,0,2,2,0,OK
SET,SHUT,2,0,2,2,0,OK
FIVE,FOUR,2,0,2,2,0,OK
MAY,PLAY,2,0,2,2,0,OK
FULL,TO,2,0,2,2,0,OK
FOURTEEN,TWENTY,2,0,2,2,0,OK
SIXTEEN,THIRTEEN,2,0,2,2,0,OK
FIFTY,THIRTY,2,0,2,2,0,OK
SCROLL,SLEEP,2,0,2,2,0,OK
