section,feature_or_bin,target_or_metric,value,ci_lo,ci_hi,n,note
rf_persample_baseline,viseme_bilabial_bpm,delta_flip,0.042348,,,,
rf_persample_baseline,viseme_glottal_h,delta_flip,0.023574,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_flip,0.033613,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_flip,0.022680,,,,
rf_persample_baseline,viseme_lingual,delta_flip,0.061253,,,,rep=0.061253
rf_persample_baseline,viseme_other,delta_flip,0.037133,,,,
rf_persample_baseline,viseme_vowel_initial,delta_flip,0.020960,,,,
rf_persample_baseline,word_len,delta_flip,0.507734,,,,rep=0.507734
rf_persample_baseline,n_vowels,delta_flip,0.231139,,,,rep=0.231139
rf_persample_baseline,vowel_initial,delta_flip,0.019566,,,,
rf_persample_baseline,viseme_bilabial_bpm,delta_logconf,0.055394,,,,
rf_persample_baseline,viseme_glottal_h,delta_logconf,0.019654,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_logconf,0.032892,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_logconf,0.028274,,,,
rf_persample_baseline,viseme_lingual,delta_logconf,0.123172,,,,
rf_persample_baseline,viseme_other,delta_logconf,0.057526,,,,
rf_persample_baseline,viseme_vowel_initial,delta_logconf,0.026779,,,,
rf_persample_baseline,word_len,delta_logconf,0.415991,,,,rep=0.415869
rf_persample_baseline,n_vowels,delta_logconf,0.219010,,,,
rf_persample_baseline,vowel_initial,delta_logconf,0.021306,,,,
rf_persample_baseline,viseme_bilabial_bpm,delta_margin,0.041967,,,,
rf_persample_baseline,viseme_glottal_h,delta_margin,0.032798,,,,
rf_persample_baseline,viseme_labiodental_fv,delta_margin,0.034220,,,,
rf_persample_baseline,viseme_labiovelar_w,delta_margin,0.012966,,,,
rf_persample_baseline,viseme_lingual,delta_margin,0.236784,,,,
rf_persample_baseline,viseme_other,delta_margin,0.053196,,,,
rf_persample_baseline,viseme_vowel_initial,delta_margin,0.035959,,,,
rf_persample_baseline,word_len,delta_margin,0.324548,,,,rep=0.324457
rf_persample_baseline,n_vowels,delta_margin,0.201871,,,,
rf_persample_baseline,vowel_initial,delta_margin,0.025691,,,,
rf_persample_with_Abase,viseme_bilabial_bpm,delta_flip,0.004366,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_flip,0.002283,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_flip,0.004678,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_flip,0.001709,,,,
rf_persample_with_Abase,viseme_lingual,delta_flip,0.009914,,,,
rf_persample_with_Abase,viseme_other,delta_flip,0.003982,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_flip,0.002502,,,,
rf_persample_with_Abase,word_len,delta_flip,0.048649,,,,rep=0.048851
rf_persample_with_Abase,n_vowels,delta_flip,0.024956,,,,rep=0.025223
rf_persample_with_Abase,vowel_initial,delta_flip,0.003095,,,,
rf_persample_with_Abase,A_correct,delta_flip,0.294997,,,,rep=0.29622
rf_persample_with_Abase,A_logp,delta_flip,0.598870,,,,rep=0.59753
rf_persample_with_Abase,viseme_bilabial_bpm,delta_logconf,0.012793,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_logconf,0.005497,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_logconf,0.004301,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_logconf,0.001103,,,,
rf_persample_with_Abase,viseme_lingual,delta_logconf,0.023655,,,,
rf_persample_with_Abase,viseme_other,delta_logconf,0.007502,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_logconf,0.004948,,,,
rf_persample_with_Abase,word_len,delta_logconf,0.077582,,,,rep=0.077866
rf_persample_with_Abase,n_vowels,delta_logconf,0.031380,,,,
rf_persample_with_Abase,vowel_initial,delta_logconf,0.004216,,,,
rf_persample_with_Abase,A_correct,delta_logconf,0.014348,,,,
rf_persample_with_Abase,A_logp,delta_logconf,0.812676,,,,rep=0.811817
rf_persample_with_Abase,viseme_bilabial_bpm,delta_margin,0.019487,,,,
rf_persample_with_Abase,viseme_glottal_h,delta_margin,0.008360,,,,
rf_persample_with_Abase,viseme_labiodental_fv,delta_margin,0.015155,,,,
rf_persample_with_Abase,viseme_labiovelar_w,delta_margin,0.005790,,,,
rf_persample_with_Abase,viseme_lingual,delta_margin,0.046687,,,,
rf_persample_with_Abase,viseme_other,delta_margin,0.012642,,,,
rf_persample_with_Abase,viseme_vowel_initial,delta_margin,0.011577,,,,
rf_persample_with_Abase,word_len,delta_margin,0.103162,,,,rep=0.103228
rf_persample_with_Abase,n_vowels,delta_margin,0.059678,,,,
rf_persample_with_Abase,vowel_initial,delta_margin,0.010864,,,,
rf_persample_with_Abase,A_correct,delta_margin,0.003186,,,,
rf_persample_with_Abase,A_logp,delta_margin,0.703412,,,,rep=0.703198
perm_persample_with_Abase,viseme_bilabial_bpm,delta_flip,-0.001931,0.001243,,,
perm_persample_with_Abase,viseme_glottal_h,delta_flip,-0.000758,0.000883,,,
perm_persample_with_Abase,viseme_labiodental_fv,delta_flip,-0.000969,0.000993,,,
perm_persample_with_Abase,viseme_labiovelar_w,delta_flip,-0.000115,0.000165,,,
perm_persample_with_Abase,viseme_lingual,delta_flip,-0.003557,0.003038,,,
perm_persample_with_Abase,viseme_other,delta_flip,-0.000987,0.001263,,,
perm_persample_with_Abase,viseme_vowel_initial,delta_flip,-0.002310,0.001407,,,
perm_persample_with_Abase,word_len,delta_flip,-0.005511,0.002651,,,rep=-0.005396
perm_persample_with_Abase,n_vowels,delta_flip,-0.003967,0.001568,,,
perm_persample_with_Abase,vowel_initial,delta_flip,-0.002690,0.001572,,,
perm_persample_with_Abase,A_correct,delta_flip,0.068121,0.012137,,,rep=0.069323
perm_persample_with_Abase,A_logp,delta_flip,0.019758,0.008922,,,rep=0.018844
perm_persample_with_Abase,viseme_bilabial_bpm,delta_logconf,0.000520,0.009358,,,
perm_persample_with_Abase,viseme_glottal_h,delta_logconf,0.004002,0.003113,,,
perm_persample_with_Abase,viseme_labiodental_fv,delta_logconf,0.000406,0.002143,,,
perm_persample_with_Abase,viseme_labiovelar_w,delta_logconf,-0.000314,0.001137,,,
perm_persample_with_Abase,viseme_lingual,delta_logconf,0.025492,0.025279,,,
perm_persample_with_Abase,viseme_other,delta_logconf,-0.002254,0.007508,,,
perm_persample_with_Abase,viseme_vowel_initial,delta_logconf,-0.002457,0.003233,,,
perm_persample_with_Abase,word_len,delta_logconf,0.034934,0.057216,,,
perm_persample_with_Abase,n_vowels,delta_logconf,0.007790,0.020163,,,
perm_persample_with_Abase,vowel_initial,delta_logconf,-0.002944,0.002660,,,
perm_persample_with_Abase,A_correct,delta_logconf,0.010452,0.024430,,,
perm_persample_with_Abase,A_logp,delta_logconf,0.579943,0.163676,,,
perm_persample_with_Abase,viseme_bilabial_bpm,delta_margin,-0.012696,0.008341,,,
perm_persample_with_Abase,viseme_glottal_h,delta_margin,0.001109,0.005549,,,
perm_persample_with_Abase,viseme_labiodental_fv,delta_margin,-0.001450,0.005789,,,
perm_persample_with_Abase,viseme_labiovelar_w,delta_margin,-0.000082,0.001214,,,
perm_persample_with_Abase,viseme_lingual,delta_margin,-0.002684,0.020128,,,
perm_persample_with_Abase,viseme_other,delta_margin,-0.004871,0.005338,,,
perm_persample_with_Abase,viseme_vowel_initial,delta_margin,-0.015857,0.005431,,,
perm_persample_with_Abase,word_len,delta_margin,-0.011150,0.018518,,,
perm_persample_with_Abase,n_vowels,delta_margin,0.007710,0.018958,,,
perm_persample_with_Abase,vowel_initial,delta_margin,-0.013517,0.006950,,,
perm_persample_with_Abase,A_correct,delta_margin,0.001911,0.003938,,,
perm_persample_with_Abase,A_logp,delta_margin,0.179144,0.051607,,,
perword_ridge_no_Abase,word_len,rescue,0.188265,,,,rep=0.188265
perword_ridge_no_Abase,n_vowels,rescue,-0.187485,,,,rep=-0.187485
perword_ridge_no_Abase,vowel_initial,rescue,0.175317,,,,
perword_ridge_no_Abase,viseme_bilabial_bpm,rescue,0.046910,,,,
perword_ridge_no_Abase,viseme_glottal_h,rescue,-0.006777,,,,
perword_ridge_no_Abase,viseme_labiodental_fv,rescue,-0.004863,,,,
