section,metric,value,report,delta
contingency,agreement_n,4814,4814,+0
contingency,disagreement_n,430,430,+0
contingency,both_correct,4756,4756,+0
contingency,both_wrong,122,122,+0
contingency,regression,105,105,+0
contingency,rescue,261,261,+0
contingency,shared_error,58,58,+0
contingency,av_on_a_wrong_num,261,261,+0
contingency,av_on_a_wrong_den,383,383,+0
contingency,a_on_av_wrong_num,105,105,+0
contingency,a_on_av_wrong_den,227,227,+0
contingency,dis_a_right,105,105,+0
contingency,dis_av_right,261,261,+0
contingency,dis_neither,64,64,+0
mcgurk_E3,n_pairs,1500,1500,+0
mcgurk_E3,AV_audio_capture,0.0780,0.078,+0.0000
mcgurk_E3,AV_visual_capture,0.0947,0.0947,-0.0000
mcgurk_E3,AV_third_word,0.8273,0.8273,+0.0000
mcgurk_E3,A_only_audio_capture,0.9273,0.9273,+0.0000
selfcheck,A/AV_acc,0.926964/0.956712,0.926964/0.956712,OK
