kind,window_or_cell,AV_acc,delta_pp
temporal,"[0,10)",0.765637,-19.1076
temporal,"[5,15)",0.539855,-41.6857
temporal,"[10,20)",0.346491,-61.0221
temporal,"[15,25)",0.232265,-72.4447
temporal,"[20,30)",0.213768,-74.2944
temporal,"[25,35)",0.281655,-67.5057
temporal,"[30,40)",0.451754,-50.4958
temporal,"[35,45)",0.663425,-29.3288
temporal,"[40,50)",0.859649,-9.7063
spatial,"(0,0)",0.946224,-1.0488
spatial,"(0,1)",0.944127,-1.2586
spatial,"(0,2)",0.941648,-1.5065
spatial,"(0,3)",0.941266,-1.5446
spatial,"(0,4)",0.939550,-1.7162
spatial,"(0,5)",0.943555,-1.3158
spatial,"(1,0)",0.925820,-3.0892
spatial,"(1,1)",0.926011,-3.0702
spatial,"(1,2)",0.918002,-3.8711
spatial,"(1,3)",0.917048,-3.9664
spatial,"(1,4)",0.920099,-3.6613
spatial,"(1,5)",0.923341,-3.3371
spatial,"(2,0)",0.915713,-4.0999
spatial,"(2,1)",0.901602,-5.5111
spatial,"(2,2)",0.899314,-5.7399
spatial,"(2,3)",0.895118,-6.1594
spatial,"(2,4)",0.898360,-5.8352
spatial,"(2,5)",0.912853,-4.3860
spatial,"(3,0)",0.918574,-3.8139
spatial,"(3,1)",0.900267,-5.6445
spatial,"(3,2)",0.900458,-5.6255
spatial,"(3,3)",0.896262,-6.0450
spatial,"(3,4)",0.900839,-5.5873
spatial,"(3,5)",0.915332,-4.1381
spatial,"(4,0)",0.931350,-2.5362
spatial,"(4,1)",0.914378,-4.2334
spatial,"(4,2)",0.908467,-4.8246
spatial,"(4,3)",0.905225,-5.1487
spatial,"(4,4)",0.913234,-4.3478
spatial,"(4,5)",0.930397,-2.6316
spatial,"(5,0)",0.949275,-0.7437
spatial,"(5,1)",0.946034,-1.0679
spatial,"(5,2)",0.944127,-1.2586
spatial,"(5,3)",0.943745,-1.2967
spatial,"(5,4)",0.947750,-0.8963
spatial,"(5,5)",0.951754,-0.4958
