site,estimator,mine,report,delta
_reference,H(Y),5.028045,5.028045,-0.000000
a_mid_gap,infonce_mlp,1.841650,1.840675,+0.000975
a_mid_gap,infonce_linear,2.100318,2.101221,-0.000903
a_mid_gap,ksg,1.354643,1.354729,-0.000086
a_mid_gap,binned_pca8_OLD,5.028044,5.028044,-0.000000
v_mid_gap,infonce_mlp,2.759458,2.779547,-0.020089
v_mid_gap,infonce_linear,3.028070,3.028328,-0.000258
v_mid_gap,ksg,2.016350,2.016282,+0.000068
v_mid_gap,binned_pca8_OLD,5.028044,5.028044,-0.000000
gate_out_gap,infonce_mlp,4.024424,4.002261,+0.022163
gate_out_gap,infonce_linear,4.108410,4.109006,-0.000596
gate_out_gap,ksg,3.362591,3.362625,-0.000034
gate_out_gap,binned_pca8_OLD,5.028044,5.028044,-0.000000
block2_gap,infonce_mlp,4.761823,4.761737,+0.000086
block2_gap,infonce_linear,4.807614,4.807701,-0.000087
block2_gap,ksg,4.809227,4.809244,-0.000017
block2_gap,binned_pca8_OLD,5.028044,5.028044,-0.000000
_struct,monotone_mlp,True,,
_struct,all_new_below_HY,True,,
_struct,binned_degenerate,True,,
