epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
1,4.924557,0.048729,4.735872,0.056255,82.271,12.409
2,4.686414,0.056254,4.612526,0.063120,60.636,12.409
3,4.588334,0.057172,4.500924,0.065599,60.492,12.409
4,4.553351,0.059925,4.550032,0.073799,60.447,12.409
5,4.505266,0.064330,4.480676,0.073036,60.539,12.409
6,4.475455,0.067817,4.429309,0.067506,60.564,12.409
7,4.407172,0.072681,4.422645,0.072273,60.540,12.409
8,4.313625,0.080297,4.325624,0.076087,60.487,12.409
9,4.232442,0.089291,4.267434,0.084477,60.469,12.409
10,4.161622,0.092594,4.143511,0.099542,60.428,12.409
11,4.080409,0.102414,4.517391,0.080854,60.476,12.409
12,3.996254,0.108287,3.900515,0.127765,60.460,12.409
13,3.897713,0.120400,3.927213,0.116514,60.540,12.409
14,3.812364,0.125447,3.759172,0.137490,60.405,12.409
15,3.719514,0.140773,3.684325,0.153318,60.616,12.409
16,3.631499,0.151785,3.542194,0.172769,60.458,12.409
17,3.532280,0.164082,3.422595,0.195271,60.489,12.409
18,3.453597,0.178857,3.416366,0.204424,60.545,12.409
19,3.383583,0.185923,3.484740,0.172387,60.508,12.409
20,3.286589,0.201065,3.146508,0.254577,60.417,12.409
21,3.221060,0.212077,3.213508,0.238940,60.546,12.409
22,3.152253,0.224098,3.674690,0.167429,60.522,12.409
23,3.089743,0.230063,2.990008,0.276125,60.605,12.409
24,3.026531,0.241259,2.938289,0.260488,60.582,12.409
25,2.965433,0.255850,2.801855,0.301869,60.682,12.409
26,2.909081,0.264293,2.891409,0.292906,60.496,12.409
27,2.863138,0.269615,2.657550,0.337529,60.645,12.409
28,2.822458,0.274112,2.843276,0.285660,60.480,12.409
29,2.772983,0.285583,3.034191,0.224256,60.465,12.409
30,2.735873,0.296412,2.619756,0.343822,60.540,12.409
31,2.698941,0.304029,2.654675,0.336384,60.455,12.409
32,2.659194,0.313022,2.494471,0.356217,60.497,12.409
33,2.610286,0.321098,2.503987,0.366323,60.575,12.409
34,2.583295,0.326879,2.438852,0.378337,60.501,12.409
35,2.545348,0.334129,2.397121,0.399123,60.501,12.409
36,2.514603,0.343030,2.452881,0.377574,60.520,12.409
37,2.470571,0.343122,2.730175,0.297674,60.538,12.409
38,2.450428,0.353400,2.417886,0.372426,60.515,12.409
39,2.396319,0.361567,2.239183,0.430206,60.482,12.409
40,2.376638,0.374415,2.189410,0.436499,60.589,12.409
41,2.358364,0.375057,2.154668,0.458047,60.516,12.409
42,2.304130,0.383592,2.216119,0.426583,60.494,12.409
43,2.289221,0.393411,2.128451,0.464722,60.679,12.409
44,2.246631,0.400936,2.233660,0.428680,60.436,12.409
45,2.217429,0.405616,2.136363,0.453661,60.530,12.409
46,2.199778,0.410113,2.035570,0.463768,60.572,12.409
47,2.171289,0.417821,1.967858,0.479024,60.597,12.409
48,2.151516,0.423695,2.058397,0.482838,60.537,12.409
49,2.122313,0.432046,2.008605,0.488749,60.435,12.409
50,2.103389,0.425897,2.119571,0.435545,60.549,12.409
51,2.086417,0.432137,1.967971,0.474828,60.432,12.409
52,2.064399,0.442324,1.844043,0.518497,60.492,12.409
53,2.051843,0.442324,2.028977,0.458619,60.727,12.409
54,2.018798,0.446912,1.874186,0.518688,60.523,12.409
55,1.996398,0.460218,1.822497,0.526506,60.457,12.409
56,1.992706,0.454253,1.903145,0.497330,60.602,12.409
57,1.958776,0.464623,1.804434,0.531465,60.499,12.409
58,1.941138,0.467376,1.845994,0.522693,60.513,12.409
59,1.923804,0.477563,1.867321,0.504195,60.484,12.409
60,1.897463,0.480316,1.821601,0.529558,60.607,12.409
61,1.897632,0.477563,1.754332,0.543669,60.704,12.409
62,1.886975,0.483069,1.925204,0.487986,60.680,12.409
63,1.863558,0.486464,1.746059,0.543097,60.542,12.409
64,1.848618,0.496100,1.873028,0.498093,60.607,12.409
65,1.841728,0.488667,1.634470,0.569794,60.562,12.409
66,1.804211,0.499404,1.980789,0.476545,60.567,12.409
67,1.797789,0.504359,1.738135,0.538330,60.609,12.409
68,1.785207,0.506103,1.695055,0.538139,60.596,12.409
69,1.783759,0.503625,1.776108,0.528795,60.578,12.409
70,1.755098,0.516014,1.584117,0.577994,60.539,12.409
71,1.743922,0.519776,1.627606,0.575133,60.550,12.409
72,1.738742,0.514545,1.568169,0.586384,60.616,12.409
73,1.725279,0.513903,1.565521,0.576278,60.513,12.409
74,1.703684,0.519868,1.543325,0.589626,60.636,12.409
75,1.698078,0.526292,1.606208,0.569222,60.471,12.409
76,1.693954,0.526659,1.603650,0.568459,60.466,12.409
77,1.678441,0.532899,1.655938,0.563310,60.526,12.409
78,1.649822,0.547123,1.527967,0.593059,60.584,12.409
79,1.653754,0.540424,1.503363,0.604500,60.502,12.409
80,1.649840,0.534459,1.471803,0.602021,60.514,12.409
81,1.615196,0.552813,1.488014,0.610412,60.458,12.409
82,1.613631,0.551895,1.465715,0.609077,60.455,12.409
83,1.615117,0.546481,1.533766,0.594775,60.590,12.409
84,1.595458,0.553730,1.472795,0.607551,60.410,12.409
85,1.589110,0.552813,1.434898,0.620900,60.595,12.409
86,1.581306,0.557768,1.469508,0.608696,60.475,12.409
87,1.590380,0.553455,1.447497,0.615561,60.556,12.409
88,1.557910,0.560613,1.443145,0.613272,60.555,12.409
89,1.553423,0.566027,1.432453,0.607551,60.648,12.409
90,1.552503,0.565293,1.369323,0.631007,60.475,12.409
91,1.511253,0.572268,1.456438,0.613082,60.428,12.409
92,1.516806,0.567679,1.476018,0.599924,60.493,12.409
93,1.510453,0.576856,1.421043,0.619947,60.524,12.409
94,1.505411,0.573644,1.418548,0.622998,60.549,12.409
95,1.496812,0.575204,1.349123,0.637109,60.618,12.409
96,1.500771,0.578416,1.379143,0.628719,60.555,12.409
97,1.473884,0.580527,1.453518,0.602784,60.547,12.409
98,1.469925,0.582362,1.386689,0.626430,60.572,12.409
99,1.462482,0.581261,1.357414,0.637681,60.559,12.409
100,1.453901,0.585390,1.485758,0.599161,60.546,12.409
101,1.466879,0.588052,1.360111,0.635965,60.531,12.409
102,1.446262,0.587960,1.391447,0.626240,60.572,12.409
103,1.438963,0.592548,1.454789,0.607170,60.476,12.409
104,1.421379,0.596586,1.308370,0.651411,60.541,12.409
105,1.422895,0.599064,1.354960,0.631960,60.621,12.409
106,1.417476,0.600716,1.383202,0.626430,60.574,12.409
107,1.390728,0.610994,1.335698,0.639779,60.518,12.409
108,1.398149,0.603285,1.306573,0.644546,60.459,12.409
109,1.398495,0.600808,1.326524,0.642449,60.547,12.409
110,1.405115,0.601817,1.295991,0.650839,60.525,12.409
111,1.386386,0.609984,1.301782,0.648932,60.474,12.409
112,1.381719,0.607231,1.266610,0.652365,60.497,12.409
113,1.369483,0.611544,1.270302,0.659802,60.509,12.409
114,1.362357,0.610535,1.304805,0.649695,60.386,12.409
115,1.371625,0.609526,1.249564,0.655988,60.493,12.409
116,1.377840,0.607140,1.284358,0.653127,60.503,12.409
117,1.353439,0.615674,1.284618,0.652937,60.436,12.409
118,1.348244,0.620446,1.239341,0.662853,60.495,12.409
119,1.337403,0.617326,1.275763,0.657132,60.455,12.409
120,1.343460,0.613930,1.319914,0.642830,60.612,12.409
121,1.327499,0.626870,1.219126,0.668383,60.532,12.409
122,1.329777,0.621088,1.236959,0.667239,60.517,12.409
123,1.326436,0.618886,1.244613,0.661899,60.514,12.409
124,1.315426,0.625034,1.233997,0.665332,60.513,12.409
125,1.310507,0.622006,1.210925,0.673150,60.589,12.409
126,1.307601,0.626411,1.208122,0.673532,60.452,12.409
127,1.314584,0.627512,1.224231,0.672769,60.481,12.409
128,1.312940,0.625769,1.266361,0.654272,60.582,12.409
129,1.294225,0.634945,1.211307,0.666285,60.468,12.409
130,1.293590,0.633202,1.237854,0.667429,60.547,12.409
131,1.271475,0.637331,1.228523,0.666285,60.603,12.409
132,1.282127,0.633202,1.188495,0.673341,60.509,12.409
133,1.267575,0.637607,1.219406,0.672578,60.463,12.409
134,1.264455,0.637974,1.198527,0.681159,60.457,12.409
135,1.247272,0.638708,1.249745,0.654272,60.540,12.409
136,1.255490,0.640084,1.197250,0.678299,60.468,12.409
137,1.258379,0.639901,1.207574,0.675439,60.569,12.409
138,1.260758,0.634487,1.152913,0.687452,60.563,12.409
139,1.248388,0.642562,1.185161,0.683448,60.640,12.409
140,1.255214,0.638157,1.170066,0.684973,60.651,12.409
141,1.248327,0.640452,1.178359,0.684973,60.484,12.409
142,1.233064,0.648527,1.203135,0.667239,60.522,12.409
143,1.231207,0.646692,1.156672,0.686117,60.751,12.409
144,1.239288,0.644856,1.154261,0.690885,60.548,12.409
145,1.232278,0.650638,1.202913,0.668955,60.515,12.409
146,1.231658,0.643480,1.143112,0.692410,60.613,12.409
147,1.216544,0.651647,1.140411,0.693364,60.570,12.409
148,1.216780,0.654400,1.197533,0.671434,60.524,12.409
149,1.214856,0.647059,1.142069,0.686117,60.581,12.409
150,1.209202,0.658989,1.145562,0.688024,60.504,12.409
151,1.216388,0.650546,1.131556,0.691648,60.654,12.409
152,1.209473,0.647151,1.153108,0.690313,60.669,12.409
153,1.198402,0.654676,1.133529,0.693364,60.644,12.409
154,1.207839,0.653483,1.140416,0.691266,60.486,12.409
155,1.195180,0.656144,1.136790,0.694127,60.578,12.409
156,1.199014,0.656327,1.143084,0.695652,60.572,12.409
157,1.208256,0.653666,1.131056,0.695843,60.549,12.409
158,1.199394,0.663302,1.128208,0.693364,60.473,12.409
159,1.193149,0.655960,1.148989,0.689931,60.549,12.409
160,1.187928,0.658163,1.124170,0.692982,60.568,12.409
161,1.198043,0.656236,1.113823,0.694508,60.466,12.409
162,1.183035,0.654217,1.119166,0.695461,60.492,12.409
163,1.182549,0.656603,1.121535,0.699275,60.522,12.409
164,1.181173,0.663761,1.128856,0.693173,60.724,12.409
165,1.180472,0.660182,1.128822,0.695271,60.606,12.409
166,1.183550,0.662659,1.123828,0.694699,60.546,12.409
167,1.165948,0.664954,1.125678,0.694508,60.580,12.409
168,1.185689,0.654584,1.123839,0.695461,60.653,12.409
169,1.169478,0.661375,1.103871,0.699847,60.480,12.409
170,1.182208,0.659264,1.105209,0.704233,60.515,12.409
171,1.166267,0.663852,1.109621,0.697178,60.610,12.409
172,1.169426,0.664403,1.108803,0.698894,60.507,12.409
173,1.167874,0.661925,1.116342,0.700229,60.622,12.409
174,1.171751,0.665688,1.115908,0.696987,60.522,12.409
175,1.165672,0.663394,1.105367,0.700801,60.469,12.409
176,1.154726,0.662568,1.109329,0.697941,60.659,12.409
177,1.159227,0.666514,1.115765,0.695652,60.558,12.409
178,1.163238,0.662109,1.110690,0.699275,60.490,12.409
179,1.138327,0.678627,1.102005,0.700801,60.772,12.409
180,1.164160,0.668166,1.106339,0.699085,60.540,12.409
181,1.177051,0.658163,1.115399,0.699085,60.515,12.409
182,1.156107,0.665137,1.104940,0.700801,60.563,12.409
183,1.151635,0.668349,1.105603,0.700229,60.439,12.409
184,1.165039,0.667523,1.104259,0.701945,60.538,12.409
185,1.149568,0.670735,1.103314,0.700229,60.528,12.409
186,1.166260,0.668349,1.107291,0.700420,60.552,12.409
187,1.160122,0.669175,1.104503,0.699657,60.537,12.409
188,1.167034,0.665137,1.107494,0.699657,60.583,12.409
189,1.164336,0.665137,1.102382,0.700229,60.671,12.409
190,1.157280,0.669726,1.100685,0.701373,60.579,12.409
191,1.152468,0.670368,1.102831,0.702517,60.564,12.409
192,1.160459,0.664495,1.105847,0.701564,60.589,12.409
193,1.158009,0.665137,1.103043,0.697941,60.579,12.409
194,1.157506,0.670827,1.108318,0.700038,60.540,12.409
195,1.143309,0.672938,1.102898,0.701564,60.541,12.409
196,1.157043,0.669634,1.107023,0.697750,60.456,12.409
197,1.156713,0.666973,1.102119,0.699657,60.571,12.409
198,1.156050,0.669083,1.108020,0.698513,60.593,12.409
199,1.149776,0.667340,1.108235,0.698513,60.590,12.409
200,1.154670,0.666147,1.102761,0.701564,60.626,12.409
