epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_s,peak_gpu_gib
1,4.849094,0.048913,4.620091,0.067887,94.704,12.628
2,4.612045,0.057355,4.563995,0.068459,61.361,12.393
3,4.538756,0.061485,4.519275,0.060069,61.251,12.393
4,4.508807,0.066807,4.562577,0.068078,61.247,12.393
5,4.479754,0.071212,5.151060,0.053776,61.299,12.393
6,4.449171,0.069836,4.465390,0.074371,61.167,12.393
7,4.406500,0.074699,4.825730,0.045195,61.215,12.393
8,4.316700,0.080114,4.269478,0.091152,61.373,12.393
9,4.169861,0.093053,4.117675,0.105072,61.254,12.393
10,3.977475,0.110856,3.857901,0.134249,61.236,12.393
11,3.743726,0.134808,4.117090,0.106598,61.213,12.393
12,3.484842,0.172708,5.656730,0.057018,61.305,12.393
13,3.212720,0.218684,3.127425,0.220061,61.270,12.393
14,2.979297,0.253189,3.031088,0.226354,61.399,12.393
15,2.767317,0.290998,2.941807,0.250381,61.380,12.393
16,2.575968,0.332569,3.206898,0.241419,61.364,12.393
17,2.447102,0.355786,2.588170,0.326087,61.283,12.393
18,2.275787,0.398734,2.388070,0.396072,61.251,12.393
19,2.144835,0.422318,2.225718,0.426201,61.238,12.393
20,2.015979,0.452510,1.985495,0.476163,61.212,12.393
21,1.911762,0.478021,1.916712,0.475210,61.205,12.393
22,1.835575,0.494448,1.789742,0.516781,61.178,12.393
23,1.741970,0.518032,1.774405,0.520595,61.281,12.393
24,1.677099,0.530788,2.154055,0.416285,61.324,12.393
25,1.619578,0.544186,1.668385,0.551297,61.254,12.393
26,1.535567,0.569973,1.575542,0.565217,61.346,12.393
27,1.487815,0.578600,1.545765,0.566743,61.385,12.393
28,1.431696,0.588144,1.862023,0.490465,61.190,12.393
29,1.361158,0.608700,1.366870,0.621091,61.271,12.393
30,1.336256,0.622281,1.376347,0.626621,61.202,12.393
31,1.275830,0.632101,3.366314,0.310069,61.432,12.393
32,1.247915,0.639259,1.505378,0.567887,61.382,12.393
33,1.196260,0.655410,1.296552,0.637490,61.346,12.393
34,1.182232,0.655318,1.351018,0.630625,61.390,12.393
35,1.141509,0.672020,1.301122,0.638635,61.287,12.393
36,1.106740,0.676608,1.464059,0.572464,61.272,12.393
37,1.074879,0.686427,1.060877,0.696224,61.274,12.393
38,1.030564,0.698816,1.338503,0.608505,61.362,12.393
39,1.012911,0.700193,1.187218,0.653127,61.314,12.393
40,0.965538,0.710930,1.146470,0.670481,61.268,12.393
41,0.960695,0.713774,1.120027,0.672769,61.374,12.393
42,0.944221,0.722125,1.272054,0.643402,61.325,12.393
43,0.904955,0.728824,0.941046,0.722731,61.247,12.393
44,0.882133,0.740571,1.066798,0.686690,61.418,12.393
45,0.849757,0.746260,1.019960,0.704043,61.360,12.393
46,0.838543,0.748279,1.175828,0.652937,61.238,12.393
47,0.815473,0.756263,0.926079,0.735698,61.206,12.393
